Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,74.721,,,,,73.971,,,,,73.69,,,,,73.562,,,,,73.321,,,,,72.872,,,,,71.549,,,,,70.038,,,,,68.218,,,,,66.58,,,,,64.38,,,,,60.437
AFG,AFGHANISTAN,58.37,,,,,55.818,,,,,53.809,,,,,50.659,,,,,46.441,,,,,42.617,,,,,40.11,,,,,37.861,,,,,35.419,,,,,32.862,,,,,30.284,,,,,27.706
AGO,ANGOLA,49.626,,,,,47.242,,,,,43.307,,,,,41.389,,,,,41.115,,,,,40.419,,,,,39.777,,,,,38.011,,,,,36.009,,,,,34.002,,,,,31.996,,,,,30.003
ALB,ALBANIA,76.281,,,,,75.404,,,,,72.948,,,,,71.689,,,,,71.99,,,,,70.623,,,,,69.709,,,,,67.707,,,,,66.25,,,,,64.861,,,,,59.317,,,,,55.262
ARE,UNITED ARAB EMIRATES,75.863,,,,,74.75,,,,,73.538,,,,,72.192,,,,,70.682,,,,,68.734,,,,,66.325,,,,,63.305,,,,,59.631,,,,,54.753,,,,,49.538,,,,,43.829
ARG,ARGENTINA,75.319,,,,,74.34,,,,,73.28,,,,,72.149,,,,,71.021,,,,,70.17,,,,,68.671,,,,,67.239,,,,,65.797,,,,,65.267,,,,,64.548,,,,,62.544
ARM,ARMENIA,74.001,,,,,72.675,,,,,70.198,,,,,68.06,,,,,68.393,,,,,70.919,,,,,70.594,,,,,70.756,,,,,69.179,,,,,67.03,,,,,64.916,,,,,62.812
ATG,ANTIGUA AND BARBUDA,74.996,,,,,74.062,,,,,72.998,,,,,71.879,,,,,70.8,,,,,69.531,,,,,68.182,,,,,66.72,,,,,65.017,,,,,63.194,,,,,60.942,,,,,58.529
AUS,AUSTRALIA,81.687,,,,,80.383,,,,,78.854,,,,,77.586,,,,,76.113,,,,,75.167,,,,,73.496,,,,,71.678,,,,,70.981,,,,,70.978,,,,,70.495,,,,,69.431
AUT,AUSTRIA,80.066,,,,,78.803,,,,,77.383,,,,,76.05,,,,,74.823,,,,,73.14,,,,,71.986,,,,,70.668,,,,,70.112,,,,,69.549,,,,,67.916,,,,,66.254
