Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ABW,ARUBA,,,36016.4837574639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,AFGHANISTAN,1946.19380603184,1927.1387671297,1695.1534360731,1604.19145658038,1497.88425632092,1258.73994429474,1222.76409923143,1076.46137755223,1020.07279107041,920.106877255381,920.748143536978,866.70445306671,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,7736.17468163313,7360.59859526429,7094.08430203827,6904.56260697824,6813.1030476225,6821.20299424074,6079.39017136304,4996.76653548488,4155.50302347808,3525.263937929,3205.84341849113,3093.70563264484,2770.24008509718,2684.77463506197,2626.33065426854,2579.23069145257,2453.63920529218,2296.46592460767,2086.34341992936,1908.13946046239,1864.20643151084,2499.27121121188,2710.88236930342,2737.7126065224,2220.00810624584,2185.98707831411,2049.995371774,1893.41828307219,1852.65390025472,,,,,
ALB,ALBANIA,9930.94322639175,9666.72823816349,9640.13021649275,9297.49275289637,9345.09376150331,8769.11767025522,7659.17352668723,7181.09419201385,6365.68088362333,5815.92113441086,5322.75463799461,4918.87084278159,4693.91464411645,4249.08885750581,3847.15711084088,3423.17336949248,2985.97729281793,3248.51012672996,2906.14139466581,2497.06319390141,2243.9182859309,1987.55740279707,2081.34558154916,2843.94328072607,2907.44787164256,2603.0092902491,2618.29097668648,2636.35522237693,2507.94016293845,2452.07086590466,2451.23170405649,2386.30468496679,2235.22556309611,1978.27200125661
ARE,UNITED ARAB EMIRATES,,59845.2568174939,56376.7699227134,55764.8732505196,59291.1038381634,70133.1529753682,78193.619487205,87766.147264222,91102.6829095127,95455.1202400456,92074.3592085433,86712.0422857497,85818.2710064805,85641.1689503228,78999.050519938,79539.8914540398,82802.8460677315,79447.5256877047,77662.7205149382,74951.8199775883,72251.5741953732,73435.9185668332,73296.879318739,74292.1179328229,45794.5093448644,41676.5689152613,43933.7397897569,43829.6757848467,53393.9425934163,56685.2891047435,55199.4969760792,58620.0296480298,62769.4945531663,58933.4654669528
ARG,ARGENTINA,,,,,,,,12033.8975111741,10842.7455610952,9697.19495755503,8727.97315665793,7925.42977070055,8835.47244738163,9128.76902475869,9102.31939699224,9389.32216200957,9020.52540360963,8285.00597312155,7809.92910105787,7954.95618124598,7461.18106886887,6984.62143829121,6193.18300633404,5389.47731197896,5395.33209247396,5702.00205879171,5737.67188855466,5497.29404430512,5059.4209273894,5393.20764240911,5163.45328701308,4855.30860184699,4889.20186293192,4812.39277766247
ARM,ARMENIA,7776.2860430691,7421.82329489282,6812.35195593287,6376.32621880003,6153.82967152114,7089.76750004565,6479.64380521236,5524.41541067862,4715.94103044422,3998.34446309027,3510.63694625266,3007.37895853632,2605.78615827305,2313.32032023682,2123.52204635736,2014.21181618526,1842.4197956479,1733.27095612295,1583.11874832464,1421.20390339313,1289.10530299811,1348.64811796835,2225.32802303042,2416.75880360594,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,21027.8266399337,20947.5499204627,19987.9241389288,20151.4931709097,21670.5772295669,24715.4436835715,24503.7182865403,22039.7279330081,19065.8463761301,17592.8433712148,16426.3231713619,15372.1477521814,14906.7855787062,15312.4895463018,14553.8558206109,14121.2427549376,13745.6273859105,13248.0571346004,12527.5598805977,13152.4107235358,12426.499970659,11776.8874191871,11604.3982892637,11097.8265433074,9932.81139049979,8967.3873291947,8097.46072177998,7140.43328308377,6088.80533184952,5379.63592660621,4648.01315063958,4209.87348050314,3916.04159686945,3413.02619477921
AUS,AUSTRALIA,43202.3676878115,43011.3698434674,41705.9898845551,39086.3272320122,40192.7267393892,37494.5933995015,36555.7775415274,34325.0175743595,32571.8201206212,31318.6234494447,29691.1542280732,28689.2659459317,27386.2180850096,26333.8858273582,25269.8234773227,24220.6392148085,22938.7963877894,22020.4206883911,20966.3071384641,20066.216532507,19141.2308228701,18200.8047529247,17807.9577933837,17357.6567413215,16085.7686169314,14959.8669047795,14050.3185372223,13545.3145610917,12928.5632392821,12158.972884028,11139.6994124378,10941.1089570858,10177.6746311309,9185.60608218285
AUT,AUSTRIA,45079.0922111043,44872.6408238394,44028.7726180606,41804.2230606124,40633.3842153789,41151.585043147,39238.3031978469,37649.5289771786,34691.2089614866,33809.7507594333,32199.2739782206,31261.5516292637,29849.3743292163,29574.1665556106,27752.7177491225,26741.8916088306,25551.7236385648,24598.0109077179,23733.4618225785,22679.0925029236,21769.2297067551,21327.0604266954,20650.1753632122,19513.8789509736,17937.3456029103,16711.2842624757,15659.8473305583,15019.5517429031,14369.6995747305,13610.3300149476,13110.1221153222,12227.384880116,11306.0557714639,10378.5863521525
AZE,AZERBAIJAN,17143.1096651869,16174.1028835644,15754.1523626148,15627.7477755523,14899.9596291008,13795.3443147315,12477.3202283734,9829.6337757268,7168.6909933618,5551.12293860728,4945.7269234037,4393.84416702012,3942.00897193678,3534.31138617121,3135.9592205208,2904.05201542063,2636.62548583817,2473.67460205002,2422.56419435459,2721.6596471594,3364.03703594854,4338.15570562642,5563.5279896038,5507.79848053139,,,,,,,,,,
