Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,98.8,,,,,,,,,,,,,,,
ARM,ARMENIA,,,98.8,,,,,95.7,,,,,95.2,,,,,,,
AZE,AZERBAIJAN,,,,,,,92.7,,,,,,,,,,,,,
BDI,BURUNDI,,,98.8,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,92.4,,,,,90.8,,,,,88.3,,,
BFA,BURKINA FASO,,,98.7,,,,,,,96.5,,,,,95.6,,,,,
BGD,BANGLADESH,,74.3,,,,72.1,,,74.3,,,,,59.8,,,62.3,,,48.1
BOL,BOLIVIA,,,,,94.8,,,,,85.9,,,,,82.4,,,,69.3,
BRA,BRAZIL,,,,,,,,,,,,,,,,,93.3,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,89.8,
CIV,COTE D'IVOIRE,,97.2,,,,,,,,,,,,,95.7,,,,96.3,
CMR,CAMEROON,,95.7,,,,,,,94.1,,,,,,92.0,,,,,
COD,"CONGO, THE DRC",,,,,,91.7,,,,,,,,,,,,,,
COG,CONGO,,95.7,,,,,,94.2,,,,,,,,,,,,
COL,COLOMBIA,,,97.7,,,,,96.5,,,,,93.7,,,,,91.1,,
COM,COMOROS,,,,,,,,,,,,,,,,,91.7,,,
DOM,DOMINICAN REPUBLIC,,,,,,98.3,,,,,97.7,,,99.7,,,99.3,,,
EGY,EGYPT,,,,,86.3,,,84.0,,,,,73.8,,,,,61.0,,
ETH,ETHIOPIA,,74.9,,,,,,67.4,,,,,63.7,,,,,,,
GAB,GABON,96.3,,,,,,,,,,,,97.4,,,,,,,
GHA,GHANA,,,,,97.9,,,,,98.5,,,,,94.3,,,,,96.5
GIN,GUINEA,,,,,,,,95.8,,,,,,95.3,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,79.6,,,73.8,,
GUY,GUYANA,,,,98.1,,,,,,,,,,,,,,,,
HND,HONDURAS,,97.0,,,,,,93.7,,,,,,,,,,,,
HTI,HAITI,92.0,,,,,,,91.3,,,,,89.4,,,,,,83.9,
IDN,INDONESIA,98.5,,,,,97.8,,,,,97.1,,,,,97.4,,,96.6,
IND,INDIA,,,,,,,,89.0,,,,,,,86.4,,,,,
JOR,JORDAN,99.1,,,,,99.1,,,,,98.9,,,,,97.0,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,91.9,,,,92.3,,
KEN,KENYA,,,,,96.7,,,,,92.1,,,,,95.9,,,,,97.4
KGZ,KYRGYZSTAN,,,,,,,,,,,,,,,,97.9,,,,
KHM,CAMBODIA,,,97.3,,,,,78.8,,,,,59.5,,,,,,,
LBR,LIBERIA,,,,,,95.0,,,,,,,,,,,,,,
LSO,LESOTHO,,,,95.6,,,,,95.9,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,84.9,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,98.0,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,94.5,,,,,90.0,,,,,,83.7,,,,
MDV,MALDIVES,,,,99.7,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,86.8,,,,,87.1,,,,,,81.0,,
MOZ,MOZAMBIQUE,,96.5,,,,,,,,97.3,,,,,,95.8,,,,
MWI,MALAWI,,,95.9,,,,,,98.1,,,,97.8,,,,,,,
NAM,NAMIBIA,,,,,,,96.3,,,,,,96.4,,,,,,,
NER,NIGER,97.1,,,,,,87.2,,,,,,,,90.2,,,,,
NGA,NIGERIA,,,,,83.3,,,,,83.0,,,,84.7,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,93.2,,,,92.1,,,,
NPL,NEPAL,,89.6,,,,,84.6,,,,,81.0,,,,,67.3,,,
PAK,PAKISTAN,89.0,,,,,,78.9,,,,,,,,,,,,,
PER,PERU,,,,98.2,,,97.9,,,,,,92.5,,,,84.0,,,
PHL,PHILIPPINES,,,,,94.1,,,,,90.6,,,,,93.9,,,,,89.8
RWA,RWANDA,,,98.2,,,,,92.8,,,,,94.5,,,,,,,
SEN,SENEGAL,,,98.4,,,,,96.0,,,,,,,,95.6,,,,
SLE,SIERRA LEONE,,,,,93.9,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,98.7,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,98.1,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,80.6,,,,,,,,68.1,,,
TGO,TOGO,,,,,,,,,,,,,,,95.5,,,,,
TJK,TAJIKISTAN,83.1,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,92.8,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,88.5,,,,,80.7,,,,,77.5
TZA,"TANZANIA, UNITED REPUBLIC OF",,,98.5,,,,,,96.4,,,,,74.8,,,75.9,,,
UGA,UGANDA,,98.1,,,,,96.6,,,,,,96.8,,,,,94.2,,
UKR,UKRAINE,,,,,,98.9,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,96.4,,,
VNM,VIET NAM,,,,,,,,,,,95.8,,,,,86.6,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,95.4,,,,,
ZMB,ZAMBIA,,,,,,98.7,,,,,,97.5,,,,,99.1,,,
ZWE,ZIMBABWE,,,88.1,,,,,96.5,,,,,,94.3,,,,,95.2,
