Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
GAB,GABON,,,7.7,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,
GEO,GEORGIA,,,,,,19.9,,,,21.0,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,GHANA,2.6,,,2.6,,,5.9,,2.6,,,4.5,,,,2.7,,,,,2.9,,,,,,0.9,,,,,,,,,,,,,,,,,,
GIN,GUINEA,,,3.8,,,,,,,5.1,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,GAMBIA,,,,,1.9,,,,2.7,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,2.3,,,,3.2,,2.2,,17.0,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,9.7,,,,,,8.3,,,,14.0,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,,,,4.9,,,,,,,5.6,,8.5,6.9,,,,6.2,,,,,,,,2.8,,,,,,,,,,,,,,,,,
GUY,GUYANA,5.3,,,,,6.7,,6.8,,,,,,,5.5,,,1.9,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
HND,HONDURAS,,,5.2,,,,,,5.8,,,,,3.0,,,,,2.4,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
HRV,CROATIA (LOCAL NAME: HRVATSKA),,,,,,,,,,,,,,,,,,,9.2,7.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,,,3.6,,,,,,3.9,,,,,,3.1,,,,,4.3,,,,,,,,,,,,,,,,,1.5,,,,,,,,
HUN,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,,11.5,,,12.3,,,11.2,,,5.1,,,1.5,1.5,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,,,,1.9,,,,,,,3.6,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,
IRN,IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,,,,,,,,,6.9,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,IRAQ,,,,11.8,,,,,15.0,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,
JAM,JAMAICA,,,7.8,,4.0,,6.1,8.5,6.1,,7.5,,8.5,5.7,7.3,5.9,5.2,5.5,3.8,5.2,6.2,9.3,4.4,,,,,,,,,,,,,,15.6,,,,,,,,
JOR,JORDAN,,,4.7,,,6.6,,,,,,,4.7,,,,,4.4,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,
JPN,JAPAN,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,13.3,,,,,16.9,,,,,,,5.3,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
