Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
BRN,BRUNEI DARUSSALAM,5516.0,,,,,4817.0,,,,,4682.0,,,,,4578.0,,,,,4541.0,,,,,4301.0,,,,,4649.0,,,,,4265.0,,,,,3858.0,,,,,3808.0,,,,,3759.0,,,,,3606.0
BTN,BHUTAN,23726.0,,,,,24728.0,,,,,26528.0,,,,,31506.0,,,,,37153.0,,,,,38319.0,,,,,39131.0,,,,,38928.0,,,,,38096.0,,,,,35994.0,,,,,34311.0,,,,,32601.999999999996
BWA,BOTSWANA,164880.0,,,,,138194.0,,,,,94560.0,,,,,57532.0,,,,,45658.0,,,,,45135.0,,,,,44698.0,,,,,44827.0,,,,,45182.0,,,,,43742.0,,,,,43086.0,,,,,41406.0
CAF,CENTRAL AFRICAN REPUBLIC,360172.0,,,,,364452.0,,,,,338431.0,,,,,295326.0,,,,,248601.0,,,,,210074.0,,,,,195136.0,,,,,202227.0,,,,,211378.0,,,,,211883.0,,,,,210340.0,,,,,211577.0
CAN,CANADA,1213561.0,,,,,1132964.0,,,,,1094071.0,,,,,1012322.0,,,,,943539.0,,,,,879066.0,,,,,849642.0,,,,,811497.0,,,,,760272.0,,,,,723233.0,,,,,679186.0,,,,,634378.0
CHE,SWITZERLAND,306847.0,,,,,309901.0,,,,,315701.0,,,,,315557.0,,,,,303074.0,,,,,299673.0,,,,,287217.0,,,,,286516.0,,,,,282407.0,,,,,269142.0,,,,,253347.0,,,,,243878.0
CHL,CHILE,449612.0,,,,,398236.0,,,,,393982.0,,,,,377596.0,,,,,368931.0,,,,,368656.0,,,,,395833.0,,,,,439619.0,,,,,469998.0,,,,,496833.0,,,,,477223.0,,,,,434324.0
CHN,CHINA,4.3850777E7,,,,,4.0379237E7,,,,,4.2488667E7,,,,,4.0732702E7,,,,,3.9114492E7,,,,,3.5617671E7,,,,,3.3559266E7,,,,,3.3958953E7,,,,,4.0028153E7,,,,,7.2529456E7,,,,,6.4303816E7,,,,,6.3387625E7
CIV,COTE D'IVOIRE,1408427.0,,,,,1458449.0,,,,,1238828.0,,,,,923623.0,,,,,757421.0,,,,,672875.0,,,,,615498.0,,,,,572141.0,,,,,543115.0,,,,,500022.0,,,,,474290.0,,,,,448382.0
CMR,CAMEROON,1282551.0,,,,,1194639.0,,,,,1026074.0000000001,,,,,891673.0,,,,,805546.0,,,,,734443.0,,,,,689928.0,,,,,666926.0,,,,,643696.0,,,,,612723.0,,,,,590477.0,,,,,575860.0
COD,"CONGO, THE DRC",4906609.0,,,,,4482130.0,,,,,4298491.0,,,,,3486262.0,,,,,2950226.0,,,,,2605347.0,,,,,2351275.0,,,,,2116809.0,,,,,1978982.0,,,,,1820685.0,,,,,1681844.0,,,,,1628161.0
COG,CONGO,228456.0,,,,,224593.0,,,,,198840.0,,,,,163257.0,,,,,132000.0,,,,,116617.0,,,,,108260.0,,,,,99534.0,,,,,92062.0,,,,,87772.0,,,,,87371.0,,,,,89028.0
COL,COLOMBIA,1235480.0,,,,,1159495.0,,,,,1106710.0,,,,,1084136.0,,,,,990556.0,,,,,934546.0,,,,,980756.0,,,,,992452.0,,,,,1000656.0,,,,,988549.0,,,,,985977.0,,,,,1063683.0
COM,COMOROS,30679.0,,,,,28918.0,,,,,26704.0,,,,,24733.0,,,,,23891.0,,,,,23986.0,,,,,22139.0,,,,,20640.0,,,,,20649.0,,,,,20636.0,,,,,20601.0,,,,,19512.0
CPV,CAPE VERDE,12755.0,,,,,13236.0,,,,,13947.0,,,,,14430.0,,,,,14702.0,,,,,15801.0,,,,,17714.0,,,,,20033.0,,,,,21515.0,,,,,21247.0,,,,,21046.0,,,,,20328.0
CRI,COSTA RICA,92686.0,,,,,82012.0,,,,,73314.0,,,,,67096.0,,,,,62689.0,,,,,59616.0,,,,,61862.0,,,,,65254.99999999999,,,,,69530.0,,,,,74183.0,,,,,72867.0,,,,,70512.0
CUB,CUBA,410798.0,,,,,402271.0,,,,,389126.0,,,,,386102.0,,,,,346767.0,,,,,306009.0,,,,,280484.0,,,,,287279.0,,,,,301180.0,,,,,321351.0,,,,,314350.0,,,,,334883.0
CUW,CURAÇAO,5676.0,,,,,5363.0,,,,,5166.0,,,,,4792.0,,,,,4466.0,,,,,4309.0,,,,,4455.0,,,,,4694.0,,,,,4750.0,,,,,5216.0,,,,,5663.0,,,,,6036.0
CYP,CYPRUS,36382.0,,,,,33474.0,,,,,31043.0,,,,,28012.0,,,,,26148.0,,,,,25754.0,,,,,26341.0,,,,,26362.0,,,,,19588.0,,,,,20505.0,,,,,21783.0,,,,,21387.0
CZE,CZECH REPUBLIC,538061.0,,,,,550688.0,,,,,569994.0,,,,,616381.0,,,,,650456.0,,,,,670379.0,,,,,637735.0,,,,,626054.0,,,,,563271.0,,,,,504800.0,,,,,482460.0,,,,,502891.0
DEU,GERMANY,4317443.0,,,,,4298010.0,,,,,4447815.0,,,,,4602435.0,,,,,4661294.0,,,,,4795720.0,,,,,4877335.0,,,,,4896279.0,,,,,4743426.0,,,,,4416098.0,,,,,4141906.0,,,,,3872161.0
DJI,DJIBOUTI,38951.0,,,,,38154.0,,,,,35802.0,,,,,34034.0,,,,,26766.0,,,,,23208.0,,,,,17691.0,,,,,13439.0,,,,,11146.0,,,,,8631.0,,,,,7350.0,,,,,6897.0
DNK,DENMARK,277337.0,,,,,289593.0,,,,,302545.0,,,,,305481.0,,,,,294859.0,,,,,284481.0,,,,,265843.0,,,,,252529.0,,,,,243116.0,,,,,227690.0,,,,,206505.0,,,,,197650.0
DOM,DOMINICAN REPUBLIC,289657.0,,,,,269406.0,,,,,248360.0,,,,,229903.0,,,,,228953.0,,,,,230326.0,,,,,227740.0,,,,,233825.0,,,,,248731.0,,,,,261744.00000000003,,,,,268172.0,,,,,265494.0
DZA,ALGERIA,999996.0,,,,,872243.0,,,,,812807.0,,,,,815765.0,,,,,827853.0,,,,,976840.0,,,,,1212093.0,,,,,1244395.0,,,,,1188555.0,,,,,1163865.0,,,,,1144890.0,,,,,1111038.0
ECU,ECUADOR,359225.0,,,,,325715.0,,,,,315818.0,,,,,316033.0,,,,,323180.0,,,,,339154.0,,,,,359653.0,,,,,368596.0,,,,,364669.0,,,,,352726.0,,,,,356607.0,,,,,358663.0
EGY,EGYPT,2538368.0,,,,,2371257.0,,,,,2248651.0,,,,,2340831.0,,,,,2425672.0,,,,,2643604.0,,,,,2740709.0,,,,,2900608.0,,,,,2820367.0,,,,,2779384.0,,,,,2738618.0,,,,,2902384.0
ERI,ERITREA,212790.0,,,,,196354.0,,,,,193379.0,,,,,232698.0,,,,,246334.0,,,,,237060.0,,,,,212511.0,,,,,198713.0,,,,,191616.0,,,,,183167.0,,,,,173789.0,,,,,166701.0
ESH,WESTERN SAHARA,13859.0,,,,,11961.0,,,,,10588.0,,,,,10693.0,,,,,10995.0,,,,,11897.0,,,,,9770.0,,,,,7586.0,,,,,7214.0,,,,,5165.0,,,,,3529.0,,,,,2435.0
ESP,SPAIN,1887165.0,,,,,1871761.0,,,,,1805068.0,,,,,1708128.0,,,,,1607092.0,,,,,1498709.0,,,,,1506476.0,,,,,1500320.0,,,,,1429319.0,,,,,1379979.0,,,,,1412254.0,,,,,1475322.0
EST,ESTONIA,85352.0,,,,,91644.0,,,,,97506.0,,,,,104262.0,,,,,93389.0,,,,,92445.0,,,,,87558.0,,,,,77677.0,,,,,71177.0,,,,,66862.0,,,,,67956.0,,,,,74569.0
ETH,ETHIOPIA,3872726.0,,,,,4444020.0,,,,,4655676.0,,,,,4563933.0,,,,,4234173.0,,,,,4080297.0,,,,,3529686.0,,,,,3192122.0,,,,,2916854.0,,,,,2776300.0,,,,,2809873.0,,,,,2849549.0
FIN,FINLAND,247753.0,,,,,247527.0,,,,,249126.0,,,,,250846.0,,,,,244419.0,,,,,226431.0,,,,,224011.0,,,,,225197.0,,,,,225203.0,,,,,210476.0,,,,,198849.0,,,,,202456.0
FJI,FIJI,27445.0,,,,,25476.0,,,,,23759.0,,,,,23186.0,,,,,23273.0,,,,,23370.0,,,,,22855.0,,,,,22079.0,,,,,21966.0,,,,,22596.0,,,,,23016.0,,,,,23234.0
FRA,FRANCE,2686188.0,,,,,2698888.0,,,,,2710850.0,,,,,2670089.0,,,,,2731654.0,,,,,2793814.0,,,,,2779649.0,,,,,2780584.0,,,,,2767173.0,,,,,2648544.0,,,,,2630296.0,,,,,2720480.0
FSM,"MICRONESIA, FEDERATED STATES OF",3307.0,,,,,3396.0,,,,,3380.0,,,,,3270.0,,,,,3053.0,,,,,2858.0,,,,,2636.0,,,,,2729.0,,,,,2733.0,,,,,2643.0,,,,,2581.0,,,,,2477.0
GAB,GABON,74548.0,,,,,72999.0,,,,,62295.0,,,,,54949.0,,,,,51004.0,,,,,53101.0,,,,,56033.0,,,,,58710.0,,,,,61519.0,,,,,64644.00000000001,,,,,63842.0,,,,,66205.0
GBR,UNITED KINGDOM,2891281.0,,,,,3030241.0,,,,,3183661.0,,,,,3223428.0,,,,,3304271.0,,,,,3314339.0,,,,,3365248.0,,,,,3320361.0,,,,,3228119.0,,,,,3153262.0,,,,,3018709.0,,,,,2998089.0
GEO,GEORGIA,242373.0,,,,,233823.0,,,,,245382.0,,,,,257231.0,,,,,248829.0,,,,,244619.0,,,,,225956.0,,,,,233336.0,,,,,240256.0,,,,,264028.0,,,,,277537.0,,,,,284384.0
GHA,GHANA,1090599.0,,,,,1057263.0,,,,,943845.0,,,,,810666.0,,,,,801817.0,,,,,776417.0,,,,,736305.0,,,,,714633.0,,,,,677893.0,,,,,638631.0,,,,,592229.0,,,,,563468.0
GIN,GUINEA,647077.0,,,,,682581.0,,,,,635125.0,,,,,557778.0,,,,,511952.0,,,,,523919.99999999994,,,,,538133.0,,,,,561362.0,,,,,553859.0,,,,,534942.0,,,,,529922.0,,,,,531755.0
GLP,GUADELOUPE,15256.0,,,,,14365.0,,,,,13467.0,,,,,12800.0,,,,,12478.0,,,,,12015.0,,,,,11979.0,,,,,12614.0,,,,,13438.0,,,,,15446.0,,,,,15426.0,,,,,16497.0
GMB,GAMBIA,82179.0,,,,,77383.0,,,,,73079.0,,,,,68699.0,,,,,62181.0,,,,,58863.0,,,,,58508.0,,,,,58728.0,,,,,59373.0,,,,,59355.0,,,,,53448.0,,,,,47035.0
GNB,GUINEA-BISSAU,101472.0,,,,,97131.0,,,,,92054.0,,,,,88359.0,,,,,85633.0,,,,,83297.0,,,,,80534.0,,,,,79014.0,,,,,63290.0,,,,,66684.0,,,,,67783.0,,,,,70270.0
GNQ,EQUATORIAL GUINEA,49342.0,,,,,47459.0,,,,,42686.0,,,,,38767.0,,,,,35249.0,,,,,28427.0,,,,,25404.0,,,,,31338.0,,,,,35487.0,,,,,35033.0,,,,,35111.0,,,,,35209.0
GRC,GREECE,552186.0,,,,,518510.0,,,,,504942.0,,,,,476410.0,,,,,478603.0,,,,,486988.0,,,,,475631.0,,,,,458166.0,,,,,418573.0,,,,,401704.0,,,,,393828.0,,,,,368996.0
GRD,GRENADA,4006.0,,,,,4141.0,,,,,4184.0,,,,,4286.0,,,,,4101.0,,,,,4165.0,,,,,4120.0,,,,,4165.0,,,,,4509.0,,,,,5202.0,,,,,5574.0,,,,,5771.0
GTM,GUATEMALA,383545.0,,,,,361390.0,,,,,367323.0,,,,,381925.0,,,,,393576.0,,,,,406346.0,,,,,402115.0,,,,,392514.0,,,,,401463.0,,,,,399021.0,,,,,391018.0,,,,,377270.0
GUF,FRENCH GUIANA,3935.0,,,,,3417.0,,,,,3043.0,,,,,2876.0,,,,,2659.0,,,,,2401.0,,,,,2306.0,,,,,2151.0,,,,,2052.0,,,,,2221.0,,,,,2167.0,,,,,2132.0
GUM,GUAM,3762.0,,,,,3616.0,,,,,3403.0,,,,,3225.0,,,,,2923.0,,,,,2645.0,,,,,2487.0,,,,,2368.0,,,,,2447.0,,,,,2655.0,,,,,2735.0,,,,,2831.0
GUY,GUYANA,29228.0,,,,,33032.0,,,,,34243.0,,,,,34823.0,,,,,34241.0,,,,,34524.0,,,,,36123.0,,,,,35155.0,,,,,32889.0,,,,,30730.0,,,,,29055.0,,,,,26439.0
HKG,HONG KONG,203428.0,,,,,188072.0,,,,,171850.0,,,,,162183.0,,,,,147441.0,,,,,124392.0,,,,,110583.0,,,,,93960.0,,,,,94513.0,,,,,93499.0,,,,,90290.0,,,,,84804.0
HND,HONDURAS,184176.0,,,,,173159.0,,,,,164722.0,,,,,166184.0,,,,,166177.0,,,,,180699.0,,,,,191554.0,,,,,199087.0,,,,,201860.0,,,,,199293.0,,,,,199916.0,,,,,197739.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),256593.00000000003,,,,,258991.0,,,,,254323.0,,,,,264312.0,,,,,243834.0,,,,,237249.0,,,,,224023.0,,,,,213215.0,,,,,214570.0,,,,,220916.0,,,,,236048.0,,,,,262492.0
HTI,HAITI,451683.0,,,,,472855.0,,,,,464466.0,,,,,465693.0,,,,,467675.0,,,,,471247.0,,,,,437479.0,,,,,422733.0,,,,,418420.0,,,,,428640.0,,,,,435068.0,,,,,445536.0
HUN,HUNGARY,661920.0,,,,,670152.0,,,,,706176.0,,,,,736279.0,,,,,730053.0,,,,,741195.0,,,,,682904.0,,,,,610065.0,,,,,561137.0,,,,,513730.0,,,,,510190.0,,,,,539638.0
IDN,INDONESIA,7487669.0,,,,,7235066.0,,,,,6997249.0,,,,,6981164.0,,,,,7078462.0,,,,,7309339.0,,,,,7565182.0,,,,,7928758.0,,,,,8374999.0,,,,,8817296.0,,,,,9227685.0,,,,,9548213.0
IND,INDIA,4.7075893E7,,,,,4.6549478E7,,,,,4.6314029E7,,,,,4.6337456E7,,,,,4.5171788E7,,,,,4.3755649E7,,,,,4.3023732E7,,,,,4.4676355E7,,,,,4.6499367E7,,,,,4.8922197E7,,,,,5.1263727E7,,,,,5.3228429E7
