Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,97.6,,,,,,,,,,,,,,,
ARM,ARMENIA,,,100.0,,,,,90.3,,,,,88.1,,,,,,,
AZE,AZERBAIJAN,,,,,,,65.3,,,,,,,,,,,,,
BDI,BURUNDI,,,99.1,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,85.3,,,,,85.9,,,,,76.8,,,
BFA,BURKINA FASO,,,94.8,,,,,,,70.0,,,,,59.1,,,,,
BGD,BANGLADESH,,48.7,,,,48.2,,,44.5,,,,,29.6,,,26.3,,,16.8
BOL,BOLIVIA,,,,,73.4,,,,,69.6,,,,,50.6,,,,35.8,
BRA,BRAZIL,,,,,,,,,,,,,,,,,72.3,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,50.5,
CIV,COTE D'IVOIRE,,86.7,,,,,,,,,,,,,79.1,,,,76.4,
CMR,CAMEROON,,75.5,,,,,,,74.6,,,,,,74.4,,,,,
COD,"CONGO, THE DRC",,,,,,81.3,,,,,,,,,,,,,,
COG,CONGO,,86.4,,,,,,82.2,,,,,,,,,,,,
COL,COLOMBIA,,,93.1,,,,,87.7,,,,,83.1,,,,,72.6,,
COM,COMOROS,,,,,,,,,,,,,,,,,81.4,,,
DOM,DOMINICAN REPUBLIC,,,,,,98.0,,,,,97.6,,,100.0,,,97.4,,,
EGY,EGYPT,,,,,69.9,,,66.2,,,,,47.1,,,,,30.6,,
ETH,ETHIOPIA,,26.1,,,,,,23.6,,,,,21.9,,,,,,,
GAB,GABON,84.6,,,,,,,,,,,,83.4,,,,,,,
GHA,GHANA,,,,,93.8,,,,,88.4,,,,,87.4,,,,,81.3
GIN,GUINEA,,,,,,,,77.9,,,,,,67.4,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,52.7,,,44.4,,
GUY,GUYANA,,,,89.8,,,,,,,,,,,,,,,,
HND,HONDURAS,,96.2,,,,,,90.8,,,,,,,,,,,,
HTI,HAITI,88.8,,,,,,,81.8,,,,,72.9,,,,,,59.8,
IDN,INDONESIA,93.3,,,,,90.6,,,,,86.6,,,,,88.4,,,80.4,
IND,INDIA,,,,,,,,67.6,,,,,,,59.8,,,,,
JOR,JORDAN,99.1,,,,,98.1,,,,,97.7,,,,,93.3,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,96.6,,,,93.6,,
KEN,KENYA,,,,,90.2,,,,,86.3,,,,,91.4,,,,,94.2
KGZ,KYRGYZSTAN,,,,,,,,,,,,,,,,97.1,,,,
KHM,CAMBODIA,,,89.2,,,,,69.3,,,,,34.8,,,,,,,
LBR,LIBERIA,,,,,,72.9,,,,,,,,,,,,,,
LSO,LESOTHO,,,,89.9,,,,,89.3,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,48.9,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,98.3,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,84.4,,,,,77.1,,,,,,75.3,,,,
MDV,MALDIVES,,,,99.2,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,65.2,,,,,47.2,,,,,,35.8,,
MOZ,MOZAMBIQUE,,88.4,,,,,,,,79.6,,,,,,65.6,,,,
MWI,MALAWI,,,94.4,,,,,,91.2,,,,90.2,,,,,,,
NAM,NAMIBIA,,,,,,,92.9,,,,,,86.9,,,,,,,
NER,NIGER,81.9,,,,,,39.2,,,,,,,,30.4,,,,,
NGA,NIGERIA,,,,,46.0,,,,,47.5,,,,56.5,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,78.6,,,,76.3,,,,
NPL,NEPAL,,56.2,,,,,38.6,,,,,46.6,,,,,20.7,,,
PAK,PAKISTAN,69.0,,,,,,54.9,,,,,,,,,,,,,
PER,PERU,,,,86.7,,,85.5,,,,,,75.0,,,,48.5,,,
PHL,PHILIPPINES,,,,,87.9,,,,,83.0,,,,,81.5,,,,,80.5
RWA,RWANDA,,,98.2,,,,,94.6,,,,,92.1,,,,,,,
SEN,SENEGAL,,,89.6,,,,,81.8,,,,,,,,76.2,,,,
SLE,SIERRA LEONE,,,,,84.8,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,97.7,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,96.5,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,35.2,,,,,,,,23.9,,,
TGO,TOGO,,,,,,,,,,,,,,,78.9,,,,,
TJK,TAJIKISTAN,78.9,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,83.5,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,62.3,,,,,57.1,,,,,53.0
TZA,"TANZANIA, UNITED REPUBLIC OF",,,94.7,,,,,,93.2,,,,,41.4,,,43.3,,,
UGA,UGANDA,,94.3,,,,,92.6,,,,,,91.8,,,,,90.9,,
UKR,UKRAINE,,,,,,98.5,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,94.0,,,
VNM,VIET NAM,,,,,,,,,,,84.8,,,,,69.3,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,94.8,,,,,
ZMB,ZAMBIA,,,,,,90.8,,,,,,90.6,,,,,92.8,,,
ZWE,ZIMBABWE,,,88.7,,,,,92.7,,,,,,91.7,,,,,92.4,
