Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
ABW,ARUBA,0.415454982191051,-2.37226328015075,0.571755528109421,4.374595794515,2.07773902027786,-2.13637157324915,8.95773218758906,5.39120264004318,3.60871145889232,3.39562524612462,2.52993805918791,3.65737658137544,3.31577499115529,2.88360430316258,4.04402131190515,2.28037198258752,1.8694885361554,2.99994809778413,3.22528797213981,3.36139107320896,6.3110797127044,5.21555996035713,3.87337536996479,5.5555555555558,5.83668775158166,3.99162804604576,3.12186849610725,3.64304545817704,1.07396640826832,4.03225806451617,,,,,,,,,,,,,,,,,,,,,,,,
AFG,AFGHANISTAN,4.62046738340625,7.64760762303784,7.2182577605757,10.201660141582,0.892536936481875,-8.28307839459528,30.5549406065732,8.48288926754483,7.25489556090275,12.6862687216715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,7.27956154105375,8.7760909329091,10.2934943262189,13.467015350445,14.4705411972156,13.7314511365109,12.4737134078335,12.2486755229588,13.3032533614052,22.963744439455,43.5419472520537,98.2237177041649,108.897436089429,152.561022469298,324.996871601321,248.195902412868,107.284821528298,219.176721172975,4145.10764738459,2671.79207227631,948.811188811187,1379.41427352858,299.060500158854,83.6083333333327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,1.62854012102238,1.93761754903915,2.03159593996544,3.45034715268,3.5522673879091,2.28050222182017,3.35924241776586,2.93268248162319,2.37072831904281,2.36658195679796,2.28001916938101,0.484002611818497,7.77052583431551,3.10758827031434,0.0500181363468357,0.389437653561615,20.6428588670596,33.1802743753956,12.7254778087103,7.79321853789216,22.5650526933696,85.0047512387157,226.005421253526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,2.34470394760002,1.10069140427238,0.66406730761652,0.876836632777,0.878936755572795,1.55980098148538,12.2504202448139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,10.0302590249298,9.46568627450976,10.7801154347425,6.28277431483129,8.58401375161131,8.83141298885049,10.901124534884,9.63939954620811,4.41571792341912,13.4428492915644,25.8684978656633,-1.06663550777849,-0.935939411978723,-1.16689546970002,0.920336467095566,0.527258257063252,0.155695900742245,3.37611684980121,4.17734724367,10.6114940961306,24.8999485988254,171.671696468307,2313.96466339751,3079.8097030531,342.955110191569,131.327020980362,90.0966050749321,672.180651051974,626.718592068498,343.810676313218,164.776810573524,104.476042578907,100.764370305146,159.507115636537,175.514723976704,176.001811184063,443.965517241376,182.926829268293,23.4748898678416,61.2490765471383,58.4458851071495,34.7325003032876,13.5868816315283,7.57485917580783,16.210163652024,29.2009793011355,31.9142689371692,28.6253776435047,22.1965851407479,23.8993710691821,28.3198826118859,13.3943427620626
ARM,ARMENIA,2.98098807302378,5.79378791735212,2.55547090012958,7.65123363797599,8.18157554355632,3.40676682683801,8.94995335353401,4.40736089644518,2.89235662458991,0.642343268242641,6.96126135875789,4.72155336605343,1.06004929341648,3.1459046468503,-0.790883768934663,0.64824576047036,8.67248632385144,13.9607641217913,18.6811856400358,175.951325534584,3373.47413912149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,,1.05949782356178,3.37688044338864,3.45674967234602,3.37002540220148,-0.550159995508537,5.33380639820197,1.41605259409778,1.78778537419117,2.09875196709304,2.03007757853206,1.99353055152483,2.40765801293435,1.40279663573983,0.771779796900148,1.12128789571149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,2.48792270531479,2.44988864142537,1.76278015613119,3.38933951332598,2.84522568151348,1.82011224025484,4.35264324153211,2.33236151603494,3.538487338588,2.66873278236919,2.34361233480169,2.77073524085485,3.00317105017709,4.38084112149544,4.47518307567118,1.46542827657376,0.853455453788499,0.250417362270539,2.61241970021418,4.63813578310544,1.89497716894982,1.81311018131103,0.985915492957815,3.22267991276945,7.27226005396373,7.55942509673855,7.23177237700054,8.48874598070751,9.0845317438218,6.73904904513951,3.9501848608833,10.1135633169491,11.1455108362311,9.69174503578903,10.1265822784808,9.09000099850195,7.9236739978777,12.3002421308107,13.5239142383545,15.0719595131189,15.1101401784917,9.4659226779787,5.86497890296596,6.06399642003099,3.90606835621463,2.91935869826708,2.65291083273233,3.19391634982607,2.97572435370125,3.96200814112345,2.36111111111768,0.530578050825142,-0.278473962407475,2.51213245820018
AUT,AUSTRIA,1.60580560488029,2.00015749271516,2.48567508675541,3.26693891157701,1.81353503144189,0.506312508899569,3.21592066034736,2.16859905342352,1.44961845101615,2.30476587870183,2.06122815101209,1.35554112494967,1.80210199853865,2.66344072205173,2.39518551185591,0.562409389869572,0.921274845497749,1.30832133193014,1.84355728659553,2.25009956192743,2.95906512676805,3.62580553785168,4.02976278178846,3.33434835566383,3.26232214448601,2.56389583165372,1.9312952005256,1.39999999999998,1.70092133250417,3.18969396952589,5.66486357971625,3.33538083521081,5.44041450772785,6.80686220272206,6.32538982057285,3.70709382153311,3.57904716751523,5.47499999941714,7.31868915965106,8.44525507087448,9.52179176777702,7.52408227034553,6.36206299753877,4.70426210521018,4.37282493556874,3.08040240203398,2.77310250847007,3.97499999941707,2.20588235295138,4.93091113147143,3.8685705959719,2.70876982933234,4.38178551912397,3.54225636863848
