Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Number of Disasters,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,1.0,3.0,5.0,5.0,4.0,2.0,1.0,4.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,22.0,17.0,43.0,276.0,256.0,804.0,269.0,243.0,515.0,1944.0,432.0,482.0,680.0,654.0,455.0,369.0,459.0,822.0
