Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965
AGO,ANGOLA,,,,,,,,,,,,47.0,1462.0,1798.0,841.0,29.0,1266.0,,,1007.0,3310.0,2260.0,1440.0,1106.0,823.0,658.0,318.0,321.0,173.0,71.0,,,,32.0,361.0,130.0,33.0,1151.0,,,138.0,132.0,133.0,215.0,147.0,104.0,107.0,83.0,95.0,2.0
BDI,BURUNDI,,,,,,,,12.0,47.0,,,213.0,1155.0,93.0,107.0,71.0,123.0,33.0,138.0,,42.0,,2739.0,546.0,37.0,92.0,67.0,43.0,59.0,15.0,58.0,108.0,58.0,76.0,43.0,718.0,58.0,34.0,,41.0,31.0,44.0,14.0,,22.0,7.0,118.0,98.0,46.0,
BEN,BENIN,711.0,833.0,1165.0,269.0,323.0,416.0,414.0,502.0,316.0,302.0,377.0,451.0,764.0,9545.0,1624.0,380.0,1135.0,442.0,1775.0,1294.0,1377.0,2146.0,,688.0,425.0,2499.0,437.0,752.0,464.0,543.0,220.0,274.0,247.0,270.0,253.0,214.0,479.0,400.0,272.0,287.0,374.0,485.0,1074.0,1333.0,1366.0,1767.0,1222.0,847.0,415.0,74.0
BFA,BURKINA FASO,3476.0,2917.0,6957.0,3875.0,6732.0,4723.0,10401.0,26878.0,19134.0,3626.0,6252.0,8661.0,14453.0,13658.0,3824.0,3215.0,5649.0,22305.0,42129.0,2595.0,823.0,2094.0,2034.0,2057.0,2499.0,3778.0,4289.0,2546.0,6367.0,6445.0,15811.0,6286.0,6675.0,4231.0,1867.0,1813.0,1359.0,1092.0,,1321.0,1317.0,2301.0,2921.0,,19960.0,3045.0,962.0,1010.0,1259.0,1275.0
BWA,BOTSWANA,,,,,,,,,,,,,0.0,13.0,0.0,35.0,,,,,,,,97.0,83.0,30.0,25.0,18.0,,38.0,25.0,92.0,97.0,102.0,111.0,,72.0,34.0,,4.0,,,,,,,,,14.0,20.0
CAF,CENTRAL AFRICAN REPUBLIC,169.0,210.0,266.0,361.0,477.0,289.0,345.0,659.0,223.0,128.0,,179.0,496.0,2192.0,3069.0,757.0,245.0,10.0,155.0,,,472.0,1226.0,538.0,784.0,632.0,772.0,484.0,414.0,324.0,276.0,256.0,209.0,202.0,226.0,204.0,217.0,232.0,158.0,401.0,320.0,192.0,392.0,230.0,384.0,401.0,354.0,241.0,144.0,
CIV,COTE D'IVOIRE,196.0,255.0,500.0,141.0,146.0,284.0,1117.0,760.0,656.0,527.0,464.0,453.0,543.0,220.0,366.0,94.0,3.0,5.0,,,,,,,,,,70.0,22.0,618.0,52.0,11.0,51.0,67.0,,96.0,44.0,,,,30.0,,154.0,148.0,351.0,341.0,275.0,341.0,216.0,160.0
CMR,CAMEROON,1156.0,1010.0,542.0,2548.0,835.0,1001.0,,107.0,35.0,,,539.0,899.0,1822.0,1432.0,2272.0,2887.0,572.0,178.0,,578.0,5372.0,27752.0,2625.0,2684.0,2086.0,1838.0,625.0,1457.0,1549.0,1486.0,2622.0,1688.0,1503.0,746.0,,819.0,265.0,245.0,,26.0,2003.0,3071.0,114.0,264.0,248.0,532.0,1708.0,395.0,806.0
COD,"CONGO, THE DRC",10109.0,9339.0,10141.0,5176.0,8276.0,4842.0,6125.0,9542.0,6155.0,8882.0,13367.0,10371.0,6360.0,2296.0,6955.0,3200.0,1991.0,1327.0,86.0,48.0,,102.0,,,88.0,,1229.0,615.0,364.0,640.0,184.0,385.0,797.0,563.0,1036.0,1975.0,945.0,1149.0,,,563.0,1705.0,,552.0,345.0,,549.0,329.0,191.0,206.0
COG,CONGO,,,,,,,,,,,,79.0,65.0,0.0,0.0,,,,,,,,,,,,32.0,,4.0,7.0,44.0,,7.0,88.0,160.0,209.0,198.0,171.0,118.0,57.0,78.0,103.0,102.0,103.0,41.0,41.0,22.0,15.0,17.0,28.0
