Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
BRB,BARBADOS,0.493,,,,,0.472,,,,,0.304,,,,,0.293,,,,,0.388,,,,,0.443,,,,,0.252,,,,,0.582,,,,,0.28,,,,,0.381,,,,,0.334,,,,,1.465
BRN,BRUNEI DARUSSALAM,1.706,,,,,2.061,,,,,2.351,,,,,2.764,,,,,2.829,,,,,2.888,,,,,3.657,,,,,4.295,,,,,4.707,,,,,4.511,,,,,5.101,,,,,5.564
BTN,BHUTAN,1.948,,,,,2.839,,,,,2.06,,,,,-1.02,,,,,2.65,,,,,2.566,,,,,3.339,,,,,3.613,,,,,2.861,,,,,2.397,,,,,2.269,,,,,2.478
BWA,BOTSWANA,0.973,,,,,1.327,,,,,2.061,,,,,2.694,,,,,3.109,,,,,3.438,,,,,3.851,,,,,3.429,,,,,3.024,,,,,2.565,,,,,2.192,,,,,2.598
CAF,CENTRAL AFRICAN REPUBLIC,1.874,,,,,1.699,,,,,2.1,,,,,2.348,,,,,2.096,,,,,2.855,,,,,2.396,,,,,1.964,,,,,2.071,,,,,1.845,,,,,1.434,,,,,1.069
CAN,CANADA,1.129,,,,,0.989,,,,,0.935,,,,,1.15,,,,,1.357,,,,,1.059,,,,,1.155,,,,,1.528,,,,,1.699,,,,,1.895,,,,,2.59,,,,,2.714
CHE,SWITZERLAND,1.108,,,,,0.667,,,,,0.419,,,,,1.003,,,,,0.665,,,,,0.477,,,,,-0.166,,,,,0.597,,,,,1.132,,,,,1.921,,,,,1.268,,,,,1.257
CHL,CHILE,0.971,,,,,1.112,,,,,1.358,,,,,1.775,,,,,1.717,,,,,1.604,,,,,1.418,,,,,1.696,,,,,2.031,,,,,2.469,,,,,2.451,,,,,2.135
CHN,CHINA,0.622,,,,,0.581,,,,,0.682,,,,,1.201,,,,,1.853,,,,,1.531,,,,,1.486,,,,,2.299,,,,,2.7,,,,,1.788,,,,,1.589,,,,,2.001
CIV,COTE D'IVOIRE,1.742,,,,,1.507,,,,,2.526,,,,,3.199,,,,,3.525,,,,,4.123,,,,,4.481,,,,,4.627,,,,,4.338,,,,,3.885,,,,,3.075,,,,,2.494
CMR,CAMEROON,2.57,,,,,2.599,,,,,2.681,,,,,2.865,,,,,3.015,,,,,3.007,,,,,2.865,,,,,2.676,,,,,2.459,,,,,2.21,,,,,1.907,,,,,1.745
COD,"CONGO, THE DRC",2.814,,,,,2.809,,,,,2.222,,,,,3.704,,,,,3.005,,,,,2.616,,,,,2.81,,,,,2.7,,,,,2.83,,,,,2.605,,,,,2.41,,,,,2.078
COG,CONGO,2.978,,,,,2.502,,,,,2.779,,,,,2.648,,,,,2.733,,,,,2.921,,,,,2.9,,,,,3.035,,,,,2.848,,,,,2.662,,,,,2.403,,,,,2.137
COK,COOK ISLANDS,0.892,,,,,1.691,,,,,-0.53,,,,,0.771,,,,,-0.123,,,,,0.112,,,,,-2.882,,,,,-1.007,,,,,2.417,,,,,0.763,,,,,2.18,,,,,1.647
COL,COLOMBIA,1.456,,,,,1.583,,,,,1.74,,,,,1.871,,,,,2.04,,,,,2.207,,,,,2.31,,,,,2.342,,,,,2.797,,,,,2.96,,,,,2.926,,,,,2.836
COM,COMOROS,2.569,,,,,2.569,,,,,2.515,,,,,2.42,,,,,2.567,,,,,2.93,,,,,3.682,,,,,2.345,,,,,2.176,,,,,1.768,,,,,1.808,,,,,2.142
CPV,CAPE VERDE,0.371,,,,,1.574,,,,,2.042,,,,,2.533,,,,,1.23,,,,,1.859,,,,,-0.705,,,,,2.52,,,,,2.616,,,,,2.596,,,,,1.646,,,,,1.866
CRI,COSTA RICA,1.556,,,,,1.895,,,,,2.44,,,,,2.441,,,,,2.634,,,,,2.78,,,,,2.698,,,,,2.377,,,,,2.812,,,,,3.423,,,,,3.333,,,,,3.122
CUB,CUBA,-0.018,,,,,0.274,,,,,0.374,,,,,0.615,,,,,0.974,,,,,0.526,,,,,0.823,,,,,1.595,,,,,1.833,,,,,2.151,,,,,1.76,,,,,1.99
CUW,CURAÇAO,2.627,,,,,-0.413,,,,,-1.709,,,,,-0.384,,,,,-0.498,,,,,0.319,,,,,-0.304,,,,,0.902,,,,,1.407,,,,,1.064,,,,,1.645,,,,,3.089
CYM,CAYMAN ISLANDS,2.649,,,,,3.079,,,,,5.494,,,,,4.724,,,,,5.167,,,,,3.562,,,,,5.565,,,,,5.829,,,,,1.766,,,,,1.242,,,,,3.283,,,,,0.804
CYP,CYPRUS,1.332,,,,,1.809,,,,,1.956,,,,,2.192,,,,,1.713,,,,,0.527,,,,,1.068,,,,,1.144,,,,,1.093,,,,,0.279,,,,,1.559,,,,,1.405
CZE,CZECH REPUBLIC,0.622,,,,,-0.039,,,,,-0.173,,,,,0.026,,,,,-0.008,,,,,0.032,,,,,0.532,,,,,0.432,,,,,0.192,,,,,0.323,,,,,0.562,,,,,0.959
DEU,GERMANY,-0.196,,,,,0.077,,,,,0.088,,,,,0.65,,,,,0.399,,,,,-0.069,,,,,-0.138,,,,,0.109,,,,,0.675,,,,,0.885,,,,,0.464,,,,,0.441
DJI,DJIBOUTI,1.427,,,,,1.433,,,,,1.699,,,,,2.366,,,,,6.595,,,,,3.325,,,,,9.426,,,,,6.793,,,,,6.57,,,,,6.363,,,,,3.676,,,,,2.311
DMA,DOMINICA,0.176,,,,,0.246,,,,,-0.479,,,,,0.123,,,,,-0.75,,,,,-0.449,,,,,0.874,,,,,0.284,,,,,1.776,,,,,1.607,,,,,1.907,,,,,1.309
DNK,DENMARK,0.486,,,,,0.295,,,,,0.4,,,,,0.356,,,,,0.105,,,,,-0.039,,,,,0.244,,,,,0.525,,,,,0.701,,,,,0.769,,,,,0.626,,,,,0.787
DOM,DOMINICAN REPUBLIC,1.392,,,,,1.511,,,,,1.649,,,,,1.927,,,,,2.098,,,,,2.263,,,,,2.393,,,,,2.665,,,,,2.971,,,,,3.267,,,,,3.388,,,,,3.218
DZA,ALGERIA,1.748,,,,,1.366,,,,,1.576,,,,,2.217,,,,,2.769,,,,,3.194,,,,,2.915,,,,,2.723,,,,,2.801,,,,,2.487,,,,,2.572,,,,,2.227
ECU,ECUADOR,1.702,,,,,1.893,,,,,2.043,,,,,2.227,,,,,2.437,,,,,2.499,,,,,2.648,,,,,2.796,,,,,2.895,,,,,2.876,,,,,2.756,,,,,2.608
EGY,EGYPT,1.682,,,,,1.637,,,,,1.562,,,,,1.646,,,,,2.248,,,,,2.276,,,,,2.147,,,,,2.097,,,,,2.493,,,,,2.725,,,,,2.761,,,,,2.507
ERI,ERITREA,3.357,,,,,4.176,,,,,2.899,,,,,0.81,,,,,2.893,,,,,3.188,,,,,3.209,,,,,2.701,,,,,2.515,,,,,2.409,,,,,2.219,,,,,1.935
ESH,WESTERN SAHARA,3.697,,,,,6.726,,,,,3.755,,,,,3.11,,,,,3.456,,,,,3.798,,,,,13.991,,,,,-0.506,,,,,8.219,,,,,8.841,,,,,8.751,,,,,8.588
ESP,SPAIN,1.248,,,,,1.485,,,,,0.433,,,,,0.275,,,,,0.213,,,,,0.515,,,,,0.958,,,,,1.118,,,,,1.021,,,,,1.085,,,,,0.889,,,,,0.719
EST,ESTONIA,-0.405,,,,,-0.61,,,,,-0.957,,,,,-1.765,,,,,0.555,,,,,0.641,,,,,0.724,,,,,0.889,,,,,1.054,,,,,1.175,,,,,0.97,,,,,1.031
ETH,ETHIOPIA,2.681,,,,,2.858,,,,,2.931,,,,,3.427,,,,,3.279,,,,,2.918,,,,,1.577,,,,,2.729,,,,,2.55,,,,,2.431,,,,,2.096,,,,,1.913
FIN,FINLAND,0.457,,,,,0.268,,,,,0.266,,,,,0.481,,,,,0.342,,,,,0.507,,,,,0.287,,,,,0.45,,,,,0.183,,,,,0.598,,,,,0.899,,,,,1.102
FJI,FIJI,0.905,,,,,0.265,,,,,0.909,,,,,1.257,,,,,0.463,,,,,2.272,,,,,1.938,,,,,2.046,,,,,2.304,,,,,3.297,,,,,3.214,,,,,2.953
FLK,FALKLAND ISLANDS (MALVINAS),0.402,,,,,0.521,,,,,3.331,,,,,4.039,,,,,1.424,,,,,0.0,,,,,-0.647,,,,,-0.758,,,,,-0.817,,,,,-0.664,,,,,-0.534,,,,,-0.529
FRA,FRANCE,0.573,,,,,0.74,,,,,0.411,,,,,0.405,,,,,0.51,,,,,0.539,,,,,0.431,,,,,0.807,,,,,0.735,,,,,1.343,,,,,1.045,,,,,0.723
FRO,FAROE ISLANDS,0.172,,,,,1.115,,,,,1.056,,,,,-1.708,,,,,0.934,,,,,1.274,,,,,1.188,,,,,0.982,,,,,1.187,,,,,1.188,,,,,1.482,,,,,0.198
FSM,"MICRONESIA, FEDERATED STATES OF",-0.492,,,,,-0.231,,,,,-0.023,,,,,2.204,,,,,2.341,,,,,3.214,,,,,2.891,,,,,0.55,,,,,3.243,,,,,3.189,,,,,3.23,,,,,3.382
GAB,GABON,2.411,,,,,2.366,,,,,2.519,,,,,2.643,,,,,2.727,,,,,2.569,,,,,2.28,,,,,1.909,,,,,2.045,,,,,1.284,,,,,0.669,,,,,0.381
GBR,UNITED KINGDOM,0.58,,,,,0.45,,,,,0.326,,,,,0.272,,,,,0.245,,,,,0.076,,,,,0.024,,,,,0.211,,,,,0.471,,,,,0.676,,,,,0.524,,,,,0.223
GEO,GEORGIA,-0.391,,,,,-1.164,,,,,-1.32,,,,,-1.495,,,,,0.644,,,,,0.827,,,,,0.661,,,,,0.836,,,,,1.002,,,,,1.471,,,,,1.603,,,,,1.698
GHA,GHANA,2.526,,,,,2.549,,,,,2.323,,,,,2.721,,,,,2.801,,,,,3.263,,,,,1.883,,,,,2.684,,,,,2.176,,,,,2.952,,,,,3.159,,,,,2.629
GIB,GIBRALTAR,0.119,,,,,1.226,,,,,0.048,,,,,0.334,,,,,0.166,,,,,0.032,,,,,0.865,,,,,0.624,,,,,1.173,,,,,1.543,,,,,0.477,,,,,0.505
GIN,GUINEA,2.545,,,,,1.814,,,,,2.195,,,,,5.275,,,,,3.447,,,,,2.394,,,,,0.657,,,,,0.659,,,,,1.653,,,,,1.603,,,,,1.512,,,,,1.39
GLP,GUADELOUPE,0.651,,,,,0.849,,,,,1.079,,,,,0.919,,,,,1.695,,,,,1.645,,,,,-0.108,,,,,0.507,,,,,1.237,,,,,1.739,,,,,3.066,,,,,2.34
GMB,GAMBIA,3.139,,,,,3.123,,,,,2.848,,,,,3.011,,,,,4.5,,,,,3.834,,,,,2.966,,,,,3.054,,,,,2.191,,,,,1.715,,,,,3.815,,,,,2.273
