Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
ECU,ECUADOR,,2.3,,,,,,,,,2.3,,,,,,3.2,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,
EGY,EGYPT,9.5,,,,,,7.9,,,5.3,,5.2,,,3.2,,6.4,,5.7,,,4.1,,4.5,,,2.2,,,,,,,,,,1.7,,,,,,,,,,,,
ERI,ERITREA,,,,,15.3,,,,,,,,14.9,,,,,,20.2,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,ETHIOPIA,8.7,,,10.1,,,,,,12.3,,,,,12.4,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,FIJI,,,,,,,,,,,6.3,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,3.4,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,
GEO,GEORGIA,,,,,,1.6,,,,3.0,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,GHANA,4.7,,,6.2,,,8.7,,6.1,,,8.4,,,,9.9,,,,,14.6,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,
GIN,GUINEA,,,9.9,,,,8.3,,,10.8,,,,,10.3,9.9,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,GAMBIA,,,,,9.5,,,,7.4,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,6.0,,,,5.8,,4.8,,8.9,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,3.1,,,,,,2.8,,,,9.2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,,,,1.1,,,,,,,1.8,,3.7,2.9,,,,3.8,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,
GUY,GUYANA,6.4,,,,,5.3,,8.3,,,,,,,12.1,,,13.3,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,
HND,HONDURAS,,,1.4,,,,,,1.4,,,,,1.2,,,,,1.3,,2.7,,2.1,,,,,2.3,,,,,,,,,,,,,,,,,,,,,
HRV,CROATIA (LOCAL NAME: HRVATSKA),,,,,,,,,,,,,,,,,,,1.2,1.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,,,5.2,,,,,,10.3,,,,,,5.6,,,,,9.4,,,,,5.9,,,,,,,,,,,,10.6,,,,,,,,,,,,
HUN,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,,13.5,,,12.3,,,14.8,,,14.4,,,5.4,5.5,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,,,,20.0,,,,,,,19.8,,19.3,,,,21.1,21.0,,21.3,,,,,,,,,,,20.3,,,,,,,,,,,,,
IRN,IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,,,4.8,,,,,,6.1,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,IRAQ,,,,7.4,,,,,5.8,,6.9,5.6,,,6.6,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,
JAM,JAMAICA,,,3.0,,3.5,,2.1,2.3,3.3,,4.5,,2.3,2.9,3.0,2.5,2.9,2.3,2.5,4.5,2.9,4.5,3.2,5.3,,4.4,,,,,,,,,,,6.3,,,,,,,,,,,,
JOR,JORDAN,,,2.4,,,1.6,,,,,,,2.5,,,,,2.4,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,
JPN,JAPAN,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,4.1,,,,,4.9,,,,,,,2.5,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,4.0,,,,,7.0,,,7.7,,,6.2,,,7.4,,8.7,,,,9.4,7.1,,,,5.7,,,,,,,5.8,,,6.6,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,2.8,,2.8,,,1.3,,,3.4,,,,,,,,,3.3,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,9.6,,,10.8,,,8.9,,8.3,,,,,,16.9,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,KIRIBATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,KUWAIT,2.4,2.7,2.4,1.7,2.4,1.8,2.2,3.6,2.8,3.3,3.4,2.6,2.2,2.2,,,,1.7,,12.0,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,,6.4,,,,,,7.3,,,,,,17.5,,,,,,12.3,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,,,,,,,,6.6,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,5.6,,,,,,7.8,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,
LBY,LIBYA,,,,,,,,6.5,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,
LKA,SRI LANKA,,,21.4,,,11.8,,14.7,,,,,,,15.5,,,,,15.3,,17.5,,,,,,13.3,,,,,,,,,15.9,,,,,,,,,,,,
LSO,LESOTHO,2.8,,,,3.9,,,,,5.6,,,,,6.7,,,,,,,22.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,,,,2.3,,,,,,,10.8,,,,,,,4.7,,,,,2.6,,,,,3.9,,,,,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,1.9,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,,,,,,15.2,,,,,,,10.2,,9.0,16.4,,6.4,,,,,,,,13.8,,,,,,,,,,,,,,,,,,
MDV,MALDIVES,,,,,,10.2,,,,,,,,13.4,,,21.8,,,18.9,16.1,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,
MEX,MEXICO,,,1.6,,,,,,2.0,,,,,,,2.3,,,8.5,,,,,,,6.1,7.4,,,,,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,,,,1.8,,,,,,3.4,2.4,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
