Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Number of Disasters,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,3.0,3.0,2.0,1.0,8.0,4.0,2.0,3.0,2.0,0.0,5.0,3.0,3.0,4.0,7.0,6.0,14.0,11.0,4.0,7.0,7.0,3.0,3.0,3.0,3.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,3.0,3.0,2.0,1.0,8.0,11.0,8.0,88.0,93.0,548.0,956.0,503.0,674.0,563.0,531.0,3537.0,2237.0,896.0,249.0,1201.0,545.0,252.0,387.0,324.0,0.0
