Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Number of Disasters,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,0.0,4.0,4.0,2.0,3.0,4.0,6.0,2.0,5.0,4.0,3.0,2.0,2.0,1.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,1.0,26.0,27.0,41.0,168.0,62.0,124.0,15.0,132.0,180.0,522.0,199.0,81.0,1051.0,358.0,481.0,310.0,266.0,339.0,320.0,0.0
