Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,99.4,,,,,,,,,,,,,,,
ARM,ARMENIA,,,100.0,,,,,99.0,,,,,94.3,,,,,,,
AZE,AZERBAIJAN,,,,,,,83.0,,,,,,,,,,,,,
BDI,BURUNDI,,,62.7,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,76.1,,,,,70.5,,,,,56.5,,,
BFA,BURKINA FASO,,,67.5,,,,,,,51.3,,,,,25.5,,,,,
BGD,BANGLADESH,,25.2,,,,15.7,,,11.1,,,,,8.8,,,5.8,,,6.7
BOL,BOLIVIA,,,,,52.6,,,,,41.2,,,,,34.4,,,,26.2,
BRA,BRAZIL,,,,,,,,,,,,,,,,,74.9,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,23.7,
CIV,COTE D'IVOIRE,,46.4,,,,,,,,,,,,,32.0,,,,29.6,
CMR,CAMEROON,,48.6,,,,,,,45.3,,,,,,48.2,,,,,
COD,"CONGO, THE DRC",,,,,,65.7,,,,,,,,,,,,,,
COG,CONGO,,87.1,,,,,,78.0,,,,,,,,,,,,
COL,COLOMBIA,,,87.0,,,,,79.1,,,,,70.6,,,,,71.2,,
COM,COMOROS,,,,,,,,,,,,,,,,,43.1,,,
DOM,DOMINICAN REPUBLIC,,,,,,96.9,,,,,96.5,,,97.3,,,92.3,,,
EGY,EGYPT,,,,,74.7,,,68.2,,,,,51.3,,,,,35.3,,
ETH,ETHIOPIA,,5.1,,,,,,3.0,,,,,2.3,,,,,,,
GAB,GABON,70.6,,,,,,,,,,,,68.6,,,,,,,
GHA,GHANA,,,,,43.5,,,,,29.5,,,,,34.5,,,,,29.4
GIN,GUINEA,,,,,,,,26.0,,,,,,21.9,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,26.1,,,21.4,,
GUY,GUYANA,,,,90.2,,,,,,,,,,,,,,,,
HND,HONDURAS,,75.7,,,,,,53.9,,,,,,,,,,,,
HTI,HAITI,26.8,,,,,,,16.9,,,,,11.9,,,,,,35.3,
IDN,INDONESIA,77.2,,,,,65.2,,,,,57.4,,,,,39.9,,,27.4,
IND,INDIA,,,,,,,,39.9,,,,,,,33.4,,,,,
JOR,JORDAN,99.8,,,,,99.0,,,,,98.3,,,,,93.7,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,99.5,,,,99.3,,
KEN,KENYA,,,,,37.6,,,,,34.5,,,,,38.4,,,,,38.8
KGZ,KYRGYZSTAN,,,,,,,,,,,,,,,,97.8,,,,
KHM,CAMBODIA,,,72.3,,,,,42.3,,,,,29.6,,,,,,,
LBR,LIBERIA,,,,,,34.1,,,,,,,,,,,,,,
LSO,LESOTHO,,,,53.2,,,,,49.8,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,42.7,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,99.5,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,38.8,,,,,45.1,,,,,,42.1,,,,
MDV,MALDIVES,,,,95.5,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,12.4,,,,,28.5,,,,,,26.3,,
MOZ,MOZAMBIQUE,,46.8,,,,,,,,35.6,,,,,,33.9,,,,
MWI,MALAWI,,,71.4,,,,,,52.2,,,,50.5,,,,,,,
NAM,NAMIBIA,,,,,,,73.4,,,,,,66.2,,,,,,,
NER,NIGER,24.1,,,,,,9.3,,,,,,,,8.1,,,,,
NGA,NIGERIA,,,,,28.3,,,,,27.9,,,,35.3,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,84.8,,,,45.6,,,,
NPL,NEPAL,,36.7,,,,,15.8,,,,,11.6,,,,,7.1,,,
PAK,PAKISTAN,49.3,,,,,,32.8,,,,,,,,,,,,,
PER,PERU,,,,63.5,,,57.4,,,,,,31.2,,,,22.7,,,
PHL,PHILIPPINES,,,,,49.3,,,,,41.2,,,,,38.8,,,,,36.9
RWA,RWANDA,,,76.0,,,,,36.5,,,,,23.7,,,,,,,
SEN,SENEGAL,,,48.9,,,,,33.7,,,,,,,,30.1,,,,
SLE,SIERRA LEONE,,,,,32.8,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,77.0,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,71.0,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,12.8,,,,,,,,16.3,,,
TGO,TOGO,,,,,,,,,,,,,,,39.7,,,,,
TJK,TAJIKISTAN,86.8,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,23.1,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,70.1,,,,,72.7,,,,,60.9
TZA,"TANZANIA, UNITED REPUBLIC OF",,,42.0,,,,,,38.1,,,,,33.5,,,38.3,,,
UGA,UGANDA,,54.5,,,,,38.9,,,,,,33.5,,,,,31.5,,
UKR,UKRAINE,,,,,,98.9,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,96.4,,,
VNM,VIET NAM,,,,,,,,,,,82.2,,,,,73.4,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,77.0,,,,,
ZMB,ZAMBIA,,,,,,31.0,,,,,,27.1,,,,,25.6,,,
ZWE,ZIMBABWE,,,56.7,,,,,56.6,,,,,,64.3,,,,,61.7,
