Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,7.558,,,,,7.133,,,,,6.893,,,,,7.027,,,,,7.005,,,,,6.524,,,,,6.231,,,,,5.77,,,,,5.707,,,,,6.116,,,,,6.911,,,,,8.871
AFG,AFGHANISTAN,9.571,,,,,11.528,,,,,13.082,,,,,14.959,,,,,17.906,,,,,21.335,,,,,23.897,,,,,26.296,,,,,28.986,,,,,31.888,,,,,35.003,,,,,38.602
AGO,ANGOLA,15.799,,,,,17.721,,,,,21.099,,,,,23.098,,,,,23.571,,,,,24.215,,,,,24.713,,,,,26.354,,,,,28.673,,,,,31.117,,,,,33.488,,,,,35.842
ALB,ALBANIA,6.285,,,,,5.602,,,,,5.96,,,,,6.009,,,,,5.466,,,,,5.956,,,,,6.435,,,,,7.517,,,,,8.524,,,,,9.761,,,,,13.122,,,,,15.214
ARE,UNITED ARAB EMIRATES,1.232,,,,,1.732,,,,,2.051,,,,,2.474,,,,,3.101,,,,,3.742,,,,,4.727,,,,,6.551,,,,,8.657,,,,,12.698,,,,,17.703,,,,,21.964
ARG,ARGENTINA,7.737,,,,,7.798,,,,,7.859,,,,,8.124,,,,,8.394,,,,,8.473,,,,,8.895,,,,,8.966,,,,,9.055,,,,,8.802,,,,,8.598,,,,,9.079
ARM,ARMENIA,8.564,,,,,8.379,,,,,8.617,,,,,8.76,,,,,7.903,,,,,6.41,,,,,6.195,,,,,6.005,,,,,6.764,,,,,8.674,,,,,10.304,,,,,11.81
ATG,ANTIGUA AND BARBUDA,6.398,,,,,6.564,,,,,7.071,,,,,7.272,,,,,6.916,,,,,6.568,,,,,6.337,,,,,6.852,,,,,7.749,,,,,8.729,,,,,9.481,,,,,10.539
AUS,AUSTRALIA,6.503,,,,,6.706,,,,,6.918,,,,,7.034,,,,,7.272,,,,,7.283,,,,,7.694,,,,,8.31,,,,,8.668,,,,,8.62,,,,,8.752,,,,,9.25
AUT,AUSTRIA,9.215,,,,,9.465,,,,,10.091,,,,,10.684,,,,,11.393,,,,,12.268,,,,,12.54,,,,,12.781,,,,,12.985,,,,,12.62,,,,,12.651,,,,,12.327
AZE,AZERBAIJAN,6.614,,,,,6.899,,,,,7.168,,,,,8.537,,,,,8.228,,,,,8.464,,,,,8.362,,,,,8.402,,,,,9.924,,,,,12.236,,,,,13.481,,,,,14.231
BDI,BURUNDI,14.24,,,,,15.287,,,,,16.459,,,,,18.765,,,,,17.674,,,,,18.244,,,,,19.178,,,,,20.489,,,,,21.077,,,,,22.466,,,,,23.865,,,,,25.206
BEL,BELGIUM,9.918,,,,,10.318,,,,,10.449,,,,,10.569,,,,,11.092,,,,,11.603,,,,,12.01,,,,,12.302,,,,,12.443,,,,,12.254,,,,,12.125,,,,,12.387
BEN,BENIN,10.259,,,,,11.738,,,,,12.889,,,,,13.542,,,,,15.677,,,,,18.19,,,,,19.992,,,,,22.217,,,,,24.907,,,,,27.553,,,,,30.349,,,,,34.549
BFA,BURKINA FASO,12.846,,,,,14.625,,,,,16.152,,,,,16.902,,,,,17.154,,,,,18.133,,,,,21.535,,,,,23.742,,,,,25.528,,,,,27.547,,,,,29.626,,,,,31.941
BGD,BANGLADESH,6.153,,,,,6.798,,,,,7.807,,,,,9.261,,,,,10.963,,,,,12.995,,,,,14.992,,,,,20.424,,,,,17.452,,,,,18.651,,,,,20.795,,,,,22.431
BGR,BULGARIA,15.043,,,,,14.503,,,,,14.414,,,,,13.02,,,,,12.112,,,,,11.291,,,,,10.561,,,,,9.672,,,,,8.777,,,,,8.23,,,,,8.945,,,,,10.282
BHR,BAHRAIN,2.361,,,,,2.632,,,,,2.967,,,,,3.207,,,,,3.602,,,,,4.058,,,,,4.753,,,,,6.422,,,,,8.603,,,,,12.221,,,,,17.279,,,,,21.128
BHS,BAHAMAS,5.78,,,,,5.538,,,,,5.687,,,,,5.512,,,,,5.531,,,,,5.719,,,,,5.911,,,,,6.335,,,,,6.624,,,,,7.682,,,,,8.953,,,,,10.404
