Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,5.98722521710251E10,5.77586900074656E10,4.95666544289437E10,4.57327562679342E10,4.16828375568034E10,3.41700854820566E10,3.23163785180904E10,2.77603778712562E10,2.54049222301221E10,2.21335515725949E10,2.12512300268978E10,1.92016305419904E10,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,1.50204583434828E11,1.37086701088608E11,1.27954892507663E11,1.21026220862635E11,1.16662030077973E11,1.04256919440117E11,9.37510109995327E10,7.25196674177449E10,5.89999723047249E10,4.9200097866482E10,4.34220963174565E10,4.0030713920698E10,3.28893657900666E10,3.0502331198078E10,2.71982298208102E10,2.74979163880531E10,2.62239334762255E10,2.23486830058564E10,1.84797286824298E10,1.07271310408507E10,1.29930992533275E10,1.67036107550136E10,2.33385307785174E10,2.26493549018411E10,1.87079590019135E10,1.78142725632833E10,1.83868475435511E10,1.6284607652726E10,1.54789141793268E10,,,,,
ALB,ALBANIA,2.88356511213764E10,2.78293201468956E10,2.79274253393584E10,2.68124391992438E10,2.69239427737479E10,2.59745369896293E10,2.33793914167945E10,2.19933447868109E10,1.95463365824234E10,1.80334384519146E10,1.66584731463591E10,1.54378970751166E10,1.48752322697829E10,1.34952346334151E10,1.21725991748069E10,1.09465879276604E10,9.61300295654032E9,1.05366140271293E10,9.43074916726639E9,8.02958740110613E9,7.17100767444564E9,6.19180495651955E9,6.66979861908169E9,9.3382890028755E9,9.8977149133328E9,8.6855857038249E9,8.51498355388283E9,8.3371319122681E9,7.72476291980782E9,7.37170031808596E9,,,,
ARE,UNITED ARAB EMIRATES,,5.51345175446821E11,5.03312425491401E11,4.70577460223274E11,4.63554462069931E11,4.82704184924299E11,4.68443180969821E11,4.37044265915559E11,3.84014522693963E11,3.50910217960508E11,3.1008603806524E11,2.8190194274083E11,2.81968788436334E11,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,4.57830677149793E11,4.04846242890313E11,3.498528553418E11,3.11021341348013E11,2.76355349979389E11,3.19857477295985E11,3.27932853712354E11,3.23585305380292E11,3.3064465519482E11,3.15194839340637E11,2.86297152411511E11,2.6715674064279E11,2.69862499683307E11,2.50108215642553E11,2.29772670150776E11,1.98510857079467E11,1.68115802274898E11,1.59035588394161E11,1.72961085377235E11,1.7099472660235E11,1.61648147690578E11,1.45268346827765E11,1.52838689280028E11,1.43354052466036E11,1.32297128227221E11,1.36332154570285E11,1.34137640949067E11
ARM,ARMENIA,2.4346534809414E10,2.29722511023905E10,2.09095129427846E10,1.98313704932421E10,1.90233051642617E10,2.23609982633992E10,2.0420122625408E10,1.73741130609452E10,1.48158753895837E10,1.24609331973497E10,1.10171980225501E10,9.50361884144921E9,8.21620164221759E9,7.31292591323233E9,6.76537775776823E9,6.47014209757358E9,6.12853707182533E9,5.65434974720813E9,5.09622691890524E9,4.67378008324897E9,3.98684233959104E9,3.88712153388242E9,7.80632993557709E9,8.25165903761643E9,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,1.84346753478568E9,1.78665279596893E9,1.70042508263191E9,1.70912791578725E9,1.7913894671441E9,2.01380393096449E9,1.98355867129681E9,1.7638387627644E9,1.50781878848209E9,1.36550128178384E9,1.26773397804219E9,1.16669742840263E9,1.1395055311645E9,1.12145459037233E9,1.06688664749837E9,1.01232772478134E9,9.54937435256804E8,8.56487141319829E8,8.09984639010731E8,8.28910653906409E8,7.65648936451729E8,6.94696711819621E8,6.67250713652978E8,6.07541830802033E8,5.43637702291389E8,5.11460564558227E8,4.42281783706348E8,3.93770778638956E8,3.94948220473115E8,3.58869373760711E8,3.13808787459375E8,2.8248542577645E8,2.68754741620634E8,2.37323221883592E8
AUS,AUSTRALIA,9.74051639182708E11,9.4779070821634E11,8.94233950916315E11,8.27665500734052E11,8.41396649748163E11,7.64192166309574E11,7.27408161778714E11,6.82824002784962E11,6.3959892131413E11,6.12375099960272E11,5.74063802732548E11,5.4844331046248E11,5.167298491385E11,4.89800093121952E11,4.63305447395813E11,4.38902069339262E11,4.10499295702641E11,3.8896849011048E11,3.65849314209793E11,3.50257092103304E11,3.29186941722066E11,3.06235071742205E11,2.95636820884505E11,2.86246383260406E11,2.63672139708114E11,2.4309713580046E11,2.25292341243645E11,2.13915107832533E11,2.01139449591382E11,1.87015800010504E11,1.70296779884564E11,1.63258777830036E11,1.51690785567723E11,1.3392324808333E11
AUT,AUSTRIA,3.81900870711025E11,3.81782450248994E11,3.71105578464172E11,3.52723370576617E11,3.3893173176019E11,3.4493967112965E11,3.2486007403539E11,3.12155894708804E11,2.84535832419529E11,2.75878653644406E11,2.61003069002172E11,2.5142927319415E11,2.36882202681803E11,2.34525737185863E11,2.19788810028252E11,2.1210967881084E11,2.0287270262176E11,1.95755832451909E11,1.87685512840417E11,1.8004258595411E11,1.72365930058295E11,1.67428446002434E11,1.59824586421722E11,1.50321940311382E11,1.35572553258587E11,1.25611751601373E11,1.17096234296156E11,1.12218487574794E11,1.07615229648456E11,1.01856751678107E11,9.82146406719284E10,9.15501151657007E10,8.44675939427325E10,7.75122256837546E10
AZE,AZERBAIJAN,1.52391477275854E11,1.3821019737521E11,1.33865350106593E11,1.32226003618832E11,1.22721420763704E11,1.07862038888201E11,9.06156742000834E10,7.27452934522275E10,5.26805248306287E10,4.23892575703539E10,3.82498415027676E10,3.3691168911316E10,3.00916640390771E10,2.69076127270333E10,2.4788117993364E10,2.29112234418832E10,2.06171988019089E10,1.88271391749846E10,1.85348123624168E10,2.06608476335145E10,2.52034256196068E10,,,,,,,,,,,,,
