Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003
NZL,NEW ZEALAND,3347.0,2913.0,2826.0,2732.0,2788.0,2823.0,2465.0,,
OMN,OMAN,,,,183.0,132.0,,,,
PAN,PANAMA,2063.0,1008.0,830.0,732.0,877.0,817.0,783.0,,
PHL,PHILIPPINES,1744.0,2176.0,1601.0,1506.0,1410.0,1311.0,,,
POL,POLAND,3030.0,3099.0,3187.0,3294.0,3709.0,,,,
PRT,PORTUGAL,2182.0,2206.0,2556.0,2251.0,1810.0,1729.0,1619.0,1701.0,1966.0
PRY,PARAGUAY,3528.0,3395.0,3114.0,2752.0,2612.0,2555.0,,,
ROU,ROMANIA,,,,1566.0,1565.0,,,,
RUS,RUSSIA,16647.0,15770.0,17903.0,18852.0,20182.0,20914.0,18491.0,16381.0,14299.0
SGP,SINGAPORE,1546.0,1579.0,1475.0,1403.0,1468.0,1398.0,,,
SLB,SOLOMON ISLANDS,,,,122.0,139.0,231.0,204.0,319.0,
SLE,SIERRA LEONE,,,,623.0,695.0,,,,
SLV,EL SALVADOR,658.0,2231.0,1917.0,572.0,808.0,,,,
SRB,SERBIA,379.0,493.0,455.0,436.0,419.0,457.0,532.0,,
STP,SAO TOME AND PRINCIPE,0.0,0.0,0.0,0.0,0.0,0.0,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),234.0,193.0,230.0,252.0,293.0,283.0,,,
SVN,SLOVENIA,312.0,375.0,345.0,276.0,363.0,286.0,311.0,369.0,145.0
SWE,SWEDEN,17077.0,17167.0,15693.0,14342.0,12563.0,12147.0,11711.0,10419.0,10142.0
SYR,SYRIAN ARAB REPUBLIC,,,,85.0,70.0,,,,
TJK,TAJIKISTAN,201.0,197.0,168.0,182.0,171.0,169.0,,,
TTO,TRINIDAD AND TOBAGO,709.0,767.0,804.0,779.0,901.0,803.0,803.0,633.0,
TUR,TURKEY,,,,1850.0,2056.0,3300.0,3020.0,2893.0,2858.0
UGA,UGANDA,,8645.0,8646.0,10365.0,32305.0,17046.0,14101.0,,
UKR,UKRAINE,,1348.0,1698.0,1995.0,1898.0,2114.0,1929.0,1988.0,2180.0
VCT,SAINT VINCENT AND THE GRENADINES,426.0,168.0,204.0,169.0,145.0,152.0,114.0,193.0,
YEM,YEMEN,,,72.0,81.0,54.0,71.0,0.0,,
