Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,99.0,,,,,,,,,,,,,,,
ARM,ARMENIA,,,99.0,,,,,98.0,,,,,94.5,,,,,,,
AZE,AZERBAIJAN,,,,,,,80.7,,,,,,,,,,,,,
BDI,BURUNDI,,,57.8,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,73.5,,,,,68.4,,,,,,,,
BFA,BURKINA FASO,,,61.8,,,,,,,51.4,,,,,24.5,,,,,
BGD,BANGLADESH,,21.3,,,,13.1,,,9.2,,,,,8.0,,,5.4,,,
BOL,BOLIVIA,,,,,50.9,,,,,38.6,,,,,30.9,,,,,
BRA,BRAZIL,,,,,,,,,,,,,,,,,73.3,,,
CIV,COTE D'IVOIRE,,44.5,,,,,,,,,,,,,32.1,,,,,
CMR,CAMEROON,,46.7,,,,,,,44.2,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,63.1,,,,,,,,,,,,,,
COG,CONGO,,86.4,,,,,,77.2,,,,,,,,,,,,
COL,COLOMBIA,,,85.6,,,,,76.8,,,,,69.8,,,,,69.7,,
DOM,DOMINICAN REPUBLIC,,,,,,96.7,,,,,95.7,,,96.5,,,91.8,,,
EGY,EGYPT,,,,,72.2,,,65.8,,,,,48.0,,,,,32.8,,
ETH,ETHIOPIA,,4.8,,,,,,2.7,,,,,2.3,,,,,,,
GAB,GABON,70.3,,,,,,,,,,,,69.4,,,,,,,
GHA,GHANA,,,,,43.0,,,,,30.9,,,,,34.1,,,,,
GIN,GUINEA,,,,,,,,25.6,,,,,,21.4,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,24.9,,,21.1,,
GUY,GUYANA,,,,90.1,,,,,,,,,,,,,,,,
HND,HONDURAS,,73.0,,,,,,50.0,,,,,,,,,,,,
HTI,HAITI,24.6,,,,,,,15.4,,,,,11.0,,,,,,36.4,
IDN,INDONESIA,74.6,,,,,62.7,,,,,55.1,,,,,38.0,,,26.0,
IND,INDIA,,,,,,,,37.5,,,,,,,,,,,,
JOR,JORDAN,99.7,,,,,98.6,,,,,98.3,,,,,92.1,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,99.5,,,,,,
KEN,KENYA,,,,,36.8,,,,,34.5,,,,,,,,,,40.1
KHM,CAMBODIA,,,66.6,,,,,39.5,,,,,28.0,,,,,,,
LBR,LIBERIA,,,,,,32.2,,,,,,,,,,,,,,
LSO,LESOTHO,,,,53.5,,,,,50.1,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,39.5,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,99.5,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,39.3,,,,,45.9,,,,,,,,,,
MDV,MALDIVES,,,,93.0,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,12.1,,,,,27.7,,,,,,,,
MOZ,MOZAMBIQUE,,44.3,,,,,,,,34.2,,,,,,,,,,
MWI,MALAWI,,,69.2,,,,,,53.0,,,,51.9,,,,,,,
NAM,NAMIBIA,,,,,,,72.5,,,,,,66.3,,,,,,,
NER,NIGER,21.2,,,,,,8.2,,,,,,,,,,,,,
NGA,NIGERIA,,,,,27.7,,,,,25.7,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,83.1,,,,43.6,,,,
NPL,NEPAL,,32.3,,,,,14.3,,,,,10.2,,,,,,,,
PAK,PAKISTAN,44.4,,,,,,29.8,,,,,,,,,,,,,
PER,PERU,,,,61.0,,,53.8,,,,,,28.7,,,,21.5,,,
PHL,PHILIPPINES,,,,,47.7,,,,,40.8,,,,,37.7,,,,,36.1
RWA,RWANDA,,,67.2,,,,,34.6,,,,,24.9,,,,,,,
SEN,SENEGAL,,,49.1,,,,,33.2,,,,,,,,29.6,,,,
SLE,SIERRA LEONE,,,,,33.2,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,75.1,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,70.3,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,12.1,,,,,,,,16.3,,,
TJK,TAJIKISTAN,85.7,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,20.7,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,68.9,,,,,68.8,,,,,59.3
TZA,"TANZANIA, UNITED REPUBLIC OF",,,42.3,,,,,,38.0,,,,,34.8,,,39.4,,,
UGA,UGANDA,,52.8,,,,,37.7,,,,,,33.1,,,,,26.1,,
UKR,UKRAINE,,,,,,98.1,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,75.5,,,,,
ZMB,ZAMBIA,,,,,,31.3,,,,,,27.6,,,,,26.4,,,
ZWE,ZIMBABWE,,,57.9,,,,,58.2,,,,,,64.2,,,,,,
