Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,59.3,,,,,,,,,,,,,,,
ARM,ARMENIA,,,90.4,,,,,54.9,,,,,42.1,,,,,,,
AZE,AZERBAIJAN,,,,,,,33.6,,,,,,,,,,,,,
BDI,BURUNDI,,,33.1,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,53.9,,,,,56.5,,,,,49.4,,,
BFA,BURKINA FASO,,,30.6,,,,,,,14.5,,,,,22.0,,,,,
BGD,BANGLADESH,,19.8,,,,17.5,,,11.7,,,,,6.7,,,4.1,,,3.1
BOL,BOLIVIA,,,,,59.1,,,,,43.4,,,,,29.4,,,,13.5,
BRA,BRAZIL,,,,,,,,,,,,,,,,,57.1,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,29.4,
CIV,COTE D'IVOIRE,,32.4,,,,,,,,,,,,,28.1,,,,22.4,
CMR,CAMEROON,,49.2,,,,,,,47.2,,,,,,47.5,,,,,
COD,"CONGO, THE DRC",,,,,,43.5,,,,,,,,,,,,,,
COG,CONGO,,67.3,,,,,,67.3,,,,,,,,,,,,
COL,COLOMBIA,,,80.5,,,,,73.1,,,,,64.7,,,,,53.8,,
COM,COMOROS,,,,,,,,,,,,,,,,,48.4,,,
DOM,DOMINICAN REPUBLIC,,,,,,94.0,,,,,90.9,,,92.8,,,83.7,,,
EGY,EGYPT,,,,,60.5,,,53.2,,,,,30.3,,,,,16.6,,
ETH,ETHIOPIA,,13.6,,,,,,8.2,,,,,6.0,,,,,,,
GAB,GABON,57.5,,,,,,,,,,,,43.4,,,,,,,
GHA,GHANA,,,,,70.3,,,,,59.9,,,,,56.8,,,,,50.3
GIN,GUINEA,,,,,,,,42.0,,,,,,41.5,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,63.5,,,62.4,,
GUY,GUYANA,,,,76.4,,,,,,,,,,,,,,,,
HND,HONDURAS,,86.0,,,,,,74.9,,,,,,,,,,,,
HTI,HAITI,60.3,,,,,,,44.7,,,,,33.3,,,,,,24.8,
IDN,INDONESIA,82.1,,,,,75.4,,,,,74.9,,,,,65.8,,,56.1,
IND,INDIA,,,,,,,,27.0,,,,,,,22.5,,,,,
JOR,JORDAN,93.1,,,,,91.0,,,,,87.1,,,,,79.1,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,70.0,,,,81.0,,
KEN,KENYA,,,,,42.5,,,,,47.4,,,,,58.4,,,,,61.9
KGZ,KYRGYZSTAN,,,,,,,,,,,,,,,,80.7,,,,
KHM,CAMBODIA,,,57.9,,,,,25.4,,,,,6.5,,,,,,,
LBR,LIBERIA,,,,,,62.0,,,,,,,,,,,,,,
LSO,LESOTHO,,,,63.8,,,,,66.3,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,15.2,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,90.8,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,44.4,,,,,34.9,,,,,,36.9,,,,
MDV,MALDIVES,,,,87.2,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,28.2,,,,,21.1,,,,,,16.4,,
MOZ,MOZAMBIQUE,,46.1,,,,,,,,45.3,,,,,,31.4,,,,
MWI,MALAWI,,,43.3,,,,,,54.3,,,,53.5,,,,,,,
NAM,NAMIBIA,,,,,,,68.5,,,,,,64.0,,,,,,,
NER,NIGER,31.1,,,,,,11.4,,,,,,,,7.0,,,,,
NGA,NIGERIA,,,,,33.8,,,,,37.0,,,,40.6,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,58.2,,,,51.8,,,,
NPL,NEPAL,,49.2,,,,,27.3,,,,,12.1,,,,,7.0,,,
PAK,PAKISTAN,27.0,,,,,,20.4,,,,,,,,,,,,,
PER,PERU,,,,86.8,,,83.9,,,,,,53.6,,,,26.8,,,
PHL,PHILIPPINES,,,,,72.5,,,,,61.0,,,,,51.3,,,,,44.0
RWA,RWANDA,,,35.5,,,,,12.5,,,,,8.5,,,,,,,
SEN,SENEGAL,,,40.2,,,,,33.6,,,,,,,,13.4,,,,
SLE,SIERRA LEONE,,,,,52.7,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,69.6,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,77.1,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,12.4,,,,,,,,9.2,,,
TGO,TOGO,,,,,,,,,,,,,,,41.3,,,,,
TJK,TAJIKISTAN,49.2,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,52.8,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,29.6,,,,,30.3,,,,,22.1
TZA,"TANZANIA, UNITED REPUBLIC OF",,,36.3,,,,,,57.1,,,,,64.6,,,67.6,,,
UGA,UGANDA,,45.7,,,,,44.1,,,,,,37.0,,,,,44.5,,
UKR,UKRAINE,,,,,,83.2,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,76.4,,,
VNM,VIET NAM,,,,,,,,,,,24.3,,,,,11.3,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,70.3,,,,,
ZMB,ZAMBIA,,,,,,59.6,,,,,,67.3,,,,,64.1,,,
ZWE,ZIMBABWE,,,61.0,,,,,66.6,,,,,,65.7,,,,,71.9,
