Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,99.9,,,,,,,,,,,,,,,
ARM,ARMENIA,,,99.8,,,,,98.7,,,,,99.1,,,,,,,
AZE,AZERBAIJAN,,,,,,,96.6,,,,,,,,,,,,,
BDI,BURUNDI,,,87.9,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,85.6,,,,,82.9,,,,,,,,
BFA,BURKINA FASO,,,93.9,,,,,,,90.8,,,,,90.2,,,,,
BGD,BANGLADESH,,49.9,,,,36.5,,,29.5,,,,,33.0,,,34.8,,,
BOL,BOLIVIA,,,,,88.3,,,,,77.6,,,,,76.5,,,,,
BRA,BRAZIL,,,,,,,,,,,,,,,,,92.3,,,
CIV,COTE D'IVOIRE,,84.4,,,,,,,,,,,,,79.1,,,,,
CMR,CAMEROON,,86.7,,,,,,,84.2,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,91.1,,,,,,,,,,,,,,
COG,CONGO,,98.2,,,,,,96.8,,,,,,,,,,,,
COL,COLOMBIA,,,98.0,,,,,97.1,,,,,94.0,,,,,92.8,,
DOM,DOMINICAN REPUBLIC,,,,,,98.4,,,,,99.0,,,97.8,,,97.8,,,
EGY,EGYPT,,,,,90.2,,,88.7,,,,,81.4,,,,,67.9,,
ETH,ETHIOPIA,,51.6,,,,,,44.8,,,,,34.5,,,,,,,
GAB,GABON,93.6,,,,,,,,,,,,92.9,,,,,,,
GHA,GHANA,,,,,84.3,,,,,79.7,,,,,76.3,,,,,
GIN,GUINEA,,,,,,,,80.7,,,,,,75.6,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,66.1,,,63.4,,
GUY,GUYANA,,,,98.2,,,,,,,,,,,,,,,,
HND,HONDURAS,,94.4,,,,,,89.6,,,,,,,,,,,,
HTI,HAITI,59.4,,,,,,,46.8,,,,,52.3,,,,,,66.9,
IDN,INDONESIA,91.8,,,,,87.6,,,,,79.0,,,,,79.4,,,76.4,
IND,INDIA,,,,,,,,73.5,,,,,,,,,,,,
JOR,JORDAN,99.6,,,,,99.1,,,,,99.9,,,,,97.6,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,98.4,,,,,,
KEN,KENYA,,,,,74.8,,,,,72.0,,,,,,,,,,79.7
KHM,CAMBODIA,,,94.7,,,,,70.1,,,,,57.2,,,,,,,
LBR,LIBERIA,,,,,,78.7,,,,,,,,,,,,,,
LSO,LESOTHO,,,,88.2,,,,,87.8,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,85.3,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,99.6,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,81.6,,,,,75.6,,,,,,,,,,
MDV,MALDIVES,,,,99.0,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,66.7,,,,,83.7,,,,,,,,
MOZ,MOZAMBIQUE,,80.3,,,,,,,,80.7,,,,,,,,,,
MWI,MALAWI,,,84.0,,,,,,83.8,,,,81.6,,,,,,,
NAM,NAMIBIA,,,,,,,93.9,,,,,,93.1,,,,,,,
NER,NIGER,83.0,,,,,,70.6,,,,,,,,,,,,,
NGA,NIGERIA,,,,,65.4,,,,,58.5,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,96.5,,,,83.9,,,,
NPL,NEPAL,,72.7,,,,,50.6,,,,,51.1,,,,,,,,
PAK,PAKISTAN,71.0,,,,,,60.1,,,,,,,,,,,,,
PER,PERU,,,,94.4,,,93.7,,,,,,85.0,,,,80.5,,,
PHL,PHILIPPINES,,,,,77.5,,,,,79.0,,,,,78.6,,,,,70.5
RWA,RWANDA,,,82.4,,,,,63.1,,,,,68.2,,,,,,,
SEN,SENEGAL,,,90.4,,,,,84.6,,,,,,,,80.9,,,,
SLE,SIERRA LEONE,,,,,66.9,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,88.7,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,88.1,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,58.0,,,,,,,,49.8,,,
TJK,TAJIKISTAN,93.4,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,59.1,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,90.3,,,,,87.7,,,,,87.2
TZA,"TANZANIA, UNITED REPUBLIC OF",,,83.0,,,,,,80.9,,,,,83.3,,,80.1,,,
UGA,UGANDA,,89.1,,,,,80.5,,,,,,80.3,,,,,63.0,,
UKR,UKRAINE,,,,,,99.1,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,93.4,,,,,
ZMB,ZAMBIA,,,,,,83.0,,,,,,78.9,,,,,76.9,,,
ZWE,ZIMBABWE,,,86.0,,,,,93.6,,,,,,89.4,,,,,,
