Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
SOM,SOMALIA,6898.0,7234.0,4793.0,2808.0,2970.0,1388.0,2042.0,1979.0,593.0,527.0,791.0,954.0,266.0,153.0,187.0,193.0,69.0,61.0
SSD,SOUTH SUDAN,2144.0,703.0,351.0,85.0,235.0,283.0,128.0,45.0,102.0,99.0,107.0,10.0,464.0,242.0,259.0,224.0,214.0,190.0
SWZ,SWAZILAND,16.0,25.0,76.0,18.0,14.0,2.0,17.0,5.0,7.0,8.0,3.0,13.0,6.0,3.0,11.0,4.0,8.0,7.0
TCD,CHAD,35.0,7.0,14.0,12.0,22.0,54.0,212.0,254.0,292.0,90.0,82.0,35.0,43.0,25.0,53.0,29.0,26.0,29.0
TGO,TOGO,19.0,69.0,25.0,15.0,27.0,5.0,4.0,1.0,3.0,48.0,6.0,7.0,6.0,8.0,6.0,5.0,26.0,13.0
TUN,TUNISIA,539.0,491.0,462.0,436.0,23.0,1.0,2.0,4.0,3.0,11.0,10.0,7.0,10.0,8.0,4.0,5.0,2.0,4.0
TZA,"TANZANIA, UNITED REPUBLIC OF",106.0,111.0,139.0,90.0,7.0,14.0,37.0,10.0,21.0,125.0,63.0,11.0,36.0,60.0,32.0,15.0,10.0,16.0
UGA,UGANDA,178.0,181.0,198.0,241.0,183.0,193.0,141.0,195.0,525.0,707.0,845.0,1559.0,1173.0,276.0,548.0,560.0,757.0,233.0
ZAF,SOUTH AFRICA,1398.0,1399.0,1633.0,123.0,109.0,197.0,137.0,156.0,83.0,140.0,71.0,67.0,127.0,77.0,81.0,93.0,58.0,69.0
ZMB,ZAMBIA,178.0,140.0,85.0,51.0,29.0,66.0,29.0,179.0,127.0,67.0,39.0,60.0,7.0,29.0,40.0,25.0,23.0,16.0
ZWE,ZIMBABWE,296.0,176.0,335.0,448.0,291.0,373.0,1515.0,385.0,242.0,499.0,646.0,700.0,1453.0,608.0,583.0,102.0,137.0,26.0
