Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
AGO,ANGOLA,,,,,43.37,43.37,,,,,,,,54.31,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,0.46,,,,0.2,,,0.44,0.53,,0.73,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,1.41,1.73,2.68,2.74,3.01,3.76,4.62,6.29,9.0,12.58,8.25,5.06,4.2,3.99,3.77,4.27,3.87,1.93,2.05,1.77,0.97,,,,0.0,0.0,,,,,,,,
ARM,ARMENIA,,1.75,2.45,2.5,1.56,1.41,3.37,3.17,4.22,7.6,10.68,14.5,18.83,,16.76,16.76,,17.5,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,,,,,,,,,,1.36,,1.35,,,,,,1.34,,,,,,0.68,,,,0.67,,,,0.67,,,
AUT,AUSTRIA,,,,,,,,,,0.34,,,,0.4,,,0.34,,1.0,0.4,,,,,,,0.0,,,,,,,,,
AZE,AZERBAIJAN,,,,,,0.31,,,0.0,0.0,0.04,0.02,6.27,,,,,,25.23,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,,,,,81.32,,,,,,,,86.43,,,,,,84.24,,,,,,,,,,,,,,
BEL,BELGIUM,,,,,,,,,,,,,,0.5,,,0.35,,0.35,,,0.83,,,,0.67,,,0.36,,,,,,,
BEN,BENIN,,51.61,51.61,,,,,,,,47.33,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,44.46,,,,,,48.9,,,,,70.03,,,,71.17,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,,,43.25,,,,,50.47,,,,,58.59,,,,60.91,60.91,,,70.22,70.22,,71.61,71.61,,64.35,64.35,69.55,,,,,,
BGR,BULGARIA,,,1.9,1.64,,0.73,0.26,,,,0.62,,2.12,,,,0.32,,0.82,0.22,,0.0,,,0.04,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,,,,,0.04,,,0.1,,,0.28,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,0.0,0.0,0.01,0.0,0.0,0.05,0.06,0.06,0.5,0.47,0.12,0.26,0.38,0.84,,,0.36,,0.02,,,,,0.08,,,,,,,,,,
BLZ,BELIZE,,,,,,,,,,,,,,,12.21,11.31,12.45,9.66,14.03,8.93,9.09,,,,,,,,,,,,,,,
BOL,BOLIVIA,,7.98,6.97,,10.67,10.48,12.19,15.86,18.31,11.69,,21.98,21.33,26.87,23.32,,16.98,,,,8.51,,5.24,5.24,,,,,,,,,,,,
BRA,BRAZIL,,3.75,4.53,,4.72,4.87,5.84,5.93,7.18,8.14,9.62,8.87,10.2,,9.87,9.58,10.9,11.21,9.93,,15.87,16.7,,16.23,13.71,14.68,13.64,9.7,13.52,15.5,16.65,13.66,13.64,,,
BTN,BHUTAN,,2.38,,,,,10.22,,,,23.96,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,13.41,,,,,,24.36,,,,,,,,,31.23,,,,,,,,35.61,35.61,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,62.83,,,,,62.43,,,,,,,,,,,83.15,,,,,,,,,,,,,,
CAN,CANADA,,,,0.34,,,0.34,,,0.34,,,,0.34,,0.68,0.36,,,0.33,,,0.33,,,,0.37,,,,,,0.68,,,
CHE,SWITZERLAND,,,,,,,,,,0.67,,0.34,,0.34,,,,,,,,3.34,,,,,,,,,,0.69,,,,
CHL,CHILE,,,0.83,,1.28,,,1.07,,,1.73,,,2.16,,2.32,,2.2,,3.05,,2.74,,4.91,,,5.8,,,,,,,,,
CHN,CHINA,,,6.26,9.19,11.8,12.34,,,15.77,,,28.06,,,36.0,47.97,47.84,37.39,54.05,59.78,54.85,63.8,,60.73,,,53.95,,,69.43,,,84.27,,,
CIV,COTE D'IVOIRE,,,,,,35.04,,,,,,29.66,,,,30.06,,,21.09,,26.47,,,,,13.76,8.68,4.11,8.08,,,,,,,
CMR,CAMEROON,,,,,,,27.61,,,,,,24.86,,,,,47.43,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,,,87.72,87.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,,,32.82,,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COLOMBIA,,5.63,4.95,6.17,7.26,8.5,8.84,11.04,7.87,9.01,10.34,11.14,17.86,17.85,16.18,,,13.0,,,,6.29,8.18,,8.08,10.69,,,,,,,,15.45,,
COM,COMOROS,,,,,,,,,,46.11,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,,,,,13.72,13.72,,,,,21.02,,,,,,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,1.35,1.36,1.27,2.86,2.28,2.06,3.72,3.57,4.85,5.4,5.5,5.51,5.56,5.43,4.22,5.3,7.02,6.01,5.75,6.89,8.12,9.69,8.45,10.59,,,5.68,,,,,11.4,,,
CZE,CZECH REPUBLIC,,,0.03,0.04,0.03,0.04,,0.07,0.0,,,,,,,,,0.13,,,0.0,,,,,0.0,,,,,,,,,,
DEU,GERMANY,,,,0.34,,,0.0,,,0.0,,,,0.0,,,,,,0.34,,,,,0.0,,,,,0.34,0.0,,0.0,,,
DJI,DJIBOUTI,,,,,,,,,,,,18.83,,,,,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,,,,0.67,,,0.39,,,0.33,,,,0.34,,,,,0.33,,,0.67,,,,,1.02,,,,,,,,,
DOM,DOMINICAN REPUBLIC,,2.25,2.54,2.24,2.99,3.35,3.72,4.23,5.38,7.83,6.43,5.27,3.68,5.24,,,4.95,4.69,,,,4.66,,,12.16,,,16.37,,,,,,,,
DZA,ALGERIA,,,,,,,,,,,,,,,,,,,6.38,,,,,,,7.1,,,,,,,,,,
ECU,ECUADOR,,3.95,4.04,4.58,6.03,6.26,6.94,6.12,9.16,10.45,12.0,,,20.32,16.19,10.16,,,9.48,14.59,,,,,,,12.86,,,,,,,,,
EGY,EGYPT,,,,,,1.68,,,2.26,2.26,,,,1.81,,,,2.46,,,,,4.46,4.46,,,,,,,,,,,,
ESP,SPAIN,,,,2.34,,,1.0,,,1.34,,,,0.33,,,,,1.67,,,,,0.34,,,,,,,,,,0.67,,
EST,ESTONIA,,,0.98,0.81,0.59,0.45,0.47,0.73,0.72,0.46,0.37,0.57,0.57,0.6,,0.05,,,0.25,,0.79,,,,,0.05,,,,,,,,,,
ETH,ETHIOPIA,,,36.79,36.79,,,,,38.96,,,,,54.57,54.57,,,,63.2,,,,,,,,,,,,,69.12,,,,
