Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
AFG,AFGHANISTAN,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,32.4,,,,,,54.5,,,,,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,22.8,,,,29.6,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,21.7,,,,,18.8,,,,18.2,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,18.2,,,,,,,28.5,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,61.7,,,,,,,,,,,65.5,,,,,,,,,,,,,54.2,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,,,47.9,,,,,40.9,,,,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,37.4,37.9,,,45.3,,,45.2,,,,47.1,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,39.6,,40.7,,,,43.8,47.4,48.3,49.5,50.2,54.9,56.1,58.8,63.9,62.9,59.8,67.0,68.4,70.5,72.5,74.4,76.1,,,,,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,8.9,,,,,,12.8,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,18.6,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,,28.1,,,,33.5,,,,,,34.3,,,,37.3,,,,,45.6,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,,,,,,,,8.3,,,,,,,,,,,15.4,,,,,,,20.9,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,,,33.6,,37.7,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,34.0,,,,,,,,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,43.6,,,,,47.7,,,,,,46.4,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,
CHL,CHILE,2.1,2.0,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,CHINA,,,,,9.9,13.2,,,,12.6,,,22.7,,18.5,,20.2,,,32.0,,,38.8,,31.4,,,,,,,,,,,,,,,,,,,,
CIV,COTE D'IVOIRE,,,32.9,,,,,40.1,43.4,,,,,,,31.7,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,
CMR,CAMEROON,,,,35.3,,,,,39.1,,36.9,,,,,,40.3,,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",45.0,,,,47.5,,,48.5,,,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,,,25.8,,,,,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
