Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
GMB,GAMBIA,,,,,2.4,,,,2.9,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,3.4,,1.8,,17.6,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,11.6,,,,,,12.0,,,,14.3,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,,,,5.3,,,,,,,6.4,,,7.6,,,,6.8,,,,,,,,3.5,,,,,,,,,,,,,,,,,
GUY,GUYANA,,,,,,4.9,,6.4,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,HONDURAS,,,5.5,,,,,,6.3,,,,,3.3,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,,,4.1,,,,,,4.4,,,,,,3.8,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,,11.8,,,11.7,,,11.3,,,5.5,,,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,,,,2.2,,,,,,,3.9,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,
IRQ,IRAQ,,,,12.5,,,,,15.6,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,JAMAICA,,,5.8,,3.3,,5.5,9.2,9.0,,7.7,,8.6,7.2,9.5,6.1,5.8,6.5,3.4,7.1,6.7,,,,,,,,,,,,,,,,,,,,,,,,
JOR,JORDAN,,,5.6,,,7.9,,,,,,,4.9,,,,,4.9,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,
JPN,JAPAN,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,14.8,,,,,17.5,,,,,,,7.8,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,,,,,,4.7,,,,,,6.0,,,7.8,,7.9,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,,,9.8,,,,,,12.7,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,,,,1.9,,,1.9,,2.1,,,,,,4.1,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,8.2,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,KUWAIT,8.9,8.0,10.2,8.6,7.7,10.0,9.1,7.8,8.9,7.9,7.9,7.6,6.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,,1.9,,,,,,1.5,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,,,,,,,,15.3,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,3.1,,,,,,4.9,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,LIBYA,,,,,,,,23.2,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,,0.7,,,0.7,,1.6,,,,,,,0.8,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,
LSO,LESOTHO,,,,,7.7,,,,,7.3,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,,,,12.5,,,,,,,14.3,,,,,,,15.4,,,,,11.0,,,,,5.9,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,6.0,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,,,,,,6.3,,,,,,,2.9,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,
