Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,460.0,,,,460.0,,,,,710.0,,,,,1000.0,,,,,,,,,,1300.0
AGO,ANGOLA,450.0,,,,450.0,,,,,650.0,,,,,890.0,,,,,,,,,,1200.0
ALB,ALBANIA,27.0,,,,27.0,,,,,31.0,,,,,39.0,,,,,,,,,,48.0
ARE,UNITED ARAB EMIRATES,12.0,,,,12.0,,,,,13.0,,,,,14.0,,,,,,,,,,24.0
ARG,ARGENTINA,77.0,,,,77.0,,,,,69.0,,,,,63.0,,,,,,,,,,71.0
ARM,ARMENIA,30.0,,,,30.0,,,,,34.0,,,,,38.0,,,,,,,,,,46.0
AUS,AUSTRALIA,7.0,,,,7.0,,,,,7.0,,,,,9.0,,,,,,,,,,10.0
AUT,AUSTRIA,4.0,,,,4.0,,,,,5.0,,,,,5.0,,,,,,,,,,10.0
AZE,AZERBAIJAN,43.0,,,,43.0,,,,,52.0,,,,,65.0,,,,,,,,,,56.0
BDI,BURUNDI,800.0,,,,800.0,,,,,910.0,,,,,1000.0,,,,,,,,,,1100.0
BEL,BELGIUM,8.0,,,,8.0,,,,,8.0,,,,,9.0,,,,,,,,,,10.0
BEN,BENIN,350.0,,,,350.0,,,,,430.0,,,,,530.0,,,,,,,,,,770.0
BFA,BURKINA FASO,300.0,,,,300.0,,,,,370.0,,,,,450.0,,,,,,,,,,700.0
BGD,BANGLADESH,240.0,,,,240.0,,,,,330.0,,,,,400.0,,,,,,,,,,800.0
BGR,BULGARIA,11.0,,,,11.0,,,,,13.0,,,,,28.0,,,,,,,,,,24.0
BHR,BAHRAIN,20.0,,,,20.0,,,,,21.0,,,,,22.0,,,,,,,,,,23.0
BHS,BAHAMAS,47.0,,,,47.0,,,,,47.0,,,,,56.0,,,,,,,,,,52.0
BIH,BOSNIA AND HERZEGOWINA,8.0,,,,8.0,,,,,9.0,,,,,10.0,,,,,,,,,,18.0
BLR,BELARUS,4.0,,,,4.0,,,,,20.0,,,,,31.0,,,,,,,,,,37.0
BLZ,BELIZE,53.0,,,,53.0,,,,,77.0,,,,,100.0,,,,,,,,,,71.0
BOL,BOLIVIA,190.0,,,,190.0,,,,,240.0,,,,,280.0,,,,,,,,,,450.0
BRA,BRAZIL,56.0,,,,56.0,,,,,67.0,,,,,81.0,,,,,,,,,,120.0
BRB,BARBADOS,51.0,,,,51.0,,,,,41.0,,,,,49.0,,,,,,,,,,120.0
BRN,BRUNEI DARUSSALAM,24.0,,,,24.0,,,,,25.0,,,,,24.0,,,,,,,,,,29.0
BTN,BHUTAN,180.0,,,,180.0,,,,,270.0,,,,,430.0,,,,,,,,,,1000.0
BWA,BOTSWANA,160.0,,,,160.0,,,,,330.0,,,,,350.0,,,,,,,,,,140.0
