Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ABW,ARUBA,135.07,134.87,131.86,,129.73,126.21,119.2,112.22,108.13,103.38,99.64,72.1,65.06,57.05,16.51,13.48,6.16,3.98,3.61,2.14,,,0.03,0.0,0.0
AFG,AFGHANISTAN,74.88,70.66,65.45,60.33,45.78,37.89,29.22,17.72,9.83,4.83,2.5,0.87,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,ANGOLA,63.48,61.87,61.41,59.83,48.1,42.85,36.98,28.01,17.84,9.74,4.63,2.27,0.94,0.52,0.19,0.18,0.07,0.06,0.03,0.02,0.02,0.01,0.0,0.0,0.0
AIA,ANGUILLA,179.81,181.82,184.69,186.44,186.63,182.89,198.16,178.97,132.91,103.36,58.57,36.82,26.02,15.59,19.54,13.66,7.46,6.86,3.57,1.63,0.0,0.0,0.0,0.0,0.0
ALB,ALBANIA,105.47,116.16,110.69,98.29,85.47,78.18,58.91,73.35,60.07,47.88,39.16,33.96,26.08,11.95,0.9,0.33,0.17,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0
AND,ANDORRA,82.64,80.7,81.5,83.53,84.07,82.06,80.28,78.12,84.28,79.48,73.82,68.6,45.77,43.28,36.0,32.15,22.13,13.45,8.54,4.42,1.25,1.28,1.31,0.0,0.0
ARE,UNITED ARAB EMIRATES,178.06,171.87,149.64,131.4,129.43,138.27,137.64,133.36,113.2,109.29,100.67,88.22,75.31,60.96,47.19,28.76,17.91,11.86,7.84,5.5,4.1,3.33,2.43,2.25,1.86
ARG,ARGENTINA,158.74,162.53,156.56,149.09,141.38,131.13,117.22,102.72,80.82,57.33,35.27,20.65,17.45,18.09,17.58,10.54,7.4,5.63,1.89,1.16,0.7,0.33,0.14,0.08,0.04
ARM,ARMENIA,115.92,112.42,111.91,108.34,130.43,73.83,48.43,62.76,41.95,10.55,6.72,3.77,2.34,0.83,0.57,0.26,0.25,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ASM,AMERICAN SAMOA,,,,,,,,,,,3.8,3.55,3.47,3.71,3.46,3.17,2.68,2.55,2.41,2.36,2.32,1.77,1.41,0.0,0.0
ATG,ANTIGUA AND BARBUDA,120.02,127.09,143.01,199.66,192.55,156.34,160.04,133.16,132.0,104.16,66.08,56.98,47.74,31.66,28.33,11.18,2.02,1.94,1.85,,,,,,0.0
AUS,AUSTRALIA,131.23,106.84,105.59,104.61,100.43,100.74,102.19,100.06,94.7,89.76,81.51,71.9,64.27,57.12,44.46,33.19,26.17,24.66,21.76,12.37,6.81,3.89,2.84,1.68,1.08
AUT,AUSTRIA,151.91,156.23,160.54,154.43,145.69,136.58,129.66,119.26,112.12,105.18,97.54,89.34,83.24,81.26,76.27,53.08,28.63,14.47,7.48,4.8,3.5,2.81,2.21,1.49,0.96
AZE,AZERBAIJAN,110.91,107.61,108.77,109.97,100.06,86.32,73.76,51.53,38.36,26.18,17.21,12.63,9.59,8.91,5.18,4.6,0.81,0.5,0.22,0.08,0.01,0.0,0.0,0.0,0.0
BDI,BURUNDI,30.46,24.96,22.81,20.07,18.17,10.31,5.57,3.24,2.49,1.97,1.34,0.88,0.74,0.49,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
BEL,BELGIUM,114.27,110.9,111.33,113.53,111.08,108.4,105.28,100.56,93.01,91.4,87.46,82.87,78.36,74.72,54.82,31.11,17.18,9.55,4.69,2.32,1.26,0.67,0.61,0.51,0.43
