Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Number of Disasters,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,0.0,3.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,12.0,11.0,38.0,207.0,413.0,594.0,2223.0,1785.0,1041.0,918.0,2390.0,665.0,616.0,456.0,334.0,0.0
