Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,,25.0,,,,,,,,,32.9,,,,,,,44.9,,,,,,,
AGO,ANGOLA,,,,,,,,15.6,,,,,,,,,,,37.0,,,,,,
ALB,ALBANIA,,,,,,6.3,,,,6.6,,,,,17.0,,,7.1,,,,,,,
ARG,ARGENTINA,,,,,,,,,,2.3,,,,,,,,,4.7,,1.7,,,,
ARM,ARMENIA,,,,,5.3,,,,,4.2,,,,2.6,2.6,,2.7,,,,,,,,
AZE,AZERBAIJAN,,,,,,,,,8.4,,,,,5.9,14.0,,,,8.8,,,,,,
BDI,BURUNDI,,,,,29.1,,,,,35.2,,,,,38.9,,,,,,,,,,
BEN,BENIN,,,,,,,,,20.2,,,,,21.5,,,,,26.2,,,,,,
BFA,BURKINA FASO,,,24.4,24.4,26.2,26.0,,,37.6,,,35.2,,,,33.7,,,,,,29.6,,,
BGD,BANGLADESH,,35.1,31.9,36.8,,,,41.3,37.9,37.3,42.7,38.9,41.0,43.2,42.3,49.5,50.7,52.5,54.0,55.2,58.0,56.1,60.6,61.2,61.5
BGR,BULGARIA,,,,,,,,,,,1.6,,,,,,,,,,,,,,
BHR,BAHRAIN,,,,,,,,,,,,,,,,,,,,7.6,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,1.5,,,,,,1.6,1.6,,,,,4.2,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,1.3,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,6.2,,,,,4.9,,,,,,,,,,,,,,5.4,,
BOL,BOLIVIA,,,,,,,4.5,,,,5.9,5.9,,,,,5.9,,,,11.0,,10.5,10.2,9.7
BRA,BRAZIL,,,,,,,,2.2,,,,3.7,3.7,,,,,,4.5,,,,,,
BRB,BARBADOS,,3.5,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,,,12.8,,10.4,,,,,,,,,14.1,,,,,,,,,
BWA,BOTSWANA,,,,,,,11.2,11.2,,,,,,,10.7,,,,15.1,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,23.5,,,,28.0,,,,,,21.8,,,,,24.0,24.0,,,,
CHL,CHILE,,0.5,,,,,0.5,0.6,0.6,,0.6,0.6,0.7,0.7,,0.7,0.7,,0.7,0.8,0.8,,,,
CHN,CHINA,,,,,3.4,3.4,3.8,,,4.5,,,6.8,,7.4,,6.9,,,10.7,,,14.2,,12.6
CIV,COTE D'IVOIRE,,,15.7,15.7,,,,29.4,16.7,,,,,,,18.2,18.2,,,,20.3,,,,
CMR,CAMEROON,,,,15.1,,,,,16.6,,15.1,,,,,,17.3,,,,,,,18.0,
COD,"CONGO, THE DRC",,23.4,,,24.2,,,28.2,,,,,,33.6,,,,,,30.7,,,,,
COG,CONGO,,,,11.8,,,,,,11.8,,,,,,,,,,,,,,,
COL,COLOMBIA,,,,,3.4,,,,,5.1,,,,,4.9,,,,,6.3,,,,,
COM,COMOROS,,,16.9,,,,,,,,,,,,25.0,,,,21.1,,,,15.2,,
CPV,CAPE VERDE,,,,,,,,,,,,,,,,,,,,,11.8,,,,
CRI,COSTA RICA,,,,,,1.1,1.1,,,,,,,,,,,,3.8,,1.9,2.0,2.0,2.2,2.5
CUB,CUBA,,,,,,,,,,,,,,,3.4,,,,,,,,,,
