Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
BLR,BELARUS,16950.0,16810.0,16410.0,15060.0,13760.0,13730.0,12230.0,10990.0,9680.0,8510.0,7380.0,6690.0,6220.0,5760.0,5310.0,5030.0,4570.0,4030.0,3840.0,4190.0,4650.0,4920.0,5340.0,5230.0,,,,,,,,,,
BLZ,BELIZE,7870.0,7790.0,7640.0,7250.0,7350.0,7000.0,6810.0,6880.0,6550.0,7920.0,7390.0,6720.0,6550.0,6180.0,4800.0,4550.0,4500.0,4390.0,4370.0,4340.0,4340.0,4070.0,3650.0,3290.0,2620.0,2300.0,2100.0,1890.0,1770.0,1750.0,1730.0,1750.0,1730.0,1600.0
BMU,BERMUDA,,66430.0,66640.0,69270.0,69980.0,74770.0,75090.0,,,,,,,,,,,,30680.0,29000.0,28420.0,27090.0,26510.0,26520.0,,,,,,,,,,
BOL,BOLIVIA,5750.0,5410.0,5200.0,4940.0,4790.0,4710.0,4400.0,4180.0,3920.0,3680.0,3530.0,3480.0,3410.0,3340.0,3260.0,3290.0,3140.0,3020.0,2870.0,2750.0,2620.0,2520.0,2450.0,2300.0,1940.0,1840.0,1760.0,1680.0,1720.0,1760.0,1810.0,1790.0,2060.0,1800.0
BRA,BRAZIL,14750.0,14350.0,14030.0,13510.0,12500.0,12510.0,11810.0,10910.0,10240.0,9720.0,9040.0,8850.0,8610.0,8490.0,8040.0,8110.0,8170.0,7920.0,7730.0,7350.0,6880.0,6560.0,6520.0,6300.0,5590.0,4840.0,4780.0,4540.0,4160.0,3810.0,3560.0,3650.0,3540.0,3490.0
BRB,BARBADOS,,15090.0,14930.0,14650.0,14260.0,14640.0,14570.0,13770.0,12900.0,12220.0,11690.0,11340.0,11170.0,11310.0,10870.0,10530.0,10030.0,9250.0,8970.0,8720.0,8250.0,8050.0,8260.0,8240.0,11570.0,10560.0,9630.0,9280.0,8550.0,,,,,
BRN,BRUNEI DARUSSALAM,,,,,68010.0,69740.0,71070.0,70010.0,66280.0,65210.0,64420.0,62660.0,60690.0,59030.0,57380.0,56150.0,57180.0,58450.0,57220.0,55070.0,53720.0,53800.0,51650.0,49870.0,35020.0,,,,,,,,,
BTN,BHUTAN,6920.0,6700.0,6480.0,6030.0,5510.0,5300.0,5120.0,4360.0,4010.0,3690.0,3490.0,3290.0,3060.0,2850.0,2220.0,2140.0,2200.0,2030.0,1880.0,1800.0,1610.0,1490.0,1420.0,1410.0,1090.0,950.0,870.0,640.0,560.0,540.0,460.0,440.0,420.0,350.0
BWA,BOTSWANA,15640.0,14820.0,13950.0,12560.0,11720.0,12300.0,11600.0,10400.0,9370.0,8560.0,8320.0,7610.0,8010.0,7650.0,7560.0,7460.0,7090.0,6440.0,6410.0,5740.0,6290.0,5940.0,5740.0,5090.0,4260.0,3820.0,3010.0,2820.0,2610.0,2430.0,2380.0,2220.0,1950.0,1560.0
CAF,CENTRAL AFRICAN REPUBLIC,600.0,950.0,910.0,880.0,830.0,770.0,740.0,680.0,620.0,610.0,570.0,600.0,580.0,550.0,560.0,540.0,520.0,500.0,520.0,480.0,470.0,470.0,500.0,500.0,610.0,590.0,570.0,600.0,580.0,560.0,500.0,550.0,500.0,480.0
