Country code,Country name,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
ABW,ARUBA,33.7293424018426,,,,,33.4116423908588,,,,,32.4627440621629,,,,,25.7886612055872,,,,,23.2412949732896,,,,,15.6438408326458,,,,,11.7528620873269,,,,,11.9726320995796,,,,,12.6403115212055,,,,,13.3838912133891,,,,,14.5605814639906
AFG,AFGHANISTAN,0.320035219614807,,,,,0.347739448220908,,,,,0.36861215341708,,,,,0.399207941420464,,,,,0.491731744588978,,,,,0.486756110277607,,,,,0.447792640468282,,,,,0.454461076866327,,,,,0.481597905374559,,,,,0.507270086118659,,,,,0.529583654341474
AGO,ANGOLA,0.334475345289129,,,,,0.338816042382016,,,,,0.331118361097686,,,,,0.309807093824081,,,,,0.324342035741976,,,,,1.2009957140868,,,,,1.17702422935494,,,,,0.462770736775246,,,,,0.820787549170584,,,,,1.41842575077188,,,,,2.458503725744
ALB,ALBANIA,3.05888629021212,,,,,2.74508905401219,,,,,2.48282064222812,,,,,2.23208347867986,,,,,2.00858531550791,,,,,2.11797776684941,,,,,2.23540670142968,,,,,2.36257766138244,,,,,2.53081392980217,,,,,2.75682368694401,,,,,3.03959472899055
AND,ANDORRA,71.6841875569589,,,,,61.9319650837817,,,,,64.4444104649918,,,,,69.2282394211796,,,,,71.3690814697951,,,,,72.43985021414,,,,,71.5192856944791,,,,,60.6493844851169,,,,,55.3811936241196,,,,,37.6421756239556,,,,,18.6148799761443
ARE,UNITED ARAB EMIRATES,39.0126110920322,,,,,69.0071761483754,,,,,75.5422369902774,,,,,73.1354193082314,,,,,73.6410447174589,,,,,74.8087540398065,,,,,70.7983149804153,,,,,58.6400171189807,,,,,28.431427596543,,,,,17.7537395535086,,,,,2.44844210338363
ARG,ARGENTINA,3.58964917814891,,,,,3.86583948490387,,,,,4.17368832785633,,,,,4.55829914752514,,,,,5.05724251992513,,,,,5.86822152983451,,,,,6.83068555680831,,,,,7.91777493002325,,,,,9.25582516894696,,,,,10.806507472453,,,,,12.612433341004
ARM,ARMENIA,10.9392420303587,,,,,16.3377631954711,,,,,18.6676432285317,,,,,21.1455295759799,,,,,18.5852097289047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,AMERICAN SAMOA,50.9921633474729,,,,,44.9701439518243,,,,,43.3086471263169,,,,,43.54881416197,,,,,45.2406257971261,,,,,43.5014141208245,,,,,41.8843973379344,,,,,36.2254443405051,,,,,26.5572328887586,,,,,17.7310995832979,,,,,11.9128522886268
ATG,ANTIGUA AND BARBUDA,23.990920867103,,,,,22.0698843335554,,,,,20.4332371728828,,,,,20.2124390993284,,,,,19.4310729170032,,,,,15.9314918471648,,,,,12.9727884382868,,,,,11.4666512642052,,,,,10.5768789487372,,,,,9.73463195480529,,,,,8.90254384521132
AUS,AUSTRALIA,21.3849526593379,,,,,21.2595661639241,,,,,21.0279225186655,,,,,21.3243470562196,,,,,20.9864753209767,,,,,19.9484706180987,,,,,19.7144296215628,,,,,19.1423954509465,,,,,19.6411769409131,,,,,18.0429135932561,,,,,16.5239994212024
AUT,AUSTRIA,15.6660852447161,,,,,14.0530873940137,,,,,12.4388540267908,,,,,12.4458782141239,,,,,10.3315251014281,,,,,9.62759344532739,,,,,9.53658374079219,,,,,9.51373833389872,,,,,9.06215624140394,,,,,10.2462711231048,,,,,11.445740137089
AZE,AZERBAIJAN,2.91506872069635,,,,,3.0328115969661,,,,,4.31801804040454,,,,,6.82521795705921,,,,,5.03701634306467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,0.658200213955686,,,,,1.04970251179091,,,,,1.15222811848339,,,,,4.75104119648504,,,,,5.94216101577756,,,,,7.19302159230272,,,,,5.42321432639176,,,,,3.80041724333837,,,,,4.16011857292487,,,,,5.99645862955719,,,,,4.53300272002411
BEL,BELGIUM,8.9269662880192,,,,,8.4179047673944,,,,,8.5747396658944,,,,,9.03178524291318,,,,,8.94454801006363,,,,,8.84351554039496,,,,,9.09626723839419,,,,,8.36880018774169,,,,,7.20167232334485,,,,,6.41251430338789,,,,,4.82389829714112
BEN,BENIN,2.43996770488711,,,,,2.29254095577781,,,,,1.9243482067285,,,,,2.44146925868468,,,,,1.52385263665976,,,,,1.57939925775489,,,,,1.5446376892672,,,,,1.54408927602216,,,,,1.53898057239072,,,,,1.47308878724794,,,,,1.39902616362754
BFA,BURKINA FASO,6.71181427572366,,,,,5.75784598473141,,,,,4.93480154625143,,,,,4.5960723402349,,,,,3.91258323513259,,,,,3.53596158962473,,,,,2.49876884112774,,,,,1.72888407077173,,,,,1.5880604423748,,,,,1.44894489116536,,,,,1.30335902309469
BGD,BANGLADESH,0.71817474849955,,,,,0.720917107869638,,,,,0.746206856282023,,,,,0.839619157770505,,,,,0.820980626990818,,,,,0.893175677740947,,,,,0.97520147047629,,,,,1.06355380896964,,,,,1.09636778263515,,,,,1.19783402958706,,,,,1.33518185857575
BGR,BULGARIA,1.45011918574817,,,,,1.3446685357692,,,,,1.23620408480996,,,,,0.554480472258905,,,,,0.246722722772783,,,,,0.243802080386387,,,,,0.244980130417586,,,,,0.246687724507846,,,,,0.249588495253119,,,,,0.253322457560596,,,,,0.257964093228566
