Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,16.044,,,,,17.795,,,,,18.462,,,,,18.791,,,,,19.459,,,,,20.485,,,,,24.595,,,,,29.25,,,,,35.791,,,,,42.555,,,,,51.742,,,,,69.071
AFG,AFGHANISTAN,78.276,,,,,90.667,,,,,100.852,,,,,117.643,,,,,141.922,,,,,165.548,,,,,182.518,,,,,198.752,,,,,217.537,,,,,238.67,,,,,261.751,,,,,286.906
AGO,ANGOLA,104.349,,,,,116.054,,,,,138.014,,,,,150.656,,,,,153.175,,,,,157.105,,,,,160.955,,,,,173.03,,,,,186.204,,,,,200.156,,,,,215.042,,,,,230.819
ALB,ALBANIA,16.108,,,,,20.248,,,,,26.293,,,,,30.733,,,,,37.82,,,,,43.181,,,,,46.841,,,,,57.963,,,,,76.935,,,,,98.905,,,,,124.882,,,,,144.851
ARE,UNITED ARAB EMIRATES,6.88,,,,,9.221,,,,,12.381,,,,,16.473,,,,,21.684,,,,,29.558,,,,,41.114,,,,,56.993,,,,,78.902,,,,,110.528,,,,,143.395,,,,,181.078
ARG,ARGENTINA,13.434,,,,,15.043,,,,,21.853,,,,,24.36,,,,,27.136,,,,,32.202,,,,,39.082,,,,,48.12,,,,,57.409,,,,,59.761,,,,,58.704,,,,,63.799
ARM,ARMENIA,21.009,,,,,27.001,,,,,35.021,,,,,44.121,,,,,47.993,,,,,52.979,,,,,57.985,,,,,62.989,,,,,68.006,,,,,73.013,,,,,77.997,,,,,83.003
ATG,ANTIGUA AND BARBUDA,10.028,,,,,12.223,,,,,14.932,,,,,18.259,,,,,22.329,,,,,27.325,,,,,33.449,,,,,40.974,,,,,50.204,,,,,61.542,,,,,75.604,,,,,93.024
AUS,AUSTRALIA,4.434,,,,,4.956,,,,,5.44,,,,,6.871,,,,,8.788,,,,,9.857,,,,,12.761,,,,,16.961,,,,,17.988,,,,,19.717,,,,,21.339,,,,,23.69
AUT,AUSTRIA,3.776,,,,,4.521,,,,,4.812,,,,,7.123,,,,,9.468,,,,,12.554,,,,,16.899,,,,,24.319,,,,,26.434,,,,,32.776,,,,,43.199,,,,,55.113
AZE,AZERBAIJAN,41.062,,,,,52.008,,,,,61.277,,,,,81.833,,,,,85.002,,,,,90.001,,,,,95.026,,,,,100.019,,,,,105.047,,,,,110.05,,,,,115.043,,,,,120.05
BDI,BURUNDI,93.448,,,,,98.876,,,,,106.87,,,,,121.22,,,,,113.289,,,,,117.263,,,,,125.145,,,,,136.682,,,,,140.512,,,,,148.897,,,,,157.679,,,,,166.771
BEL,BELGIUM,3.815,,,,,4.332,,,,,5.381,,,,,7.964,,,,,9.313,,,,,10.997,,,,,14.046,,,,,18.841,,,,,22.522,,,,,27.714,,,,,35.453,,,,,46.018
BEN,BENIN,73.776,,,,,82.367,,,,,92.062,,,,,102.582,,,,,112.747,,,,,122.326,,,,,134.174,,,,,147.909,,,,,162.609,,,,,176.903,,,,,192.457,,,,,209.68
BFA,BURKINA FASO,80.4,,,,,90.012,,,,,99.51,,,,,104.019,,,,,109.734,,,,,119.311,,,,,133.043,,,,,153.559,,,,,172.163,,,,,192.242,,,,,209.14,,,,,228.222
BGD,BANGLADESH,43.666,,,,,55.352,,,,,70.009,,,,,87.867,,,,,104.312,,,,,121.996,,,,,139.981,,,,,173.151,,,,,152.332,,,,,159.626,,,,,173.662,,,,,190.147
