Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
HND,HONDURAS,,379.0,47.0,211.0,14.0,90.0,7.0,4.0,61.0,115.0,96.0,19.0,21.0,22.0,34.0,14617.0,0.0,8.0,37.0,151.0,413.0,,,38.0,151.0,19.0,,50.0,21.0,0.0,,130.0,0.0,2.0,1.0,0.0,,20.0,,8000.0,2800.0,0.0,37.0,,0.0,,,,7.0,,,,275.0,,,,,,,,,,,
HRV,CROATIA (LOCAL NAME: HRVATSKA),,7.0,,0.0,,14.0,12.0,0.0,7.0,,788.0,11.0,0.0,41.0,,,0.0,35.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,28.0,207.0,51.0,229566.0,88.0,843.0,178.0,16.0,88.0,5422.0,182.0,45.0,71.0,43.0,26.0,246.0,480.0,245.0,47.0,1152.0,1813.0,103.0,,0.0,0.0,81.0,33.0,349.0,,,,,,220.0,8.0,,0.0,,,0.0,,78.0,,,,0.0,,480.0,,100.0,5500.0,26.0,,,50.0,,,,,672.0,,6.0,,
HUN,HUNGARY,0.0,16.0,14.0,10.0,,17.0,500.0,47.0,52.0,0.0,40.0,19.0,81.0,1.0,48.0,,0.0,11.0,0.0,31.0,,16.0,,,,,,0.0,,4.0,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,209.0,295.0,536.0,1374.0,2027.0,206.0,1387.0,8189.0,1656.0,167043.0,777.0,526.0,1221.0,1248.0,1045.0,1644.0,1793.0,845.0,278.0,678.0,372.0,2910.0,781.0,522.0,486.0,475.0,783.0,510.0,52.0,388.0,265.0,654.0,1438.0,253.0,1094.0,226.0,327.0,1354.0,,10.0,1702.0,72.0,,132.0,64.0,252.0,485.0,9264.0,111.0,,1690.0,,,,,8.0,,300.0,405.0,37.0,114.0,,1300.0,
IND,INDIA,6137.0,1026.0,1495.0,2134.0,2461.0,2517.0,2717.0,1997.0,6280.0,18410.0,3024.0,3882.0,21485.0,3457.0,12799.0,10686.0,4052.0,4486.0,4201.0,3514.0,12016.0,2086.0,3787.0,4077.0,2930.0,8902.0,2667.0,2072.0,4373.0,9288.0,1784.0,2210.0,2148.0,3946.0,3210.0,8076.0,14766.0,323.0,1291.0,280.0,309.0,330.0,11041.0,1053.0,815.0,7459.0,4606.0,65.0,1500560.0,732.0,512.0,173.0,3457.0,237.0,621.0,912.0,187.0,318.0,2120.0,30.0,491.0,750.0,,1735.0
IRL,IRELAND,,,2.0,,0.0,,,,0.0,0.0,,0.0,,3.0,8.0,2.0,,2.0,,29.0,3.0,,0.0,2.0,,,0.0,11.0,329.0,,10.0,,46.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,IRAN (ISLAMIC REPUBLIC OF),120.0,391.0,140.0,82.0,234.0,230.0,91.0,258.0,1090.0,682.0,27319.0,670.0,730.0,199.0,291.0,269.0,2904.0,58.0,30.0,251.0,963.0,134.0,104.0,40063.0,100.0,381.0,867.0,369.0,1.0,,33.0,,3508.0,524.0,565.0,25430.0,1114.0,16.0,14.0,,,5117.0,,253.0,70.0,10068.0,,42.0,288.0,0.0,,12000.0,60.0,480.0,,191.0,5666.0,1350.0,,2000.0,1890.0,,225.0,52.0
IRQ,IRAQ,,4.0,6.0,61.0,13.0,31.0,70.0,106.0,1225.0,63.0,22.0,,,15.0,,0.0,0.0,,73.0,25.0,,,20.0,,750.0,26.0,,,,,,,,59.0,,1.0,,,,,,459.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,
ISL,ICELAND,,,,0.0,,,,,,,,,,0.0,,,,0.0,34.0,,,,,,,0.0,,,,0.0,4.0,,,,,,,1.0,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ISR,ISRAEL,,,,46.0,,24.0,,,7.0,,,,15.0,15.0,0.0,0.0,88.0,,0.0,,,23.0,5.0,40.0,,,,,22.0,,0.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
ITA,ITALY,40.0,136.0,272.0,14.0,364.0,9.0,48.0,18.0,61.0,28.0,20172.0,121.0,139.0,59.0,63.0,221.0,127.0,28.0,49.0,99.0,34.0,14.0,140.0,77.0,25.0,32.0,127.0,21.0,375.0,33.0,82.0,0.0,12.0,4793.0,14.0,49.0,23.0,976.0,12.0,,38.0,1.0,22.0,72.0,,296.0,,70.0,92.0,,1917.0,,,12.0,,,,,29.0,297.0,100.0,,163.0,
JAM,JAMAICA,,1.0,,15.0,,13.0,5.0,4.0,6.0,16.0,,13.0,1.0,0.0,,,,0.0,,4.0,9.0,,15.0,0.0,,49.0,9.0,54.0,7.0,,,,0.0,193.0,44.0,,0.0,,17.0,,6.0,,,,,0.0,,,,,11.0,,,,,,175.0,,,,,,154.0,
JOR,JORDAN,17.0,,,,,21.0,,10.0,,12.0,22.0,5.0,52.0,23.0,0.0,,2.0,,,32.0,0.0,15.0,10.0,,0.0,,9.0,,,,,,4.0,,,,,,,,,,,,,,,259.0,8.0,,25.0,,,,,,,,,,,,,
JPN,JAPAN,349.0,186.0,19975.0,202.0,89.0,61.0,87.0,72.0,243.0,359.0,46.0,7.0,118.0,46.0,101.0,57.0,28.0,51.0,5313.0,274.0,467.0,21.0,223.0,67.0,80.0,78.0,10.0,88.0,569.0,34.0,465.0,587.0,203.0,88.0,121.0,88.0,41.0,169.0,98.0,364.0,128.0,703.0,297.0,73.0,100.0,171.0,779.0,422.0,289.0,758.0,295.0,234.0,653.0,179.0,5305.0,1950.0,1101.0,130.0,443.0,3425.0,4246.0,235.0,1249.0,1075.0
KAZ,KAZAKHSTAN,20.0,43.0,2.0,44.0,65.0,31.0,,41.0,0.0,71.0,3.0,,3.0,0.0,0.0,21.0,0.0,,140.0,80.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,167.0,101.0,163.0,261.0,561.0,127.0,106.0,522.0,248.0,309.0,74.0,101.0,184.0,404.0,1966.0,172.0,1354.0,0.0,,1312.0,449.0,146.0,320.0,54.0,98.0,77.0,26.0,,,,0.0,77.0,,,0.0,,100.0,,0.0,59.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,,16.0,0.0,0.0,0.0,139.0,0.0,4.0,3.0,68.0,78.0,0.0,20.0,11.0,,23.0,22.0,,12.0,162.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,25.0,14.0,247.0,366.0,46.0,,206.0,5.0,29.0,7.0,,29.0,56.0,347.0,63.0,490.0,92.0,83.0,,537.0,,50.0,100.0,,,,0.0,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,
KIR,KIRIBATI,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
KNA,SAINT KITTS AND NEVIS,,,,,,,,,,,,,,,0.0,5.0,,,0.0,,,,,0.0,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
KOR,"KOREA, REPUBLIC OF",,27.0,143.0,68.0,17.0,50.0,37.0,61.0,53.0,24.0,563.0,385.0,81.0,90.0,145.0,530.0,29.0,145.0,667.0,115.0,293.0,5.0,308.0,214.0,140.0,65.0,809.0,58.0,70.0,251.0,,68.0,178.0,165.0,115.0,27.0,371.0,25.0,,88.0,,797.0,267.0,67.0,630.0,18.0,0.0,117.0,323.0,210.0,116.0,290.0,249.0,,494.0,,485.0,103.0,,56.0,249.0,,,
KWT,KUWAIT,,,,,44.0,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,LAOS ,97.0,,48.0,,26.0,6.0,,,,2.0,,2.0,0.0,87.0,0.0,84.0,,30.0,60.0,500.0,8.0,175.0,0.0,,,0.0,63.0,,0.0,14.0,,,0.0,,,31.0,0.0,,,,,,14.0,,0.0,2.0,,300.0,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,90.0,44.0,,1.0,,,,38.0,0.0,,10.0,,,,,,,,25.0,,45.0,,,0.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,440.0,,,,,
LBR,LIBERIA,10.0,,,12.0,2.0,0.0,1.0,,29.0,,0.0,60.0,,13.0,39.0,22.0,,56.0,9.0,,,,,0.0,,,,,,,,46.0,,466.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,LIBYA,15.0,55.0,100.0,104.0,221.0,140.0,,,,27.0,,81.0,,23.0,,,,70.0,0.0,,,182.0,,,78.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,
LCA,SAINT LUCIA,,,,10.0,,,1.0,,,0.0,,,,,0.0,,,0.0,,4.0,,,,,,45.0,0.0,0.0,,,0.0,,,27.0,,,,,,,,,,,,,0.0,,,,10.0,,,0.0,,,,,,,,,,
LKA,SRI LANKA,117.0,53.0,254.0,52.0,349.0,57.0,55.0,25.0,39.0,35493.0,235.0,25.0,13.0,52.0,7.0,58.0,211.0,20.0,123.0,0.0,133.0,15.0,47.0,58.0,377.0,0.0,77.0,104.0,0.0,51.0,3.0,54.0,7.0,0.0,0.0,750.0,27.0,,,218.0,,,,,62.0,,26.0,23.0,,206.0,,,,,,,200.0,,,,,,,
LSO,LESOTHO,,,26.0,,,0.0,40.0,,,,,0.0,1.0,28.0,28.0,,,0.0,,,,,,22.0,0.0,,18.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
LTU,LITHUANIA,,30.0,,9.0,,,25.0,0.0,0.0,,,,20.0,,34.0,10.0,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,LUXEMBURG,,,,0.0,,,,,,,170.0,20.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,LATVIA,,10.0,,,,,,,40.0,,15.0,,21.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,MACAU,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,27.0,80.0,106.0,88.0,29.0,148.0,65.0,153.0,67.0,716.0,65.0,208.0,26.0,97.0,136.0,101.0,111.0,64.0,808.0,81.0,15.0,30.0,44.0,0.0,0.0,31.0,0.0,,,0.0,0.0,1.0,,,16.0,,0.0,,178.0,,106.0,,0.0,11.0,0.0,,,200.0,75.0,76.0,169.0,,,12000.0,0.0,65.0,,,,30.0,,,131.0,
MDA,"MOLDOVA, REPUBLIC OF",,21.0,,1.0,,3.0,0.0,,13.0,,,1.0,,2.0,0.0,,9.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,65.0,112.0,46.0,120.0,27.0,125.0,91.0,4.0,107.0,409.0,150.0,694.0,47.0,153.0,981.0,0.0,174.0,9.0,34.0,212.0,,,72.0,,46.0,200.0,,99.0,,121.0,42.0,92.0,107.0,,,70.0,10.0,16.0,7.0,,,91.0,,70.0,81.0,29.0,,,,0.0,,,,,,,,,,,,,,
MDV,MALDIVES,,,4.0,,,,0.0,,,133.0,,,,,10.0,,,,,,,,0.0,,,,0.0,,,,,,,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,96.0,124.0,153.0,294.0,121.0,151.0,210.0,199.0,120.0,72.0,88.0,268.0,45.0,324.0,979.0,881.0,578.0,96.0,375.0,36.0,157.0,283.0,283.0,536.0,247.0,523.0,153.0,207.0,9510.0,456.0,408.0,479.0,132.0,171.0,5.0,183.0,10.0,735.0,52.0,13.0,647.0,249.0,17.0,35.0,76.0,55.0,111.0,14.0,27.0,45.0,,50.0,436.0,,2988.0,,160.0,,1100.0,100.0,,140.0,50.0,
MHL,MARSHALL ISLANDS,0.0,,,,,0.0,,,,,,,,6.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,1.0,1.0,,,15.0,,1.0,0.0,1.0,15.0,2.0,0.0,25.0,0.0,,,,,0.0,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,50.0,,104.0,43.0,35.0,0.0,18.0,82.0,56.0,57.0,106.0,58.0,2.0,87.0,2.0,3.0,1098.0,345.0,,,,27.0,52.0,,1.0,64.0,202.0,0.0,51.0,1022.0,,,412.0,0.0,30.0,,,0.0,,,,,,,513.0,,,0.0,,,,,,,,,,,,,,,,
MLT,MALTA,,,,,,10.0,32.0,28.0,26.0,16.0,,,,,,,,283.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,211.0,40.0,240.0,149.0,74.0,138404.0,86.0,59.0,17.0,337.0,,21.0,67.0,,22.0,14.0,103.0,,52.0,144.0,137.0,5.0,98.0,200.0,87.0,135.0,447.0,26.0,0.0,0.0,10.0,301.0,13.0,,0.0,0.0,3.0,0.0,200.0,0.0,,5.0,,90.0,11.0,1070.0,278.0,,134.0,0.0,0.0,,,,,,,,,,,,,
MNE,MONTENEGRO,13.0,1.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,,,,31.0,52.0,14.0,,,,15.0,3.0,26.0,23.0,,28.0,,74.0,41.0,5.0,47.0,,6.0,87.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,57.0,,,,,,,,,1200.0,,,,,,,
MNP,NORTHERN MARIANA ISLANDS,,,,,,,,,,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,119.0,33.0,87.0,133.0,229.0,238.0,288.0,47.0,16.0,11.0,217.0,235.0,105.0,875.0,23.0,296.0,672.0,51.0,,240.0,102.0,587.0,109.0,694.0,99.0,100.0,50.0,77.0,66.0,109.0,189.0,,100000.0,10.0,0.0,44.0,462.0,,1.0,,,,500.0,,,,0.0,,,,,,,,,,,107.0,,,,,,
MRT,MAURITANIA,18.0,10.0,22.0,13.0,1.0,,59.0,26.0,98.0,0.0,9.0,25.0,11.0,13.0,1.0,45.0,0.0,46.0,0.0,80.0,0.0,,4.0,23.0,,38.0,35.0,,0.0,0.0,,5.0,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,
MSR,MONTSERRAT,,,,,,,,0.0,,,,,,,,,32.0,0.0,0.0,,,,,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTQ,MARTINIQUE,,,1.0,13.0,,,2.0,,,,,,,,0.0,,,0.0,0.0,,2.0,,,8.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,45.0,,,15.0,,,,10.0,,,0.0,,,,,,,,,,
MUS,MAURITIUS,11.0,,11.0,,,,2.0,,0.0,,,3.0,,,0.0,,,3.0,,2.0,,,0.0,,1.0,,159.0,,0.0,0.0,1.0,0.0,,0.0,5.0,,,,9.0,,,2.0,,,,,0.0,,,,,,,42.0,,,,,,,,,,
MWI,MALAWI,0.0,51.0,4.0,0.0,88.0,137.0,28.0,28.0,61.0,27.0,12.0,758.0,1205.0,134.0,0.0,21.0,10.0,,1.0,,,0.0,472.0,0.0,69.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,100.0,,,,,,,,,,,,,,,
MYS,MALAYSIA,100.0,,18.0,26.0,0.0,0.0,102.0,6.0,13.0,97.0,8.0,14.0,25.0,84.0,1.0,143.0,136.0,344.0,52.0,72.0,179.0,,439.0,,48.0,57.0,3.0,11.0,,200.0,10.0,,,3.0,,0.0,0.0,,,,,,,61.0,,23.0,50.0,,6.0,,,,,,,,,,,,,,,
MYT,MAYOTTE,,33.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,0.0,0.0,108.0,8.0,92.0,51.0,14.0,15.0,,0.0,2.0,19.0,134.0,14.0,,0.0,,,0.0,,,,20.0,0.0,,100.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCL,NEW CALEDONIA,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,2.0,,,,,,,,4.0,,,,,0.0,0.0,,,3.0,,,0.0,0.0,,,,,,,,,1.0,,,,1.0,,,,2.0,
NER,NIGER,32.0,188.0,64.0,108.0,172.0,214.0,7.0,86.0,44.0,168.0,202.0,320.0,624.0,192.0,63.0,30.0,275.0,882.0,3022.0,60.0,,,2842.0,0.0,356.0,20.0,0.0,0.0,,0.0,,1.0,,0.0,,,,,,0.0,,,,319.0,2.0,,,0.0,,,,,,,,,,,,,,,,
NGA,NIGERIA,186.0,774.0,1034.0,882.0,1974.0,404.0,814.0,940.0,1556.0,626.0,900.0,2190.0,1522.0,1690.0,1064.0,1446.0,280.0,5913.0,46.0,90.0,170.0,601.0,7827.0,269.0,339.0,245.0,600.0,1250.0,0.0,100.0,148.0,,0.0,,24.0,100.0,,,,,176.0,21.0,,,2000.0,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,27.0,9.0,17.0,87.0,8.0,30.0,198.0,44.0,7.0,29.0,,2.0,16.0,9.0,55.0,3339.0,0.0,44.0,56.0,0.0,37.0,180.0,2.0,4.0,,130.0,0.0,,,,101.0,71.0,,0.0,0.0,,,16.0,,,,10000.0,35.0,,0.0,0.0,53.0,,,,,,,325.0,,,,,,,,,500.0,
NIU,NIUE,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
NLD,NETHERLANDS,,13.0,,0.0,,0.0,7.0,1000.0,11.0,,965.0,4.0,9.0,25.0,13.0,0.0,2.0,66.0,35.0,0.0,1.0,74.0,6.0,20.0,,,,0.0,0.0,0.0,,,,,,,,24.0,14.0,,,0.0,,,,,,,,,,93.0,,,,,,,,16.0,2000.0,,,
NOR,NORWAY,,,4.0,,,0.0,,,0.0,18.0,,,0.0,19.0,16.0,,55.0,143.0,1.0,36.0,0.0,0.0,,160.0,42.0,36.0,,,,,,,,123.0,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,
NPL,NEPAL,133.0,190.0,309.0,282.0,535.0,191.0,275.0,278.0,310.0,290.0,399.0,667.0,180.0,530.0,409.0,538.0,104.0,926.0,511.0,,1076.0,1012.0,1452.0,205.0,108.0,984.0,214.0,23.0,46.0,300.0,207.0,92.0,750.0,100.0,0.0,130.0,,150.0,125.0,,,105.0,,371.0,,276.0,17.0,80.0,,0.0,1150.0,,,,,,,,,60.0,,,,
NZL,NEW ZEALAND,0.0,14.0,182.0,51.0,,,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,,10.0,7.0,1.0,1.0,4.0,0.0,0.0,,0.0,0.0,257.0,0.0,0.0,0.0,,,0.0,,,,,53.0,,,,,,,,,,,,,,,301.0,,,
OMN,OMAN,,,14.0,16.0,,,88.0,,,21.0,30.0,53.0,,,,,,,,,,,,,,,,,,,,,26.0,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,539.0,1125.0,646.0,2466.0,244.0,302.0,988.0,642.0,74710.0,274.0,699.0,312.0,306.0,349.0,816.0,1392.0,669.0,385.0,1206.0,440.0,931.0,1875.0,1250.0,551.0,305.0,486.0,78.0,117.0,5.0,103.0,158.0,68.0,404.0,93.0,113.0,393.0,848.0,338.0,14.0,4740.0,474.0,,,0.0,,37.0,32.0,,10000.0,450.0,,,,,148.0,,375.0,270.0,,406.0,111.0,,,2900.0
PAN,PANAMA,0.0,6.0,0.0,15.0,22.0,39.0,5.0,29.0,3.0,16.0,2.0,5.0,0.0,22.0,1.0,3.0,,,2.0,21.0,,116.0,85.0,20.0,,30.0,,2.0,,1.0,0.0,19.0,,,,19.0,,,,,7.0,0.0,,48.0,,,,20.0,0.0,1.0,,,,,,,,,,,,,,
PER,PERU,162.0,405.0,193.0,669.0,799.0,143.0,727.0,177.0,148.0,242.0,479.0,269.0,495.0,292.0,197.0,215.0,909.0,312.0,43.0,184.0,116.0,785.0,10026.0,555.0,440.0,456.0,444.0,174.0,170.0,28.0,623.0,535.0,158.0,77.0,13.0,2.0,47.0,,,388.0,500.0,12.0,850.0,66826.0,150.0,11.0,25.0,128.0,60.0,350.0,,2198.0,,57.0,,28.0,,,,,7.0,,,213.0
PHL,PHILIPPINES,264.0,2457.0,2042.0,1205.0,1406.0,1873.0,195.0,3081.0,116.0,2130.0,488.0,529.0,738.0,1091.0,464.0,1029.0,99.0,316.0,1913.0,828.0,1043.0,250.0,6863.0,3493.0,737.0,1783.0,5410.0,428.0,741.0,2918.0,405.0,653.0,1584.0,441.0,101.0,763.0,282.0,6517.0,40.0,297.0,363.0,1088.0,246.0,3816.0,11.0,353.0,307.0,18.0,392.0,636.0,1.0,197.0,15.0,703.0,29.0,,89.0,129.0,544.0,68.0,,1014.0,1312.0,84.0
PLW,PALAU,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,PAPUA NEW GUINEA,0.0,311.0,28.0,,224.0,10.0,172.0,16.0,2.0,0.0,13.0,183.0,0.0,1.0,23.0,2296.0,92.0,61.0,15.0,44.0,68.0,0.0,200.0,0.0,,76.0,1.0,0.0,0.0,,66.0,,,0.0,13.0,,,,,,,0.0,100.0,15.0,,,,,,,,,,0.0,,,0.0,,,,,,3000.0,
POL,POLAND,25.0,214.0,26.0,236.0,349.0,104.0,19.0,88.0,205.0,0.0,,202.0,297.0,84.0,157.0,73.0,115.0,,21.0,35.0,,35.0,10.0,16.0,,,202.0,,,,0.0,0.0,,117.0,49.0,,0.0,,,,,,33.0,,,,,,,,,,,,,,,,,,,160.0,,
PRI,PUERTO RICO,,0.0,1.0,,0.0,,1.0,,,39.0,2.0,10.0,2.0,59.0,1.0,0.0,,47.0,1.0,0.0,,18.0,,,47.0,,,95.0,600.0,,,,26.0,,3.0,,,,26.0,,,,,60.0,,,,,,,,,,0.0,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",51.0,147.0,74.0,30.0,,,720.0,282.0,207.0,185.0,,3.0,124.0,46.0,42.0,50.0,0.0,116.0,610068.0,,229.0,,110.0,,,,435.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,PORTUGAL,11.0,,,46.0,,2.0,16.0,41.0,15.0,2.0,2720.0,1.0,90.0,4.0,,,29.0,10.0,,,,56.0,26.0,15.0,0.0,2.0,19.0,37.0,143.0,,19.0,,30.0,,23.0,,132.0,,10.0,,11.0,,,,,,462.0,,,94.0,,,,,,,,,,,,,,
PRY,PARAGUAY,0.0,5.0,44.0,12.0,8.0,12.0,8.0,17.0,0.0,390.0,,0.0,,45.0,12.0,55.0,33.0,23.0,0.0,,,0.0,,0.0,,0.0,,,,,76.0,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,6.0,,0.0,,,,,,,,,,,,,
PSE,STATE OF PALESTINE,5.0,0.0,,0.0,,0.0,5.0,,,,,,,,14.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,FRENCH POLYNESIA,,,,1.0,,,20.0,,,,,,,,,13.0,,,,,,,,,,,10.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
QAT,QATAR,,19.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REU,REUNION,,,,,,,2.0,,0.0,,,0.0,,2.0,,,,,,,14.0,,45.0,,10.0,,10.0,,,0.0,,,,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,9.0,86.0,,90.0,35.0,48.0,80.0,89.0,178.0,67.0,3.0,19.0,41.0,29.0,34.0,111.0,51.0,38.0,116.0,2.0,3.0,,108.0,9.0,190.0,,,17.0,,0.0,0.0,,,,,,1641.0,,60.0,,,,,215.0,,,,,,,,,,,,,,,,,,,,
RUS,RUSSIA,160.0,520.0,308.0,56100.0,365.0,121.0,292.0,432.0,299.0,408.0,176.0,759.0,1129.0,493.0,357.0,176.0,287.0,303.0,2588.0,703.0,513.0,280.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,5.0,41.0,32.0,,48.0,30.0,59.0,,4.0,13.0,197.0,12.0,49.0,144.0,77.0,,10.0,70.0,,,,32.0,,237.0,48.0,,,,0.0,,,,,,17.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SAU,SAUDI ARABIA,20.0,67.0,24.0,24.0,161.0,28.0,73.0,442.0,63.0,256.0,146.0,117.0,70.0,181.0,61.0,118.0,343.0,61.0,,182.0,,,359.0,1426.0,,,,67.0,32.0,,,0.0,45.0,301.0,,,,,138.0,,,,,,,,,1.0,,20.0,,,,,,,,,,,,,,
SDN,SUDAN,307.0,307.0,259.0,121.0,31.0,158.0,734.0,1189.0,743.0,170.0,288.0,223.0,53.0,236.0,444.0,3381.0,70.0,1038.0,30.0,30.0,24.0,,12.0,190.0,100.0,2887.0,155.0,60.0,,,150000.0,,,0.0,,34.0,,150.0,0.0,,,,,,,,,0.0,124.0,,,,,,,,,,,,,,,0.0
SEN,SENEGAL,49.0,52.0,15.0,2.0,6.0,34.0,64.0,126.0,303.0,68.0,38.0,1271.0,18.0,13.0,187.0,390.0,20.0,,188.0,0.0,0.0,131.0,,,,0.0,0.0,0.0,300.0,0.0,0.0,,,0.0,0.0,5.0,,0.0,,,,,,,0.0,,,0.0,60.0,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,33.0,,2.0,,1.0,0.0,,,,0.0,3.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHN,ST. HELENA,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,SOLOMON ISLANDS,10.0,0.0,0.0,2.0,21.0,0.0,52.0,,,,0.0,0.0,,,,0.0,0.0,,,,4.0,0.0,33.0,,,1.0,,101.0,0.0,,,0.0,,,2.0,,34.0,,200.0,,,,0.0,,,1.0,12.0,3.0,,,,,,,,,,200.0,,,,,,
SLE,SIERRA LEONE,0.0,300.0,41.0,16.0,257.0,170.0,190.0,11.0,20.0,90.0,10.0,,12.0,188.0,366.0,125.0,121.0,518.0,50.0,,,100.0,,,,,62.0,,352.0,60.0,50.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
