Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
BHS,BAHAMAS,,25.0,0.0,,,0.0,55.0,,1.0,12.0,,,0.0,,1.0,,,,0.0,,,4.0,,0.0,,0.0,,,100.0,,,,,,,,,,,,,,,,,,,5.0,90.0,,0.0,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,4.0,,5.0,1.0,11.0,0.0,,4.0,0.0,0.0,,0.0,50.0,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,4.0,0.0,,,,,0.0,,5.0,,31.0,,,0.0,56.0,,5.0,0.0,13.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,0.0,,8.0,0.0,,3.0,,,,30.0,14.0,,9.0,22.0,,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,5.0,,,,0.0,,,,,,,,,,,,,275.0,,,,,,16.0,,,,,
BMU,BERMUDA,,,,,,,,,,,4.0,,,18.0,,,,,,,,,,,0.0,,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,74.0,43.0,123.0,119.0,19.0,121.0,116.0,91.0,0.0,58.0,205.0,169.0,50.0,108.0,101.0,187.0,74.0,75.0,,5.0,21.0,81.0,354.0,0.0,90.0,0.0,25.0,29.0,29.0,0.0,250.0,20.0,,0.0,,40.0,10.0,112.0,,31.0,,,,,18.0,24.0,,14.0,40.0,,,,,,,,,,,,,,,
BRA,BRAZIL,296.0,89.0,1072.0,430.0,478.0,417.0,269.0,227.0,115.0,275.0,412.0,321.0,127.0,262.0,142.0,132.0,93.0,409.0,388.0,170.0,99.0,137.0,633.0,68.0,378.0,1066.0,426.0,52.0,135.0,1135.0,218.0,170.0,627.0,82.0,300.0,26.0,72.0,,244.0,2015.0,20.0,39.0,239.0,408.0,316.0,113.0,1256.0,946.0,22.0,100.0,146.0,,323.0,,159.0,,112.0,66.0,,,,,,
BRB,BARBADOS,,,,0.0,,,0.0,,,1.0,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,57.0,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,1.0,,23.0,,,,,0.0,,,,200.0,0.0,,,,,39.0,,0.0,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,0.0,,0.0,,0.0,2.0,,470.0,0.0,0.0,,,,3.0,,,,,20.0,,,,,0.0,,191.0,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,62.0,28.0,55.0,3.0,4.0,31.0,13.0,11.0,24.0,28.0,87.0,110.0,346.0,460.0,14.0,0.0,,7.0,0.0,,,56.0,,,,,,31.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
