Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
BGD,BANGLADESH,2.2463974E7,2.1798363E7,2.1155445E7,2.0534461E7,1.9934684E7,1.9355409E7,1.8796715E7,1.8255674E7,1.7733924E7,1.7230095E7,1.6744257E7,1.6273863E7,1.5820339E7,1.5382494E7,1.4840726E7,1.4227875E7,1.3641777E7,1.3080456E7,1.2543574E7,1.2027935E7,1.1534741E7,1.1062333E7,1.061043E7,1.0176347E7,9628934.0,9057587.0,8522390.0,8018930.0,7547229.0,7104593.0,6689723.0,6299225.0,5933144.0,5589412.0,5232885.0,4883526.0,4558415.0,4255408.0,3973351.0,3709692.0,3464236.0,3181895.0,2899056.0,2641146.0,2406917.0,2193856.0,2000271.0,1823639.0,1663122.0,1517017.0,1384183.0,1262899.0,1152609.0,1052152.0,990663.0
BGR,BULGARIA,1221933.0,1216330.0,1210753.0,1205185.0,1199651.0,1194143.0,1188667.0,1183201.0,1177565.0,1168854.0,1157368.0,1145963.0,1132680.0,1120411.0,1128266.0,1136199.0,1144176.0,1152209.0,1160287.0,1168445.0,1176648.0,1184909.0,1189835.0,1190289.0,1190742.0,1191196.0,1191649.0,1192104.0,1192558.0,1181474.0,1159265.0,1137414.0,1116004.0,1094997.0,1074414.0,1054162.0,1034320.0,1014850.0,995774.0,977004.0,958614.0,940570.0,922889.0,905494.0,888449.0,871726.0,855339.0,839217.0,823420.0,805615.0,785106.0,765065.0,745562.0,726557.0,708061.0
BLR,BELARUS,1905252.0,1890517.0,1875897.0,1861389.0,1846994.0,1832710.0,1818556.0,1804472.0,1789815.0,1774585.0,1759505.0,1744512.0,1729668.0,1714949.0,1700376.0,1685887.0,1675883.0,1668477.0,1661114.0,1653763.0,1646455.0,1639179.0,1631945.0,1624724.0,1617544.0,1610396.0,1587427.0,1551147.0,1515745.0,1481151.0,1447393.0,1414313.0,1382034.0,1350492.0,1319711.0,1289550.0,1250760.0,1205532.0,1161999.0,1119925.0,1079428.0,1040396.0,1002827.0,966515.0,931566.0,889881.0,843731.0,799856.0,758319.0,718938.0,681653.0,646207.0,612649.0,580833.0,550710.0
BOL,BOLIVIA,5039912.0,4870092.0,4706724.0,4549547.0,4398308.0,4252765.0,4112685.0,3977847.0,3848039.0,3723057.0,3602869.0,3486802.0,3375164.0,3267619.0,3164147.0,3064169.0,2967955.0,2875220.0,2785947.0,2699641.0,2580854.0,2467479.0,2359410.0,2258391.0,2162605.0,2071438.0,1984759.0,1901991.0,1823265.0,1748259.0,1676876.0,1608642.0,1543674.0,1481713.0,1422682.0,1366198.0,1312362.0,1260962.0,1211847.0,1164456.0,1119214.0,1075952.0,1034626.0,994975.0,957079.0,920800.0,886105.0,852781.0,820896.0,790339.0,761086.0,732958.0,706019.0,680174.0,655410.0
BRA,BRAZIL,8.1213541E7,7.999252E7,7.8791996E7,7.7611593E7,7.6450936E7,7.5309662E7,7.4188942E7,7.3083833E7,7.2000049E7,7.0934664E7,6.988829E7,6.8856319E7,6.7842726E7,6.6845767E7,6.5823164E7,6.4357926E7,6.2933672E7,6.154714E7,6.0199001E7,5.8882617E7,5.7602402E7,5.6355477E7,5.5142475E7,5.3918431E7,5.25431E7,5.1209423E7,4.9917744E7,4.8661455E7,4.7444512E7,4.6263895E7,4.5119954E7,4.4006852E7,4.292813E7,4.1881136E7,4.0724744E7,3.8937012E7,3.7239818E7,3.5625828E7,3.4092561E7,3.2629571E7,3.1239033E7,2.9915112E7,2.8655949E7,2.7453126E7,2.625251E7,2.4850243E7,2.3530552E7,2.2282991E7,2.1108074E7,1.9999603E7,1.8954852E7,1.7965787E7,1.7033048E7,1.6151906E7,1.5323919E7
CAN,CANADA,1.6157226E7,1.5889491E7,1.5626473E7,1.5368085E7,1.5114243E7,1.4864864E7,1.4620199E7,1.4379164E7,1.4142681E7,1.3926095E7,1.3715608E7,1.3507992E7,1.3304046E7,1.3103424E7,1.2902321E7,1.2703601E7,1.2508655E7,1.2317138E7,1.2129243E7,1.1948259E7,1.1771403E7,1.1597741E7,1.1427441E7,1.125974E7,1.1005973E7,1.0751239E7,1.0502977E7,1.026002E7,1.0023234E7,9833904.0,9652677.0,9475176.0,9302032.0,9132887.0,8998251.0,8868894.0,8742707.0,8619424.0,8499123.0,8387503.0,8278623.0,8171695.0,8066825.0,7963535.0,7710429.0,7452775.0,7204486.0,6964220.0,6732676.0,6493451.0,6262776.0,6040753.0,5827886.0,5623450.0,5390421.0
CHE,SWITZERLAND,1233760.0,1221764.0,1209886.0,1198123.0,1186491.0,1174971.0,1163579.0,1152266.0,1141079.0,1130001.0,1119044.0,1108165.0,1097406.0,1086751.0,1078135.0,1072107.0,1066120.0,1060167.0,1054256.0,1048361.0,1042507.0,1036686.0,1030905.0,1025141.0,1005859.0,969394.0,934299.0,900382.0,867741.0,836284.0,806007.0,776748.0,748589.0,721451.0,706766.0,708068.0,709371.0,710676.0,711982.0,713293.0,714605.0,715920.0,717235.0,718557.0,710580.0,690147.0,670328.0,651026.0,632305.0,614123.0,596487.0,579311.0,562653.0,546473.0,535471.0
CHL,CHILE,6471801.0,6420560.0,6369726.0,6319294.0,6269330.0,6219761.0,6170651.0,6121796.0,6073393.0,6025373.0,5977798.0,5930470.0,5883580.0,5776553.0,5658363.0,5542276.0,5428725.0,5317500.0,5208702.0,5101840.0,4997312.0,4894926.0,4794775.0,4703587.0,4615919.0,4529884.0,4445568.0,4362596.0,4281283.0,4201485.0,4123282.0,4046324.0,3970906.0,3849349.0,3720640.0,3595899.0,3475502.0,3359136.0,3246819.0,3137963.0,3032899.0,2931353.0,2833339.0,2738346.0,2646661.0,2569712.0,2497794.0,2427698.0,2359661.0,2293532.0,2229343.0,2166780.0,2106056.0,2047034.0,1979927.0
CHN,CHINA,3.16153747E8,3.06176213E8,2.96585631E8,2.87340155E8,2.78116789E8,2.68592824E8,2.59463456E8,2.50675164E8,2.42248746E8,2.34155582E8,2.26391448E8,2.18865905E8,2.11476797E8,2.0426975E8,1.95268378E8,1.82960094E8,1.71751961E8,1.61502411E8,1.52142471E8,1.43540312E8,1.35626604E8,1.28319282E8,1.21566418E8,1.1528782E8,1.09431604E8,1.05335718E8,1.01508062E8,9.7898567E7,9.4489865E7,9.1257077E7,8.81892940000001E7,8.5260509E7,8.2489387E7,8.0233665E7,7.8064358E7,7.605829E7,7.4119952E7,7.2242853E7,7.06768540000001E7,6.929857E7,6.7912983E7,6.6571964E7,6.5275638E7,6.4017233E7,6.3009503E7,6.2259035E7,6.1516831E7,6.0765146E7,6.0003848E7,5.8920718E7,5.7512901E7,5.6326139E7,5.5281964E7,5.4233963E7,5.2678784E7
CIV,COTE D'IVOIRE,4707564.0,4561596.0,4420153.0,4283096.0,4150288.0,4021599.0,3896900.0,3775739.0,3658504.0,3544909.0,3434991.0,3328191.0,3224853.0,3124722.0,3027833.0,2933692.0,2836045.0,2731834.0,2631588.0,2534759.0,2441619.0,2351902.0,2265598.0,2182236.0,2102049.0,2024809.0,1950508.0,1871183.0,1792171.0,1716495.0,1644112.0,1574595.0,1508106.0,1444425.0,1383516.0,1325017.0,1269067.0,1158740.0,1058136.0,966025.0,865269.0,771982.0,688861.0,614497.0,548246.0,489139.0,436472.0,389354.0,347377.0,309925.0,276555.0,246700.0,226856.0,208607.0,191849.0
