Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Number of Disasters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,6.0,5.0,3.0,1.0,5.0,4.0,2.0,5.0,3.0,1.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,1.0,4.0,142.0,384.0,454.0,570.0,830.0,4087.0,3617.0,1821.0,1556.0,1633.0,1668.0,1528.0,2017.0,2943.0,2168.0,1659.0,1656.0,1225.0,0.0
