Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
GMB,GAMBIA,,,,,1.5,,,,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,3.1,,2.5,,16.5,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,7.9,,,,,,4.0,,,,13.6,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,,,,4.6,,,,,,,4.7,,,6.2,,,,5.6,,,,,,,,2.2,,,,,,,,,,,,,,,,,
GUY,GUYANA,,,,,,8.4,,7.3,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,HONDURAS,,,4.8,,,,,,5.2,,,,,2.8,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,,,3.1,,,,,,3.5,,,,,,2.3,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,,11.3,,,13.0,,,11.2,,,4.8,,,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,,,,1.7,,,,,,,3.3,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,
IRQ,IRAQ,,,,11.1,,,,,14.3,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,JAMAICA,,,10.1,,4.8,,6.1,7.7,3.3,,7.2,,8.3,4.2,4.8,5.7,4.7,4.7,4.1,3.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,
JOR,JORDAN,,,3.9,,,5.2,,,,,,,4.5,,,,,3.7,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,
JPN,JAPAN,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,11.8,,,,,16.4,,,,,,,3.1,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,,,,,,5.3,,,,,,5.6,,,8.5,,7.2,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,,,8.2,,,,,,8.6,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,,,,1.9,,,2.1,,1.3,,,,,,3.9,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,5.1,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,KUWAIT,8.6,7.6,8.9,8.0,7.9,8.0,9.5,9.2,8.4,7.1,6.3,6.0,6.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,,2.1,,,,,,1.0,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,,,,,,,,18.0,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,3.3,,,,,,3.5,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,LIBYA,,,,,,,,21.6,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,,0.4,,,1.0,,1.5,,,,,,,1.2,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
LSO,LESOTHO,,,,,6.9,,,,,6.2,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,,,,8.8,,,,,,,12.4,,,,,,,11.9,,,,,10.4,,,,,5.2,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,3.7,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,,,,,,6.1,,,,,,,3.0,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
MDV,MALDIVES,,,,,,6.4,,,,,,,,4.2,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,,9.0,,,,,,6.7,,,,,,,7.4,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,,,,11.4,,,,,,15.8,7.6,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,,,4.6,,,,,2.9,,,,,2.0,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,2.6,,,,,,,2.6,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,19.6,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,,,,5.1,,,,,12.6,6.0,,,,12.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,7.7,,,3.2,,,,,5.3,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,1.2,3.5,,,0.6,2.2,,,,,,3.7,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,8.2,3.7,,,10.7,9.9,,,,,7.9,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,,4.3,,,,,,4.4,,,,,,,2.9,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,,2.5,,,,,,3.5,,,,,,1.4,,1.6,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,
NGA,NIGERIA,1.8,5.1,,2.7,,,10.7,13.1,,,,6.0,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,5.6,,3.7,,,,6.2,,,3.9,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,
NPL,NEPAL,,,,1.6,,,,,0.6,,,,,0.7,,,0.4,,0.7,,,,,,,,,,,,,,,,,,,,,0.1,,,,,
OMN,OMAN,,,,,,2.0,,,,,,,,,,1.5,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,4.8,,6.1,,,,,,,,,,4.8,,,,,,,2.0,,,5.6,,,,,,,,,,,,,,,,,,,,,
PAN,PANAMA,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,PERU,,,6.1,7.4,7.0,8.9,9.8,,,7.1,,,,,10.7,,,,8.9,,,,8.8,,,,,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,,3.9,,,2.9,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,PAPUA NEW GUINEA,,,,13.0,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,,,,0.0,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,
PSE,STATE OF PALESTINE,,,,,4.6,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,,,,,,,,,8.1,9.0,8.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,,,7.1,,,,,,6.3,,,,,7.0,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,
SAU,SAUDI ARABIA,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,,,,,,,,,5.5,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,0.9,1.3,0.6,2.9,,,,,,1.8,,,,,3.2,,,,,,,3.9,,,,,,,3.5,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
SLB,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,4.1
SLE,SIERRA LEONE,,9.0,,,10.6,,9.9,,,5.5,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,EL SALVADOR,,,,,,,5.0,,,,,4.8,,,,,3.2,,,,,3.7,,,,,2.2,,,,,,,,,,,,,,,,,,
SOM,SOMALIA,,,,,,3.1,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,,,,,14.7,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,5.9,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,12.1,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,3.0,,,,3.4,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,11.2,,,10.9,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,18.1,,,18.1,,,,,19.1,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,,,3.0,,,,,,4.4,,,,2.3,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,,,1.2,,,,5.1,,,,,,,,2.1,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,
