Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
COG,CONGO,319.0,307.0,297.0,283.0,267.0,273.0,271.0,260.0,,,,,237.0,,,,,,,,,,577.0,,,,,,,,,,763.0
COL,COLOMBIA,8711.0,8455.0,8127.0,7938.0,7903.0,7776.0,7401.0,7030.0,,,,,6470.0,,,,,,,,,,5788.0,,,,,,,,,,5257.0
COM,COMOROS,986.0,982.0,982.0,984.0,995.0,1017.0,1037.0,1050.0,,,,,1048.0,,,,,,,,,,1205.0,,,,,,,,,,1215.0
CPV,CAPE VERDE,3609.0,3508.0,3325.0,3245.0,3141.0,3003.0,2742.0,2540.0,,,,,2130.0,,,,,,,,,,1440.0,,,,,,,,,,963.0
CRI,COSTA RICA,10863.0,10481.0,10172.0,9825.0,10132.0,9979.0,9358.0,8690.0,,,,,7496.0,,,,,,,,,,6023.0,,,,,,,,,,6095.0
CUB,CUBA,5539.0,5404.0,5272.0,5161.0,5085.0,4877.0,4569.0,4068.0,,,,,3209.0,,,,,,,,,,3889.0,,,,,,,,,,2815.0
CYP,CYPRUS,23825.0,24764.0,25297.0,25326.0,24771.0,23911.0,23748.0,23400.0,,,,,21245.0,,,,,,,,,,18388.0,,,,,,,,,,11445.0
CZE,CZECH REPUBLIC,22067.0,22341.0,22042.0,21530.0,23216.0,22129.0,21521.0,20370.0,,,,,17041.0,,,,,,,,,,,,,,,,,,,,
DEU,GERMANY,35431.0,35103.0,34039.0,32855.0,34258.0,33978.0,32960.0,31470.0,,,,,29979.0,,,,,,,,,,26179.0,,,,,,,,,,20965.0
DJI,DJIBOUTI,2350.0,2298.0,2254.0,2233.0,2211.0,2156.0,2102.0,2010.0,,,,,1804.0,,,,,,,,,,,,,,,,,,,,
DMA,DOMINICA,10977.0,10928.0,10776.0,10618.0,10537.0,9669.0,9348.0,8530.0,,,,,7440.0,,,,,,,,,,6923.0,,,,,,,,,,4021.0
DNK,DENMARK,33518.0,33440.0,32987.0,32474.0,34663.0,34969.0,34846.0,33660.0,,,,,30980.0,,,,,,,,,,24787.0,,,,,,,,,,20678.0
DOM,DOMINICAN REPUBLIC,8506.0,8323.0,8100.0,7592.0,7424.0,7070.0,6597.0,6020.0,,,,,5535.0,,,,,,,,,,3669.0,,,,,,,,,,3644.0
DZA,ALGERIA,7418.0,7341.0,7262.0,7510.0,7313.0,7212.0,6927.0,6810.0,,,,,5783.0,,,,,,,,,,5995.0,,,,,,,,,,6179.0
ECU,ECUADOR,7471.0,7288.0,7073.0,6863.0,6936.0,6458.0,6423.0,6190.0,,,,,4903.0,,,,,,,,,,4777.0,,,,,,,,,,5487.0
