Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CMR,CAMEROON,31.1,31.1,13.9,13.9,13.9,13.9,13.9,13.9,8.9,8.9,8.9,8.9,8.9,5.6,5.6,5.6,5.6,5.6,12.2,,,,,,,14.4
COD,"CONGO, THE DRC",8.9,10.6,8.9,8.9,8.4,8.4,8.4,8.4,8.4,12.0,12.0,12.0,,,,,,,5.0,,,,,,,5.4
COG,CONGO,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,8.5,8.5,8.5,8.5,9.3,12.0,12.0,12.0,12.0,,1.6,,,,,,,14.3
COL,COLOMBIA,19.9,12.1,12.1,12.1,12.7,8.4,8.4,8.4,8.4,12.1,12.0,12.0,12.0,11.8,11.8,11.8,,11.7,11.7,,,,,,,4.5
COM,COMOROS,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,0.0,0.0,0.0,,,,,,,0.0
CPV,CAPE VERDE,20.8,20.8,20.8,20.8,18.1,18.1,18.1,18.1,15.3,15.3,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,,,,,,,12.0
CRI,COSTA RICA,33.3,38.6,38.6,38.6,38.6,36.8,36.8,36.8,38.6,35.1,35.1,35.1,35.1,19.3,19.3,19.3,19.3,15.8,15.8,,,,,,,10.5
CUB,CUBA,48.9,48.9,45.2,45.2,43.2,43.2,43.2,43.2,36.0,36.0,36.0,36.0,36.0,27.6,27.6,27.6,27.6,22.8,22.8,,,,,,,33.9
CYP,CYPRUS,12.5,12.5,10.7,10.7,12.5,12.5,14.3,14.3,14.3,16.1,16.1,10.7,10.7,10.7,7.1,5.4,5.4,5.4,5.4,,,,,,,1.8
CZE,CZECH REPUBLIC,19.0,19.5,22.0,22.0,22.0,15.5,15.5,15.5,15.5,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,
DEU,GERMANY,36.5,36.5,32.9,32.9,32.8,32.8,32.2,31.6,31.6,31.8,32.8,32.2,32.2,31.7,30.9,30.9,30.9,26.2,26.2,,,,,,,
DJI,DJIBOUTI,12.7,12.7,13.8,13.8,13.8,13.8,13.8,13.8,10.8,10.8,10.8,10.8,10.8,0.0,0.0,0.0,,,0.0,,,,,,,0.0
DMA,DOMINICA,21.9,12.9,12.5,12.5,12.5,14.3,18.8,16.1,12.9,12.9,19.4,18.8,18.8,18.8,,9.4,9.4,9.4,9.4,,,,,,,10.0
DNK,DENMARK,38.0,39.1,39.1,39.1,38.0,38.0,38.0,38.0,36.9,36.9,38.0,38.0,38.0,38.0,37.4,37.4,37.4,33.0,33.0,,,,,,,30.7
DOM,DOMINICAN REPUBLIC,20.8,20.8,20.8,20.8,20.8,19.7,19.7,19.7,19.7,17.3,17.3,17.3,17.3,16.1,16.1,16.1,16.1,11.7,11.7,,,,,,,7.5
DZA,ALGERIA,31.6,31.6,31.6,8.0,7.7,7.7,7.7,7.7,6.2,6.2,6.2,6.2,6.2,3.4,3.4,3.2,3.2,3.2,6.6,,,,,,,2.4
ECU,ECUADOR,41.6,41.6,32.3,32.3,32.3,32.3,27.6,25.0,25.0,16.0,16.0,16.0,16.0,14.6,14.6,17.4,17.4,3.7,,,,,,,,4.5
EGY,EGYPT,,,2.0,2.0,12.7,1.8,1.8,1.8,2.0,2.0,2.9,2.4,2.4,2.4,,2.0,2.0,2.0,2.0,,,,,,,3.9
ERI,ERITREA,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,14.7,14.7,14.7,21.0,21.0,21.0,,,,,,,
ESP,SPAIN,41.1,39.7,36.0,36.0,36.6,36.6,36.3,36.6,36.0,36.0,36.0,28.3,28.3,28.3,28.3,21.6,24.7,24.7,24.6,,,,,,,14.6
EST,ESTONIA,19.8,19.0,20.8,19.8,22.8,22.8,20.8,20.8,18.8,18.8,18.8,18.8,17.8,17.8,17.8,17.8,10.9,10.9,12.9,,,,,,,
ETH,ETHIOPIA,27.8,27.8,27.8,27.8,27.8,21.9,21.9,21.9,21.9,21.4,7.7,7.7,7.7,7.7,7.7,2.0,2.0,2.0,2.0,,,,,,,
FIN,FINLAND,42.5,42.5,42.5,42.5,40.0,40.0,41.5,41.5,38.0,37.5,37.5,37.5,36.5,36.5,36.5,37.0,33.5,33.5,33.5,,,,,,,31.5
FJI,FIJI,14.0,,,,,,,,,8.5,8.5,5.7,5.7,5.7,,11.3,4.3,4.3,4.3,,,,,,,
FRA,FRANCE,26.2,26.2,26.9,18.9,18.9,18.9,18.2,18.2,12.2,12.2,12.2,12.2,12.2,10.9,10.9,10.9,10.9,10.9,6.4,,,,,,,6.9
FSM,"MICRONESIA, FEDERATED STATES OF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GAB,GABON,14.2,15.0,15.8,15.8,14.7,14.7,16.7,16.7,12.5,9.2,9.2,9.2,9.2,,9.2,8.3,8.3,8.3,,,,,,,,13.3
GBR,UNITED KINGDOM,22.8,22.6,22.5,22.3,22.0,19.5,19.5,19.5,19.7,19.7,18.1,17.9,17.9,17.9,18.4,18.4,18.2,18.2,9.5,,,,,,,6.3
GEO,GEORGIA,11.3,12.0,12.0,6.6,6.5,5.1,6.0,9.4,9.4,9.4,9.4,7.2,7.2,7.2,7.2,7.2,6.9,6.9,6.8,,,,,,,
GHA,GHANA,10.9,10.9,10.3,8.3,8.3,8.3,7.9,10.9,10.9,10.9,10.9,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,
GIN,GUINEA,21.9,21.9,,,,,,19.3,19.3,19.3,19.3,19.3,19.3,8.8,8.8,8.8,8.8,7.0,7.0,,,,,,,
GMB,GAMBIA,9.4,9.4,7.5,7.5,7.5,7.5,9.4,9.4,9.4,13.2,13.2,13.2,13.2,,2.0,2.0,2.0,2.0,,,,,,,,7.8
GNB,GUINEA-BISSAU,13.7,11.0,14.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,,7.8,7.8,7.8,,10.0,10.0,10.0,,,,,,,20.0
GNQ,EQUATORIAL GUINEA,24.0,24.0,10.0,10.0,10.0,10.0,6.0,18.0,18.0,18.0,18.0,5.0,5.0,5.0,5.0,5.0,8.8,8.8,8.8,,,,,,,13.3
GRC,GREECE,23.0,21.0,21.0,18.7,17.3,17.3,14.7,14.7,13.0,13.0,14.0,8.7,8.7,8.7,8.7,6.3,6.3,6.3,6.3,,,,,,,6.7
GRD,GRENADA,33.3,33.3,13.3,13.3,13.3,13.3,13.3,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,,20.0,20.0,20.0,,,,,,,
GTM,GUATEMALA,13.3,13.3,13.3,13.3,12.0,12.0,12.0,12.0,8.2,8.2,8.2,8.2,8.8,8.8,8.8,7.1,12.5,12.5,12.5,,,,,,,7.0
GUY,GUYANA,31.3,31.3,31.3,31.3,30.0,30.0,30.0,29.0,29.0,30.8,30.8,20.0,20.0,20.0,18.5,18.5,,,20.0,,,,,,,36.9
HND,HONDURAS,25.8,25.8,19.5,19.5,18.0,18.0,23.4,23.4,23.4,23.4,5.5,5.5,5.5,9.4,9.4,9.4,9.4,,7.8,,,,,,,10.2
HRV,CROATIA (LOCAL NAME: HRVATSKA),25.8,23.8,23.8,23.8,23.5,23.5,20.9,20.9,21.7,21.7,21.7,17.8,20.5,20.5,20.5,,7.9,7.9,7.9,,,,,,,
