Country code,Country name,2014,2013,2012,2011,2010
URY,URUGUAY,98.1,,,,98.1
UZB,UZBEKISTAN,99.4,,,,99.4
VEN,VENEZUELA,95.5,,,,95.5
VNM,VIET NAM,93.4,,,,93.2
VUT,VANUATU,83.2,,,,82.6
WSM,SAMOA,98.8,,,,98.8
YEM,YEMEN,65.3,,,,63.9
ZAF,SOUTH AFRICA,93.0,,,,88.7
ZMB,ZAMBIA,61.4,,,,71.2
ZWE,ZIMBABWE,83.6,,,,92.2
