Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
AFG,AFGHANISTAN,,,,,,,,,,,59.3,,,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,29.2,,,,,,50.8,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,23.1,,,,27.0,,,,,39.2,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,8.2,,,,,,,,,16.9,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,20.8,,,,,18.2,,,,17.7,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,,,,,,,1.8,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,18.0,,,,,,,26.8,,,,,18.0,24.1,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,57.5,,,,,,57.7,,,,,63.1,,,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,
BEN,BENIN,34.0,,,,,,,,44.7,,,,,39.1,,,,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,35.1,35.1,,,42.4,,,43.1,,,,45.5,,,,,,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,36.1,38.7,,41.4,,,,43.2,47.0,47.8,48.7,49.8,53.5,55.4,57.2,62.4,61.8,59.7,66.5,68.5,70.1,72.1,74.5,76.7,63.4,,,,70.9,,,71.1,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,BAHRAIN,,,,,,,,,,,,,,,,,,,,13.6,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,8.9,,,,,,11.8,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,19.3,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,,27.2,,,,32.5,,,,,,33.1,,,,35.2,,,,,41.7,,,,,,,,48.6,,,,,,,,,,,,,,,
BRA,BRAZIL,,,,,,,,7.1,,,,,,,,,,,13.5,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,7.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,,,33.6,,34.9,,,,,,,,,47.7,,,,,,,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,31.4,,,,,,,,29.1,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,40.7,,,,,45.1,,,,,,44.6,,,,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,
CHL,CHILE,1.8,1.8,,,,,2.0,2.1,2.2,,2.4,2.5,2.5,2.8,,3.1,3.3,,3.7,3.9,4.2,,,,,,,,13.5,,13.9,,,,,,,,,,,,,,,,,,
CHN,CHINA,,,,,9.4,12.6,13.7,,,11.7,,,21.8,,17.8,,19.8,,,31.2,,,38.0,,32.3,,,38.3,,,,,,,,,,,,,,,,,,,,,
CIV,COTE D'IVOIRE,,,29.6,,,,,39.0,40.1,,,,,,,31.5,,,,,31.5,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,
CMR,CAMEROON,,,,32.6,,,,,36.4,,35.4,,,,,,36.7,,,,,,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",42.6,,,,43.5,,,45.8,,,,,,44.4,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,,,25.0,,,,,,,31.2,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,,,
COL,COLOMBIA,,,,,12.7,,,,,16.2,,,,,18.1,,,,,19.7,,,,,,21.8,,,25.9,,,,,,28.2,,,,,,,,,,,,,,38.1
COM,COMOROS,,,32.1,,,,,,,,,,,,46.9,,,,41.4,,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,31.9,,23.3,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,,,,,5.6,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,
CUB,CUBA,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,CZECH REPUBLIC,,,,,,,,,,,,,2.6,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,GERMANY,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,DJIBOUTI,,,33.5,,,,,,32.6,,,,26.5,,,,,,31.7,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,
DOM,DOMINICAN REPUBLIC,,7.1,,,,,,10.1,10.5,,,,11.7,,8.0,,,,13.9,,,,,21.2,,,,,22.2,,,,,,,,,,,,,,,,,,,,
DZA,ALGERIA,,,,,,,,,,15.9,,,23.3,,23.6,,,,,22.5,,,22.9,,,,,16.9,,,,,,,,,,,,,,,,,,,,,
ECU,ECUADOR,,25.2,,,,,,,,,29.0,,,,,,32.5,,,,,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,,
EGY,EGYPT,22.3,,,,,,30.7,,,23.8,,20.3,,,24.6,,26.3,,34.9,,,31.3,,34.9,,,36.6,,,,,,,,,,43.8,,,,,,,,,,,,
