Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Number of Disasters,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,7.0,7.0,5.0,4.0,7.0,19.0,11.0,8.0,12.0,9.0,3.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,6.0,3.0,3.0,1.0,1.0,3.0,3.0,54.0,15.0,243.0,121.0,44.0,28.0,195.0,249.0,140.0,217.0,211.0,230.0,1989.0,407.0,601.0,353.0,339.0,395.0
