Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
BDI,BURUNDI,353.9108,358.379,366.713,375.047,383.381,391.715,400.049,409.5524,419.0558,428.5592,438.0626,447.566,449.7008,451.8356,453.9704,456.1052,458.24,454.804,451.368,447.932,444.496,441.06,433.041,425.022,417.003,408.984,400.965,400.7726,400.5802,400.3878,400.1954,400.003,402.6838,405.3646,408.0454,410.7262,413.407,418.2792,423.1514,428.0236,432.8958,437.768,439.34,440.912,442.484,444.056,445.628,448.9724,452.3168,455.6612,459.0056,462.35,465.7626,469.1752
BEL,BELGIUM,,98.987,100.339,102.017,107.226,111.642,109.256,110.936,114.389,116.553,122.531,124.795,128.108,130.295,131.756,129.01,131.231,132.411,136.862,136.398,136.602,135.472,138.299,138.654,141.117,144.164,149.779,152.375,157.056,159.472,165.371,166.675,167.993,174.519,176.354,180.55,178.309,182.113,182.274,181.337,189.712,193.861,192.395,194.035,199.271,198.983,196.98,195.774,203.916,200.216,203.094,201.733,200.353,209.304
BEN,BENIN,272.9024,274.703,276.7864,278.8698,280.9532,283.0366,285.12,290.4452,295.7704,301.0956,306.4208,311.746,313.1358,314.5256,315.9154,317.3052,318.695,313.533,308.371,303.209,298.047,292.885,302.9748,313.0646,323.1544,333.2442,343.334,355.2548,367.1756,379.0964,391.0172,402.938,405.5306,408.1232,410.7158,413.3084,415.901,418.7178,421.5346,424.3514,427.1682,429.985,433.0226,436.0602,439.0978,442.1354,445.173,449.163,453.153,457.143,461.133,465.123,469.18,473.237
BFA,BURKINA FASO,284.467,288.311,292.7038,297.0966,301.4894,305.8822,310.275,317.9952,325.7154,333.4356,341.1558,348.876,353.9158,358.9556,363.9954,369.0352,374.075,371.516,368.957,366.398,363.839,361.28,357.9408,354.6016,351.2624,347.9232,344.584,345.136,345.688,346.24,346.792,347.344,363.0846,378.8252,394.5658,410.3064,426.047,434.8362,443.6254,452.4146,461.2038,469.993,476.231,482.469,488.707,494.945,501.183,507.0736,512.9642,518.8548,524.7454,530.636,536.8468,543.0576
BGD,BANGLADESH,153.7692,156.386,158.8114,161.2368,163.6622,166.0876,168.513,169.7476,170.9822,172.2168,173.4514,174.686,176.1372,177.5884,179.0396,180.4908,181.942,183.5704,185.1988,186.8272,188.4556,190.084,191.833,193.582,195.331,197.08,198.829,200.8842,202.9394,204.9946,207.0498,209.105,211.6678,214.2306,216.7934,219.3562,221.919,227.9294,233.9398,239.9502,245.9606,251.971,252.848,253.725,254.602,255.479,256.356,260.6506,264.9452,269.2398,273.5344,277.829,282.6474,287.4658
BGR,BULGARIA,,,,196.963,203.861,208.254,211.997,218.5,219.686,216.239,216.006,218.314,222.531,224.896,222.568,241.743,244.314,238.237,245.326,246.884,240.436,229.761,212.529,219.326,217.95,210.298,206.571,208.622,210.525,202.751,198.215,197.424,188.381,189.866,191.368,184.761,185.61,173.613,177.643,169.469,164.524,172.606,172.981,159.814,169.163,160.668,164.552,155.165,151.941,154.488,159.618,165.986,162.435,164.938
BHR,BAHRAIN,72.8792,73.793,74.7618,75.7306,76.6994,77.6682,78.637,81.472,84.307,87.142,89.977,92.812,95.7688,98.7256,101.6824,104.6392,107.596,110.49,113.384,116.278,119.172,122.066,125.1434,128.2208,131.2982,134.3756,137.453,141.1502,144.8474,148.5446,152.2418,155.939,160.7026,165.4662,170.2298,174.9934,179.757,185.8956,192.0342,198.1728,204.3114,210.45,218.308,226.166,234.024,241.882,249.74,259.7538,269.7676,279.7814,289.7952,299.809,312.4228,325.0366
BHS,BAHAMAS,201.4652,204.113,206.655,209.197,211.739,214.281,216.823,219.6598,222.4966,225.3334,228.1702,231.007,234.8276,238.6482,242.4688,246.2894,250.11,251.48,252.85,254.22,255.59,256.96,258.3162,259.6724,261.0286,262.3848,263.741,264.433,265.125,265.817,266.509,267.201,267.9208,268.6406,269.3604,270.0802,270.8,271.5498,272.2996,273.0494,273.7992,274.549,275.332,276.115,276.898,277.681,278.464,279.2836,280.1032,280.9228,281.7424,282.562,283.4218,284.2816
BIH,BOSNIA AND HERZEGOWINA,131.0646,132.95,134.6662,136.3824,138.0986,139.8148,141.531,144.0004,146.4698,148.9392,151.4086,153.878,157.481,161.084,164.687,168.29,171.893,224.4366,276.9802,329.5238,382.0674,434.611,386.102,337.593,289.084,240.575,192.066,193.8224,195.5788,197.3352,199.0916,200.848,201.215,201.582,201.949,202.316,202.683,205.6242,208.5654,211.5066,214.4478,217.389,220.1864,222.9838,225.7812,228.5786,231.376,233.7366,236.0972,238.4578,240.8184,243.179,245.5092,247.8394
BLR,BELARUS,273.772,287.348,336.493,334.251,330.076,334.161,332.976,355.898,369.258,362.672,372.831,383.46,369.589,354.113,375.945,370.635,360.663,358.58,363.765,348.423,343.279,310.876,294.256,281.969,273.425,250.123,246.373,241.941,275.592,298.335,282.476,279.052,279.245,277.666,276.739,265.546,260.783,254.901,248.697,232.669,230.299,230.376,226.106,226.438,216.682,208.434,202.676,198.791,198.208,193.617,199.643,203.929,198.55,204.648
