Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900
BEL,BELGIUM,,0.0,71.0,882.0,,0.0,2.0,0.0,210.0,130.0,37.0,2400.0,,,905.0,140.0,55.0,60.0,803.0,299.0,627.0,0.0,100.0,51.0,2.0,,408.0,,500.0,0.0,1030.0,9.0,,,,,0.0,140.0,,69.0,,0.0,600.0,160.0,104.0,,398.0,6.0,5.0,20.0,0.0,13.0,0.0,,,0.0,,0.0,0.0,40.0,461.0,0.0,,2.0,,,40.0,0.0,104.0,,,1000.0,0.0,79.0,110.0,,0.0,30.0,0.0,5.0,0.0,0.0,0.0,19.0,96.0,6000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,2.0,,,0.0,
BEN,BENIN,35494.0,55000.0,5883.0,832037.0,120457.0,160251.0,10933.0,20.0,206.0,,287.0,452.0,9767.0,7842.0,57710.0,420527.0,51226.0,148748.0,123000.0,34000.0,,,0.0,,2411.0,84000.0,403.0,,475000.0,0.0,,580000.0,,2100000.0,,7200.0,,7.0,,,,,,0.0,115000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,21030.0,2850087.0,139322.0,154433.0,57900.0,141808.0,33076.0,606.0,2803.0,19496.0,,20820.0,,1560.0,21141.0,17996.0,40967.0,75590.0,66500.0,,,0.0,2600000.0,,233324.0,0.0,0.0,572.0,2500.0,386.0,,10013.0,1250000.0,1612.0,,900.0,442000.0,,,,,,,979550.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
BGD,BANGLADESH,1319071.0,5658189.0,1672706.0,887702.0,4504600.0,764490.0,2.321523E7,237662.0,1187006.0,3.6893159E7,553360.0,1721574.0,730990.0,2853456.0,612980.0,1.5449304E7,4717979.0,5957110.0,1.7113753E7,1054229.0,1.6625293E7,85500.0,2.0037329E7,2070270.0,5305100.0,5.557416E7,3.03012E7,3195100.0,2331300.0,3.0E7,7165550.0,2.048154E7,2037000.0,1.000105E7,2332.0,400100.0,234711.0,4000200.0,,3.8E7,50000.0,25000.0,0.0,1.364811E7,199473.0,1.5905754E7,200.0,2300000.0,1.566E7,1000800.0,1000000.0,,0.0,200000.0,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,,,25000.0,0.0,,,0.0,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,
BGR,BULGARIA,,38160.0,,90.0,19.0,0.0,1129.0,527.0,12220.0,,,0.0,0.0,167.0,850.0,323.0,200.0,200.0,,,5019.0,,,0.0,100.0,0.0,,3060.0,,0.0,0.0,,0.0,,,,165.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
BHR,BAHRAIN,0.0,0.0,,,,,,60.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,BAHAMAS,,4.0,10000.0,,,3000.0,7078.0,,1500.0,9000.0,,,0.0,,0.0,,,,0.0,,,1700.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,3.0,1700.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,10347.0,,34910.0,13730.0,0.0,0.0,,3100.0,278000.0,62575.0,,9000.0,814.0,1090.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,11325.0,130.0,,,,,0.0,,1820.0,,31.0,,,0.0,2078.0,,21995.0,0.0,282.0,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,0.0,,48000.0,20000.0,,0.0,,,,20000.0,62570.0,,60000.0,0.0,,2600.0,,,,,0.0,,,,,,,,273.0,,,17000.0,6000.0,,,,70000.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
