Country code,Country name,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
GBR,UNITED KINGDOM,85.933,,,,,85.173,,,,,84.379,,,,,83.55,,,,,82.687,,,,,81.788,,,,,80.91,,,,,80.146,,,,,79.508,,,,,79.007,,,,,78.651,,,,,78.353,,,,,78.14,,,,,78.39,,,,,78.481,,,,,77.683,,,,,77.117,,,,,77.821,,,,,78.444,,,,,78.714,,,,,78.981
GEO,GEORGIA,66.357,,,,,64.249,,,,,62.084,,,,,59.87,,,,,57.665,,,,,55.806,,,,,54.359,,,,,53.336,,,,,52.742,,,,,52.47,,,,,52.638,,,,,53.841,,,,,55.038,,,,,54.194,,,,,52.497,,,,,50.344,,,,,48.006,,,,,45.534,,,,,43.069,,,,,40.067,,,,,36.91
GHA,GHANA,72.332,,,,,70.087,,,,,67.74,,,,,65.3,,,,,62.777,,,,,60.182,,,,,57.472,,,,,54.482,,,,,51.215,,,,,47.694,,,,,43.954,,,,,40.139,,,,,36.441,,,,,32.896,,,,,31.167,,,,,30.058,,,,,28.972,,,,,26.074,,,,,23.252,,,,,19.089,,,,,15.444
GIB,GIBRALTAR,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
GIN,GUINEA,58.434,,,,,55.416,,,,,52.357,,,,,49.281,,,,,46.21,,,,,43.167,,,,,40.175,,,,,37.408,,,,,34.968,,,,,32.845,,,,,31.023,,,,,29.475,,,,,28.026,,,,,26.621,,,,,23.617,,,,,19.515,,,,,15.977,,,,,12.978,,,,,10.472,,,,,8.402,,,,,6.711
GLP,GUADELOUPE,98.973,,,,,98.9,,,,,98.822,,,,,98.739,,,,,98.65,,,,,98.563,,,,,98.492,,,,,98.44,,,,,98.409,,,,,98.4,,,,,98.4,,,,,98.485,,,,,98.594,,,,,98.486,,,,,97.98,,,,,96.0,,,,,95.067,,,,,95.105,,,,,95.666,,,,,95.528,,,,,95.386
GMB,GAMBIA,73.337,,,,,71.543,,,,,69.677,,,,,67.745,,,,,65.75,,,,,63.697,,,,,61.594,,,,,59.418,,,,,56.656,,,,,53.121,,,,,48.82,,,,,43.811,,,,,38.312,,,,,33.019,,,,,28.414,,,,,24.426,,,,,19.496,,,,,14.533,,,,,12.129,,,,,11.163,,,,,10.265
GNB,GUINEA-BISSAU,63.092,,,,,61.038,,,,,58.945,,,,,56.818,,,,,54.666,,,,,52.351,,,,,49.66,,,,,46.607,,,,,43.22,,,,,39.545,,,,,35.851,,,,,32.315,,,,,28.131,,,,,22.431,,,,,17.605,,,,,15.95,,,,,15.132,,,,,14.349,,,,,13.6,,,,,11.688,,,,,10.014
GNQ,EQUATORIAL GUINEA,53.346,,,,,51.321,,,,,49.291,,,,,47.264,,,,,45.245,,,,,43.242,,,,,41.511,,,,,40.213,,,,,39.337,,,,,38.875,,,,,38.806,,,,,38.834,,,,,34.745,,,,,29.94,,,,,27.872,,,,,27.41,,,,,26.954,,,,,26.502,,,,,25.537,,,,,20.355,,,,,15.463
GRC,GREECE,74.576,,,,,72.937,,,,,71.234,,,,,69.468,,,,,67.644,,,,,65.763,,,,,63.959,,,,,62.438,,,,,61.219,,,,,60.316,,,,,59.736,,,,,59.287,,,,,58.843,,,,,58.441,,,,,57.734,,,,,55.307,,,,,52.504,,,,,47.529,,,,,42.891,,,,,40.052,,,,,37.341
GRD,GRENADA,54.856,,,,,52.766,,,,,50.666,,,,,48.564,,,,,46.466,,,,,44.381,,,,,42.369,,,,,40.513,,,,,38.813,,,,,37.266,,,,,35.871,,,,,34.548,,,,,33.428,,,,,33.183,,,,,32.921,,,,,32.565,,,,,32.212,,,,,31.274,,,,,30.332,,,,,29.405,,,,,28.495
GRL,GREENLAND,91.571,,,,,90.963,,,,,90.316,,,,,89.628,,,,,88.867,,,,,87.982,,,,,86.953,,,,,85.761,,,,,84.383,,,,,82.858,,,,,81.6,,,,,80.861,,,,,79.698,,,,,77.961,,,,,76.121,,,,,74.389,,,,,72.744,,,,,66.05,,,,,58.534,,,,,53.801,,,,,49.0
GTM,GUATEMALA,68.519,,,,,66.241,,,,,63.885,,,,,61.46,,,,,58.977,,,,,56.452,,,,,53.979,,,,,51.6,,,,,49.328,,,,,47.172,,,,,45.127,,,,,43.11,,,,,41.117,,,,,39.152,,,,,37.401,,,,,36.718,,,,,35.545,,,,,33.989,,,,,31.121,,,,,27.992,,,,,25.064
GUF,FRENCH GUIANA,84.83,,,,,83.847,,,,,82.814,,,,,81.729,,,,,80.591,,,,,79.401,,,,,78.183,,,,,77.107,,,,,76.221,,,,,75.541,,,,,75.082,,,,,74.796,,,,,74.517,,,,,72.651,,,,,70.759,,,,,69.121,,,,,67.433,,,,,65.745,,,,,63.327,,,,,58.573,,,,,53.656
GUM,GUAM,95.624,,,,,95.321,,,,,94.998,,,,,94.655,,,,,94.289,,,,,93.909,,,,,93.585,,,,,93.337,,,,,93.174,,,,,93.103,,,,,93.103,,,,,92.055,,,,,90.796,,,,,92.339,,,,,93.753,,,,,83.632,,,,,61.92,,,,,55.548,,,,,50.147,,,,,45.665,,,,,41.3
GUY,GUYANA,40.447,,,,,38.476,,,,,36.542,,,,,34.651,,,,,32.807,,,,,31.033,,,,,29.656,,,,,28.756,,,,,28.311,,,,,28.308,,,,,28.694,,,,,29.137,,,,,29.583,,,,,30.033,,,,,30.488,,,,,29.967,,,,,29.425,,,,,29.209,,,,,29.009,,,,,28.521,,,,,28.023
HKG,HONG KONG,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,99.517,,,,,92.92,,,,,91.478,,,,,89.695,,,,,87.729,,,,,86.422,,,,,85.2,,,,,85.2,,,,,85.2
HND,HONDURAS,71.182,,,,,69.067,,,,,66.869,,,,,64.595,,,,,62.253,,,,,59.796,,,,,57.191,,,,,54.447,,,,,51.577,,,,,48.649,,,,,45.458,,,,,42.941,,,,,40.46,,,,,37.735,,,,,34.87,,,,,32.11,,,,,28.902,,,,,25.704,,,,,22.747,,,,,20.038,,,,,17.578
HRV,CROATIA (LOCAL NAME: HRVATSKA),72.513,,,,,70.682,,,,,68.781,,,,,66.816,,,,,64.79,,,,,62.709,,,,,60.703,,,,,58.973,,,,,57.537,,,,,56.406,,,,,55.587,,,,,54.892,,,,,54.039,,,,,52.291,,,,,50.061,,,,,45.126,,,,,40.196,,,,,34.977,,,,,30.154,,,,,26.032,,,,,22.295
HTI,HAITI,79.228,,,,,77.192,,,,,75.019,,,,,72.713,,,,,70.278,,,,,67.592,,,,,63.786,,,,,58.603,,,,,51.99,,,,,44.082,,,,,35.6,,,,,32.59,,,,,28.51,,,,,23.261,,,,,20.541,,,,,20.404,,,,,19.762,,,,,17.58,,,,,15.593,,,,,13.792,,,,,12.169
HUN,HUNGARY,81.911,,,,,80.724,,,,,79.479,,,,,78.175,,,,,76.794,,,,,75.213,,,,,73.395,,,,,71.319,,,,,68.965,,,,,66.365,,,,,64.575,,,,,65.209,,,,,65.838,,,,,65.095,,,,,64.191,,,,,62.231,,,,,60.112,,,,,58.022,,,,,55.911,,,,,54.435,,,,,53.023
IDN,INDONESIA,72.079,,,,,69.972,,,,,67.777,,,,,65.5,,,,,63.084,,,,,60.325,,,,,57.207,,,,,53.733,,,,,49.924,,,,,45.937,,,,,42.002,,,,,35.554,,,,,30.584,,,,,26.089,,,,,22.104,,,,,19.317,,,,,17.071,,,,,15.789,,,,,14.586,,,,,13.455,,,,,12.4
IMN,ISLE OF MAN,59.252,,,,,57.337,,,,,55.399,,,,,53.604,,,,,52.202,,,,,51.197,,,,,50.594,,,,,50.392,,,,,50.592,,,,,51.194,,,,,51.823,,,,,51.783,,,,,51.746,,,,,51.765,,,,,51.784,,,,,52.403,,,,,55.831,,,,,56.305,,,,,55.123,,,,,54.028,,,,,52.93
IND,INDIA,51.736,,,,,48.686,,,,,45.646,,,,,42.637,,,,,39.765,,,,,37.163,,,,,34.829,,,,,32.755,,,,,30.93,,,,,29.235,,,,,27.667,,,,,26.607,,,,,25.547,,,,,24.348,,,,,23.098,,,,,21.332,,,,,19.76,,,,,18.785,,,,,17.924,,,,,17.582,,,,,17.042
IRL,IRELAND,75.443,,,,,73.833,,,,,72.156,,,,,70.415,,,,,68.612,,,,,66.802,,,,,65.071,,,,,63.433,,,,,61.898,,,,,60.477,,,,,59.146,,,,,57.92,,,,,56.906,,,,,56.275,,,,,55.333,,,,,53.634,,,,,51.722,,,,,48.709,,,,,45.822,,,,,43.708,,,,,40.088
IRN,IRAN (ISLAMIC REPUBLIC OF),78.226,,,,,76.942,,,,,75.607,,,,,74.219,,,,,72.853,,,,,71.628,,,,,70.559,,,,,69.659,,,,,68.938,,,,,67.558,,,,,64.042,,,,,60.236,,,,,56.33,,,,,53.395,,,,,49.693,,,,,45.747,,,,,41.212,,,,,37.068,,,,,33.735,,,,,30.554,,,,,27.549
IRQ,IRAQ,74.6,,,,,73.16,,,,,71.668,,,,,70.128,,,,,68.594,,,,,67.415,,,,,66.67,,,,,66.375,,,,,66.536,,,,,67.042,,,,,67.83,,,,,68.78,,,,,69.706,,,,,68.767,,,,,65.521,,,,,61.379,,,,,56.154,,,,,50.651,,,,,42.899,,,,,37.631,,,,,35.122
ISL,ICELAND,96.525,,,,,96.269,,,,,95.995,,,,,95.701,,,,,95.383,,,,,95.022,,,,,94.614,,,,,94.15,,,,,93.624,,,,,93.037,,,,,92.401,,,,,91.63,,,,,90.75,,,,,89.57,,,,,88.26,,,,,86.669,,,,,84.9,,,,,82.72,,,,,80.3,,,,,76.76,,,,,72.8
ISR,ISRAEL,94.14,,,,,93.878,,,,,93.605,,,,,93.322,,,,,93.027,,,,,92.729,,,,,92.428,,,,,92.126,,,,,91.823,,,,,91.518,,,,,91.203,,,,,90.866,,,,,90.359,,,,,89.828,,,,,88.583,,,,,86.643,,,,,84.195,,,,,80.94,,,,,76.848,,,,,71.0,,,,,71.0
ITA,ITALY,78.657,,,,,77.366,,,,,76.021,,,,,74.622,,,,,73.17,,,,,71.667,,,,,70.275,,,,,69.12,,,,,68.22,,,,,67.588,,,,,67.222,,,,,66.922,,,,,66.726,,,,,66.826,,,,,66.64,,,,,65.643,,,,,64.272,,,,,61.843,,,,,59.361,,,,,56.855,,,,,54.104
JAM,JAMAICA,65.467,,,,,63.326,,,,,61.132,,,,,58.892,,,,,56.634,,,,,54.73,,,,,53.316,,,,,52.402,,,,,51.992,,,,,52.027,,,,,51.814,,,,,50.615,,,,,49.444,,,,,48.424,,,,,46.739,,,,,44.013,,,,,41.324,,,,,37.499,,,,,33.769,,,,,28.736,,,,,24.116
JOR,JORDAN,89.028,,,,,88.434,,,,,87.813,,,,,87.162,,,,,86.456,,,,,85.645,,,,,84.72,,,,,83.667,,,,,82.473,,,,,81.177,,,,,79.808,,,,,78.365,,,,,72.229,,,,,66.259,,,,,59.939,,,,,57.65,,,,,55.971,,,,,54.262,,,,,50.879,,,,,43.233,,,,,37.0
JPN,JAPAN,97.605,,,,,97.453,,,,,97.292,,,,,97.12,,,,,96.844,,,,,96.269,,,,,95.251,,,,,93.512,,,,,90.541,,,,,85.978,,,,,78.649,,,,,78.016,,,,,77.339,,,,,76.712,,,,,76.175,,,,,75.716,,,,,71.877,,,,,67.866,,,,,63.272,,,,,58.421,,,,,53.402
KAZ,KAZAKHSTAN,64.357,,,,,62.278,,,,,60.153,,,,,57.989,,,,,55.874,,,,,54.331,,,,,53.456,,,,,53.256,,,,,53.732,,,,,54.719,,,,,55.729,,,,,55.921,,,,,56.266,,,,,56.01,,,,,54.142,,,,,52.564,,,,,50.236,,,,,47.047,,,,,44.198,,,,,40.43,,,,,36.358
KEN,KENYA,45.726,,,,,42.459,,,,,39.256,,,,,36.144,,,,,33.17,,,,,30.427,,,,,27.918,,,,,25.637,,,,,23.571,,,,,21.675,,,,,19.892,,,,,18.263,,,,,16.748,,,,,16.079,,,,,15.583,,,,,12.914,,,,,10.295,,,,,8.605,,,,,7.362,,,,,6.419,,,,,5.59
KGZ,KYRGYZSTAN,51.617,,,,,48.77,,,,,45.931,,,,,43.118,,,,,40.418,,,,,38.268,,,,,36.714,,,,,35.732,,,,,35.304,,,,,35.29,,,,,35.298,,,,,36.349,,,,,37.777,,,,,38.377,,,,,38.627,,,,,38.186,,,,,37.466,,,,,35.851,,,,,34.181,,,,,30.587,,,,,26.481
KHM,CAMBODIA,37.62,,,,,34.515,,,,,31.537,,,,,28.703,,,,,26.042,,,,,23.823,,,,,22.08,,,,,20.759,,,,,19.814,,,,,19.174,,,,,18.586,,,,,17.311,,,,,15.546,,,,,13.931,,,,,8.972,,,,,4.41,,,,,15.97,,,,,10.83,,,,,10.285,,,,,10.242,,,,,10.2
KIR,KIRIBATI,56.793,,,,,54.81,,,,,52.811,,,,,50.803,,,,,48.793,,,,,46.945,,,,,45.5,,,,,44.455,,,,,43.807,,,,,43.551,,,,,42.958,,,,,36.409,,,,,34.987,,,,,33.541,,,,,32.284,,,,,29.606,,,,,24.088,,,,,19.625,,,,,16.29,,,,,13.426,,,,,11.0
KNA,SAINT KITTS AND NEVIS,44.583,,,,,42.596,,,,,40.632,,,,,38.698,,,,,36.799,,,,,34.94,,,,,33.353,,,,,32.362,,,,,31.94,,,,,32.078,,,,,32.778,,,,,33.715,,,,,34.609,,,,,35.243,,,,,35.882,,,,,35.027,,,,,34.141,,,,,30.855,,,,,27.644,,,,,27.018,,,,,26.518
KOR,"KOREA, REPUBLIC OF",89.614,,,,,89.025,,,,,88.408,,,,,87.76,,,,,87.082,,,,,86.322,,,,,85.393,,,,,84.272,,,,,82.933,,,,,81.345,,,,,79.621,,,,,78.239,,,,,73.844,,,,,64.876,,,,,56.72,,,,,48.033,,,,,40.704,,,,,32.351,,,,,27.71,,,,,24.392,,,,,21.354
KWT,KUWAIT,98.702,,,,,98.651,,,,,98.599,,,,,98.545,,,,,98.488,,,,,98.43,,,,,98.369,,,,,98.306,,,,,98.242,,,,,98.177,,,,,98.11,,,,,98.043,,,,,97.974,,,,,97.903,,,,,94.781,,,,,89.384,,,,,85.661,,,,,79.273,,,,,74.893,,,,,69.346,,,,,61.5
LAO,LAOS ,64.626,,,,,61.477,,,,,58.228,,,,,54.906,,,,,51.54,,,,,47.964,,,,,43.637,,,,,38.628,,,,,33.121,,,,,27.386,,,,,21.977,,,,,17.378,,,,,15.437,,,,,13.804,,,,,12.377,,,,,11.081,,,,,9.625,,,,,8.323,,,,,7.946,,,,,7.585,,,,,7.239
LBN,LEBANON,91.203,,,,,90.762,,,,,90.3,,,,,89.819,,,,,89.316,,,,,88.791,,,,,88.248,,,,,87.695,,,,,87.136,,,,,86.57,,,,,86.0,,,,,84.82,,,,,83.12,,,,,79.422,,,,,73.672,,,,,66.978,,,,,59.475,,,,,50.935,,,,,42.343,,,,,36.303,,,,,32.0
LBR,LIBERIA,66.083,,,,,63.754,,,,,61.359,,,,,58.908,,,,,56.419,,,,,54.026,,,,,51.784,,,,,49.707,,,,,47.801,,,,,46.051,,,,,44.331,,,,,42.624,,,,,40.935,,,,,39.267,,,,,35.167,,,,,30.382,,,,,26.025,,,,,22.108,,,,,18.632,,,,,15.592,,,,,12.97
LBY,LIBYA,85.057,,,,,84.216,,,,,83.338,,,,,82.42,,,,,81.463,,,,,80.466,,,,,79.43,,,,,78.423,,,,,77.563,,,,,76.864,,,,,76.338,,,,,75.994,,,,,75.723,,,,,75.45,,,,,70.094,,,,,62.785,,,,,49.671,,,,,33.666,,,,,27.323,,,,,23.208,,,,,19.547
LCA,SAINT LUCIA,14.895,,,,,13.983,,,,,13.119,,,,,12.3,,,,,11.713,,,,,11.894,,,,,12.908,,,,,14.934,,,,,18.326,,,,,23.085,,,,,27.957,,,,,29.6,,,,,29.349,,,,,27.923,,,,,26.54,,,,,25.2,,,,,23.907,,,,,22.66,,,,,21.46,,,,,20.306,,,,,19.199
LIE,LIECHTENSTEIN,20.327,,,,,18.98,,,,,17.702,,,,,16.493,,,,,15.468,,,,,14.777,,,,,14.387,,,,,14.279,,,,,14.448,,,,,14.731,,,,,15.13,,,,,16.482,,,,,16.928,,,,,17.619,,,,,18.274,,,,,18.324,,,,,18.453,,,,,19.471,,,,,20.437,,,,,20.356,,,,,19.881
LKA,SRI LANKA,30.295,,,,,27.501,,,,,24.873,,,,,22.419,,,,,20.142,,,,,18.042,,,,,16.441,,,,,15.468,,,,,15.041,,,,,15.127,,,,,15.709,,,,,16.44,,,,,17.199,,,,,17.984,,,,,18.779,,,,,19.483,,,,,19.514,,,,,17.626,,,,,16.431,,,,,15.647,,,,,15.327
LSO,LESOTHO,54.407,,,,,51.029,,,,,47.642,,,,,44.277,,,,,40.963,,,,,37.612,,,,,34.096,,,,,30.481,,,,,26.847,,,,,23.276,,,,,19.972,,,,,16.955,,,,,13.967,,,,,11.752,,,,,11.45,,,,,10.822,,,,,8.608,,,,,6.342,,,,,3.415,,,,,1.898,,,,,1.35
LTU,LITHUANIA,76.657,,,,,75.271,,,,,73.832,,,,,72.339,,,,,70.826,,,,,69.499,,,,,68.409,,,,,67.572,,,,,67.001,,,,,66.635,,,,,66.986,,,,,67.285,,,,,67.583,,,,,65.038,,,,,61.158,,,,,55.685,,,,,49.555,,,,,44.45,,,,,39.46,,,,,34.052,,,,,28.794
LUX,LUXEMBURG,91.672,,,,,91.076,,,,,90.442,,,,,89.768,,,,,89.047,,,,,88.242,,,,,87.337,,,,,86.323,,,,,85.186,,,,,83.928,,,,,83.752,,,,,82.893,,,,,80.947,,,,,80.669,,,,,80.042,,,,,77.297,,,,,74.374,,,,,71.958,,,,,69.556,,,,,68.41,,,,,67.242
LVA,LATVIA,75.807,,,,,74.432,,,,,73.006,,,,,71.532,,,,,70.056,,,,,68.888,,,,,68.099,,,,,67.706,,,,,67.716,,,,,68.0,,,,,68.067,,,,,68.75,,,,,69.25,,,,,68.56,,,,,67.095,,,,,64.157,,,,,60.713,,,,,56.832,,,,,52.867,,,,,49.51,,,,,46.425
MAC,MACAU,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,99.91,,,,,99.763,,,,,99.377,,,,,98.519,,,,,97.891,,,,,97.032,,,,,96.177,,,,,95.289,,,,,96.169,,,,,96.89
MAR,MOROCCO,72.525,,,,,70.644,,,,,68.69,,,,,66.667,,,,,64.581,,,,,62.469,,,,,60.436,,,,,58.501,,,,,56.676,,,,,54.97,,,,,53.335,,,,,51.692,,,,,48.391,,,,,44.779,,,,,41.21,,,,,37.714,,,,,34.477,,,,,31.862,,,,,29.357,,,,,27.74,,,,,26.184
MCO,MONACO,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
MDA,"MOLDOVA, REPUBLIC OF",69.573,,,,,67.247,,,,,64.834,,,,,62.342,,,,,59.773,,,,,56.972,,,,,53.888,,,,,50.534,,,,,46.936,,,,,43.163,,,,,44.589,,,,,46.294,,,,,46.762,,,,,44.176,,,,,40.387,,,,,36.222,,,,,32.068,,,,,27.566,,,,,23.424,,,,,19.733,,,,,16.499
MDG,MADAGASCAR,57.206,,,,,54.11,,,,,50.982,,,,,47.846,,,,,44.722,,,,,41.553,,,,,38.342,,,,,35.122,,,,,31.93,,,,,28.814,,,,,27.121,,,,,25.796,,,,,23.566,,,,,20.933,,,,,18.524,,,,,16.334,,,,,14.1,,,,,12.379,,,,,10.642,,,,,9.122,,,,,7.8
MDV,MALDIVES,65.576,,,,,63.438,,,,,61.245,,,,,59.007,,,,,56.73,,,,,54.028,,,,,50.307,,,,,45.592,,,,,39.994,,,,,33.75,,,,,27.706,,,,,25.638,,,,,25.84,,,,,25.491,,,,,22.25,,,,,17.304,,,,,11.893,,,,,11.458,,,,,11.173,,,,,10.889,,,,,10.612
MEX,MEXICO,86.122,,,,,85.322,,,,,84.485,,,,,83.609,,,,,82.679,,,,,81.646,,,,,80.5,,,,,79.229,,,,,77.825,,,,,76.308,,,,,74.722,,,,,73.368,,,,,71.419,,,,,68.95,,,,,66.339,,,,,62.759,,,,,59.021,,,,,54.931,,,,,50.753,,,,,46.68,,,,,42.655
MHL,MARSHALL ISLANDS,82.416,,,,,81.254,,,,,80.033,,,,,78.753,,,,,77.415,,,,,76.017,,,,,74.564,,,,,73.067,,,,,71.532,,,,,69.962,,,,,68.361,,,,,66.727,,,,,65.054,,,,,61.945,,,,,58.298,,,,,60.632,,,,,53.492,,,,,42.663,,,,,35.584,,,,,29.081,,,,,23.337
MKD,MACEDONIA,71.758,,,,,70.022,,,,,68.227,,,,,66.375,,,,,64.472,,,,,62.541,,,,,60.944,,,,,59.822,,,,,59.189,,,,,59.055,,,,,59.361,,,,,59.725,,,,,57.789,,,,,55.696,,,,,53.469,,,,,50.569,,,,,47.079,,,,,40.355,,,,,34.02,,,,,28.429,,,,,23.431
MLI,MALI,59.19,,,,,56.22,,,,,53.204,,,,,50.165,,,,,47.11,,,,,43.972,,,,,40.765,,,,,37.521,,,,,34.277,,,,,31.094,,,,,28.078,,,,,25.519,,,,,23.322,,,,,21.013,,,,,18.484,,,,,16.244,,,,,14.33,,,,,12.608,,,,,11.066,,,,,9.692,,,,,8.472
MLT,MALTA,97.56,,,,,97.368,,,,,97.161,,,,,96.938,,,,,96.698,,,,,96.406,,,,,95.995,,,,,95.432,,,,,94.671,,,,,93.645,,,,,92.368,,,,,90.946,,,,,90.381,,,,,89.828,,,,,89.785,,,,,89.742,,,,,89.699,,,,,89.825,,,,,90.129,,,,,89.837,,,,,88.858
MMR,MYANMAR (Burma) ,56.774,,,,,53.614,,,,,50.425,,,,,47.232,,,,,44.062,,,,,40.939,,,,,37.888,,,,,34.93,,,,,32.083,,,,,29.385,,,,,27.215,,,,,25.642,,,,,24.61,,,,,24.08,,,,,23.973,,,,,23.922,,,,,22.83,,,,,20.971,,,,,19.226,,,,,17.616,,,,,16.158
MNE,MONTENEGRO,74.265,,,,,72.751,,,,,71.182,,,,,69.561,,,,,67.962,,,,,66.502,,,,,65.198,,,,,64.059,,,,,63.096,,,,,62.2,,,,,58.544,,,,,53.365,,,,,48.037,,,,,42.325,,,,,36.813,,,,,31.622,,,,,26.853,,,,,22.566,,,,,18.788,,,,,15.515,,,,,12.723
MNG,MONGOLIA,85.126,,,,,84.055,,,,,82.922,,,,,81.726,,,,,80.281,,,,,78.255,,,,,75.543,,,,,72.023,,,,,67.567,,,,,62.494,,,,,57.133,,,,,56.805,,,,,57.033,,,,,55.04,,,,,52.083,,,,,48.656,,,,,45.052,,,,,42.114,,,,,35.679,,,,,26.619,,,,,20.0
MNP,NORTHERN MARIANA ISLANDS,94.989,,,,,94.627,,,,,94.241,,,,,93.829,,,,,93.389,,,,,92.921,,,,,92.423,,,,,91.899,,,,,91.347,,,,,90.769,,,,,90.162,,,,,89.557,,,,,89.731,,,,,88.381,,,,,86.784,,,,,80.554,,,,,70.062,,,,,58.759,,,,,51.219,,,,,45.835,,,,,42.002
MOZ,MOZAMBIQUE,50.477,,,,,47.443,,,,,44.428,,,,,41.453,,,,,38.555,,,,,36.02,,,,,33.925,,,,,32.246,,,,,30.958,,,,,29.999,,,,,29.098,,,,,26.221,,,,,21.096,,,,,16.746,,,,,13.111,,,,,8.695,,,,,5.78,,,,,4.608,,,,,3.667,,,,,2.954,,,,,2.377
MRT,MAURITANIA,60.436,,,,,57.817,,,,,55.154,,,,,52.46,,,,,49.752,,,,,47.046,,,,,44.566,,,,,42.63,,,,,41.23,,,,,40.353,,,,,39.989,,,,,39.83,,,,,39.671,,,,,34.994,,,,,27.371,,,,,20.569,,,,,14.564,,,,,10.09,,,,,6.88,,,,,4.638,,,,,3.102
MSR,MONTSERRAT,23.823,,,,,22.261,,,,,20.774,,,,,19.361,,,,,18.022,,,,,16.773,,,,,15.706,,,,,14.818,,,,,14.088,,,,,13.501,,,,,11.016,,,,,12.847,,,,,12.549,,,,,12.549,,,,,12.549,,,,,11.984,,,,,11.425,,,,,13.405,,,,,15.82,,,,,15.8,,,,,15.8
MTQ,MARTINIQUE,92.256,,,,,91.746,,,,,91.206,,,,,90.633,,,,,90.028,,,,,89.474,,,,,89.115,,,,,88.971,,,,,89.047,,,,,89.342,,,,,89.713,,,,,88.423,,,,,86.283,,,,,83.82,,,,,79.612,,,,,71.199,,,,,61.018,,,,,49.953,,,,,40.089,,,,,33.63,,,,,32.89
MUS,MAURITIUS,53.216,,,,,51.227,,,,,49.234,,,,,47.243,,,,,45.261,,,,,43.605,,,,,42.478,,,,,41.871,,,,,41.779,,,,,42.18,,,,,42.67,,,,,43.284,,,,,43.9,,,,,42.325,,,,,42.351,,,,,43.443,,,,,42.032,,,,,36.999,,,,,33.177,,,,,30.922,,,,,29.327
MWI,MALAWI,31.517,,,,,28.581,,,,,25.816,,,,,23.232,,,,,20.848,,,,,18.901,,,,,17.409,,,,,16.306,,,,,15.543,,,,,15.054,,,,,14.61,,,,,13.263,,,,,11.56,,,,,10.163,,,,,9.05,,,,,7.652,,,,,6.053,,,,,4.908,,,,,4.39,,,,,3.924,,,,,3.506
MYS,MALAYSIA,85.996,,,,,84.874,,,,,83.679,,,,,82.409,,,,,81.063,,,,,79.64,,,,,77.895,,,,,75.396,,,,,72.006,,,,,67.575,,,,,61.977,,,,,55.688,,,,,49.794,,,,,45.893,,,,,42.044,,,,,37.652,,,,,33.454,,,,,29.913,,,,,26.598,,,,,23.417,,,,,20.361
MYT,MAYOTTE,61.326,,,,,59.447,,,,,57.54,,,,,55.611,,,,,53.682,,,,,52.091,,,,,50.953,,,,,50.273,,,,,50.051,,,,,50.232,,,,,47.731,,,,,41.458,,,,,36.057,,,,,32.999,,,,,30.08,,,,,27.544,,,,,25.146,,,,,22.033,,,,,16.333,,,,,11.881,,,,,8.52
NAM,NAMIBIA,61.515,,,,,58.614,,,,,55.652,,,,,52.65,,,,,49.628,,,,,46.609,,,,,43.619,,,,,40.682,,,,,37.818,,,,,35.043,,,,,32.373,,,,,29.813,,,,,27.656,,,,,26.366,,,,,25.066,,,,,23.651,,,,,22.292,,,,,20.035,,,,,17.909,,,,,15.526,,,,,13.408
NCL,NEW CALEDONIA,69.51,,,,,67.918,,,,,66.282,,,,,64.606,,,,,62.92,,,,,61.696,,,,,61.112,,,,,61.18,,,,,61.899,,,,,63.176,,,,,61.78,,,,,60.09,,,,,59.537,,,,,58.834,,,,,57.426,,,,,55.165,,,,,51.232,,,,,44.646,,,,,37.36,,,,,30.602,,,,,24.589
