Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
CRI,COSTA RICA,8.37,,8.4,8.4,8.4,8.3,8.2,8.1,8.0,7.9,,,,,8.0,,,,,,,,,,6.9,,,,,,,,,,5.4
CUB,CUBA,10.2,,10.2,10.2,10.2,10.1,10.1,10.0,10.0,9.9,,,,,9.6,,,,,,,,,,8.5,,,,,,,,,,6.5
CYP,CYPRUS,11.62,,9.8,9.8,9.8,9.6,9.4,9.3,9.1,9.0,,,,,9.7,,,,,,,,,,8.7,,,,,,,,,,6.7
CZE,CZECH REPUBLIC,12.32,,12.3,12.3,12.3,12.5,12.6,12.8,12.9,13.1,,,,,11.9,,,,,,,,,,10.9,,,,,,,,,,10.3
DEU,GERMANY,12.95,,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,,,,,10.5,,,,,,,,,,8.0,,,,,,,,,,5.7
DJI,DJIBOUTI,3.84,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DOMINICA,7.68,,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,,,,,7.7,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,12.1,,11.4,11.4,11.4,11.3,11.3,11.2,11.2,11.1,,,,,10.5,,,,,,,,,,9.6,,,,,,,,,,9.0
DOM,DOMINICAN REPUBLIC,7.46,,7.2,7.2,7.2,7.1,7.0,6.9,6.8,6.7,,,,,6.1,,,,,,,,,,5.0,,,,,,,,,,3.9
DZA,ALGERIA,7.61,,7.6,7.6,7.6,7.5,7.3,7.2,7.0,6.9,,,,,5.9,,,,,,,,,,3.6,,,,,,,,,,1.8
ECU,ECUADOR,7.59,,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.3,,,,,7.0,,,,,,,,,,6.6,,,,,,,,,,5.4
EGY,EGYPT,6.37,,6.4,6.4,6.4,6.2,6.0,5.9,5.7,5.5,,,,,4.7,,,,,,,,,,3.5,,,,,,,,,,2.1
ERI,ERITREA,3.41,,3.4,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,SPAIN,9.58,,10.4,10.4,10.4,10.2,10.1,10.0,9.8,9.7,,,,,9.1,,,,,,,,,,6.0,,,,,,,,,,5.0
EST,ESTONIA,12.01,,12.0,12.0,12.0,12.0,12.0,11.9,11.9,11.9,,,,,11.7,,,,,,,,,,9.3,,,,,,,,,,8.4
ETH,ETHIOPIA,2.41,,2.2,2.2,2.2,2.0,1.9,1.8,1.6,1.5,,,,,1.5,,,,,,,,,,,,,,,,,,,,
FIN,FINLAND,10.29,,10.3,10.3,10.3,10.2,10.2,10.2,10.1,10.1,,,,,8.2,,,,,,,,,,8.2,,,,,,,,,,8.3
FJI,FIJI,9.91,,10.7,10.7,10.7,10.5,10.4,10.2,10.1,9.9,,,,,9.9,,,,,,,,,,8.3,,,,,,,,,,5.9
FRA,FRANCE,11.13,,10.6,10.6,10.6,10.4,10.3,10.2,10.0,9.9,,,,,9.3,,,,,,,,,,7.1,,,,,,,,,,6.0
FSM,"MICRONESIA, FEDERATED STATES OF",8.82,,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,,,,,8.8,,,,,,,,,,,,,,,,,,,,
GAB,GABON,7.43,,7.5,7.5,7.5,7.4,7.3,7.1,7.0,6.9,,,,,6.1,,,,,,,,,,4.3,,,,,,,,,,2.3
GBR,UNITED KINGDOM,12.31,,9.4,9.4,9.4,9.3,9.2,9.2,9.1,9.0,,,,,8.6,,,,,,,,,,7.9,,,,,,,,,,7.5
GEO,GEORGIA,12.11,,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,GHANA,7.0,,7.0,7.0,7.0,6.9,6.8,6.7,6.6,6.5,,,,,6.3,,,,,,,,,,5.3,,,,,,,,,,3.6
GIN,GUINEA,1.58,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,GAMBIA,2.79,,2.8,2.8,2.8,2.7,2.6,2.5,2.4,2.3,,,,,2.0,,,,,,,,,,1.2,,,,,,,,,,0.7
GNB,GUINEA-BISSAU,2.26,,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,5.36,,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,,,,,5.4,,,,,,,,,,,,,,,,,,,,
GRC,GREECE,10.16,,10.1,10.1,10.1,10.1,10.0,9.9,9.8,9.8,,,,,8.6,,,,,,,,,,7.9,,,,,,,,,,6.6
