Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
ESP,SPAIN,,,,35.75,,,32.65,,,33.73,,,,34.66,,,,,37.11,,,,,32.33,,,,,,,,,,34.49,,
EST,ESTONIA,,,32.69,32.16,31.59,32.0,31.25,33.76,33.63,36.0,35.78,36.81,36.9,37.0,,37.64,,,30.06,,39.5,,,,,22.97,,,,,,,,,,
ETH,ETHIOPIA,,,33.6,,,,,,29.83,,,,,30.0,,,,,39.96,,,,,,,,,,,,,32.42,,,,
FIN,FINLAND,,,,27.79,,,28.2,,,28.27,,,,26.88,,,,,23.47,,,,22.94,,,,22.19,,,,,,,,,
FJI,FIJI,,,,,42.83,,,,,,46.81,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,FRANCE,,,,,,,,,31.69,,,,,31.24,,,,,32.74,32.4,,,,,33.0,,,,,38.37,,,,,,
FSM,"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,,,61.1,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,,,,,,,41.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,,,38.04,,,38.07,,,37.63,,,,,35.97,,,,36.83,36.68,,,36.21,,,,,,,,,,,,,
GEO,GEORGIA,,41.35,41.58,42.1,41.73,41.34,39.37,41.11,41.05,39.78,40.37,40.31,41.04,41.09,41.06,37.26,41.88,37.13,,,,,,,,,,,,,,,,,,
GHA,GHANA,,,,,,,,42.76,,,,,,,,40.75,,,,,,38.13,,,35.99,35.35,,,,,,,,,,
GIN,GUINEA,,33.68,,,,,39.35,,,,40.3,,,,,,,,,44.87,,,46.84,,,,,,,,,,,,,
GMB,GAMBIA,,,,,,,,,,,47.28,,,,,50.23,,,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,,,,,,,,35.52,,,,,,,,,47.84,,,,,,,,,,,,,,,
GRC,GREECE,,,,34.74,,,33.96,,,33.72,,,,34.27,,,,,37.21,,,,,,,,,,,,,,,,,
GTM,GUATEMALA,,,52.35,,,,,55.89,,54.5,56.08,59.19,,54.28,,55.8,,,,,,,,,59.6,,58.26,,,,,,,,,
GUY,GUYANA,,,,,,,,,,,,,,,,44.54,,,,,51.55,,,,,,,,,,,,,,,
HKG,HONG KONG,,,,,,,,,,,,,,,,,,43.44,,,,,,,,,,,,,,,,,,
HND,HONDURAS,,,57.4,53.39,56.95,61.33,56.16,57.56,59.65,58.49,58.71,58.89,54.38,,55.36,57.43,52.73,55.72,55.49,55.01,53.47,51.83,51.85,57.36,59.49,,,55.09,,,,,,,,
HRV,CROATIA (LOCAL NAME: HRVATSKA),,,,,,33.65,,,,28.99,,,31.1,31.33,27.71,26.82,,,,,,,,,,22.78,,,,,,,,,,
HTI,HAITI,,,,,,,,,,,,,59.21,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,28.94,29.37,,27.53,31.18,28.3,30.19,30.04,30.93,26.82,26.92,27.32,27.77,24.93,,,,,27.94,,,,25.05,,20.96,,,,,,,,,
IDN,INDONESIA,,,38.14075554,35.57,,34.11,,,34.01,,,29.74,,,28.99,,,31.33,,,29.31,,,29.19,,,29.27,,,30.47,,,,,,
IND,INDIA,,,,33.9,33.9,,,,33.38,,,,,,,,,,,30.82,,,,,,31.88,,,,,31.11,,,,,35.09
IRL,IRELAND,,,,32.06,,,31.73,,,33.79,,,,34.28,,,,35.62,37.04,36.92,,,,,,,36.49,,,,,,,,,
IRN,IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,38.28,,,,,,,44.1,,,,43.0,,,,43.6,,,,47.42,,,,,,,,
IRQ,IRAQ,,29.54,,,,,30.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,ICELAND,,,,26.3,,,29.32,,,27.81,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,ISRAEL,,,,42.78,,,41.18,,41.86,,,,39.2,,,,38.1,,,,,35.5,,,,,,36.49,,,,,,,36.33,
