Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Number of Disasters,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,6.0,6.0,4.0,2.0,7.0,9.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,8.0,4.0,9.0,13.0,5.0,5.0,5.0,7.0,6.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,8.0,6.0,4.0,2.0,9.0,9.0,13.0,3.0,3.0,15.0,32.0,77.0,76.0,34.0,68.0,323.0,170.0,782.0,292.0,924.0,1822.0,648.0,1062.0,1689.0,2805.0,0.0
