Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007
MEX,MEXICO,3.128319,,3.06,,3.05,,,2.87
MKD,MACEDONIA,2.499137,,2.56,,2.77,,,2.43
MLI,MALI,2.495227,,,,2.27,,,2.29
MLT,MALTA,3.106275,,3.16,,2.82,,,
MMR,MYANMAR (Burma) ,2.249909,,2.37,,2.33,,,1.86
MNE,MONTENEGRO,2.87552,,2.45,,2.43,,,
MNG,MONGOLIA,2.355608,,2.25,,2.25,,,2.08
MOZ,MOZAMBIQUE,2.228925,,,,2.29,,,2.29
MRT,MAURITANIA,2.228909,,2.4,,,,,2.63
MUS,MAURITIUS,2.514919,,2.82,,2.72,,,2.13
MWI,MALAWI,2.813029,,2.81,,,,,2.42
MYS,MALAYSIA,3.590425,,3.49,,3.44,,,3.48
NAM,NAMIBIA,2.657883,,2.65,,2.02,,,2.16
NER,NIGER,2.393399,,2.69,,2.54,,,1.97
NGA,NIGERIA,2.808778,,2.45,,2.59,,,2.4
NIC,NICARAGUA,2.653283,,,,2.54,,,2.21
NLD,NETHERLANDS,4.047782,,4.02,,4.07,,,4.18
NOR,NORWAY,3.958243,,3.68,,3.93,,,3.81
NPL,NEPAL,2.587906,,2.04,,2.2,,,2.14
NZL,NEW ZEALAND,3.643892,,3.42,,3.65,,,3.75
OMN,OMAN,2.995026,,2.89,,2.84,,,2.92
PAK,PAKISTAN,2.825426,,2.83,,2.53,,,2.62
PAN,PANAMA,3.193734,,2.93,,3.02,,,2.89
PER,PERU,2.840685,,2.94,,2.8,,,2.77
PHL,PHILIPPINES,3.003844,,3.02,,3.14,,,2.69
PNG,PAPUA NEW GUINEA,2.430098,,2.38,,2.41,,,2.38
POL,POLAND,3.493829,,3.43,,3.44,,,3.04
PRT,PORTUGAL,3.560284,,3.5,,3.34,,,3.38
PRY,PARAGUAY,2.779734,,2.48,,2.75,,,2.57
QAT,QATAR,3.516657,,3.32,,2.95,,,2.98
ROU,ROMANIA,3.261155,,3.0,,2.84,,,2.91
RUS,RUSSIA,2.694479,,2.58,,2.61,,,2.37
