Indicator name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Number of Disasters,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0
Number of reports in ReliefWeb,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,62.0,247.0,146.0,290.0,324.0,339.0,445.0,401.0,385.0,692.0,1349.0,1444.0,1251.0,1467.0,1050.0,2319.0,1701.0,1004.0,0.0
