Country code,Country name,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,564.428,563.433,563.022,562.328,560.167,555.728,548.567,538.972,527.75,516.078,504.767,494.467,484.867,474.706,462.194,446.256,426.111,402.767,379.083,359.017,345.267,339.067,339.317,343.528,348.022,350.156,349.061,345.578,340.8,336.483,333.867,333.211,333.922,335.367,336.606,336.972,336.25,334.661,332.494,330.211,328.139,326.244,324.361,322.494,320.622,318.667,316.828,314.983,312.367,307.972,301.156,291.861,280.55,268.011,255.183,242.928,232.017,223.05,216.472,212.572,211.478
AFG,AFGHANISTAN,43.549,42.491,41.455,40.407,39.306,38.125,36.833,35.449,34.049,32.737,31.584,30.651,29.899,29.17,28.24,26.969,25.28,23.272,21.181,19.341,17.99,17.199,16.889,16.966,17.271,17.68,18.179,18.773,19.375,19.88,20.213,20.33,20.242,19.989,19.64,19.249,18.822,18.351,17.857,17.365,16.893,16.454,16.05,15.676,15.32,14.975,14.641,14.322,14.019,13.731,13.456,13.195,12.947,12.713,12.491,12.283,12.087,11.904,11.733,11.574,11.426
AGO,ANGOLA,15.681,15.181,14.69,14.208,13.734,13.271,12.815,12.37,11.941,11.539,11.169,10.837,10.538,10.26,9.988,9.71,9.42,9.122,8.826,8.545,8.289,8.062,7.859,7.669,7.476,7.27,7.046,6.81,6.569,6.338,6.126,5.935,5.763,5.606,5.461,5.324,5.194,5.072,4.958,4.852,4.755,4.666,4.584,4.508,4.433,4.359,4.283,4.207,4.131,4.056,3.983,3.913,3.844,3.777,3.711,3.644,3.578,3.512,3.447,3.385,3.327
AIA,ANGUILLA,151.297,149.132,146.868,144.451,141.791,138.868,135.626,132.121,128.495,124.956,121.659,118.648,115.879,113.242,110.582,107.769,104.835,101.824,98.67,95.253,91.582,87.538,83.253,79.099,75.637,73.209,71.989,71.835,72.385,73.099,73.604,73.791,73.758,73.527,73.198,72.857,72.484,72.022,71.495,70.923,70.33,69.714,69.088,68.44,67.813,67.187,66.56,65.945,65.363,64.846,64.429,64.077,63.791,63.484,63.11,62.604,61.923,60.978,59.758,58.209,56.275
ALB,ALBANIA,109.578,109.614,109.803,110.137,110.602,111.177,111.876,112.682,113.524,114.307,114.963,115.415,115.676,115.88,116.218,116.803,117.725,118.87,119.899,120.348,119.9,118.422,116.058,113.104,109.998,107.066,104.401,101.932,99.621,97.375,95.129,92.896,90.717,88.584,86.484,84.409,82.354,80.32,78.312,76.339,74.404,72.511,70.654,68.825,67.009,65.198,63.389,61.588,59.802,58.04,56.311,54.622,52.977,51.381,49.838,48.356,46.943,45.61,44.372,43.244,42.246
AND,ANDORRA,166.468,168.075,170.874,173.701,174.951,173.553,168.932,161.63,153.075,145.299,139.741,136.932,136.323,136.944,137.338,136.44,133.989,130.348,125.863,121.098,116.476,112.071,107.759,103.543,99.391,95.293,91.248,87.312,83.573,80.132,77.058,74.4,72.107,70.019,67.908,65.611,63.064,60.323,57.462,54.615,51.878,49.276,46.769,44.348,41.979,39.639,37.329,35.064,32.855,30.718,28.662,26.697,24.821,23.036,21.34,19.733,18.218,16.801,15.491,14.299,13.241
ARE,UNITED ARAB EMIRATES,100.975,92.324,81.323,69.346,58.321,49.628,43.764,40.302,38.564,37.465,36.2,34.613,32.937,31.208,29.555,28.066,26.7,25.373,24.079,22.823,21.609,20.42,19.248,18.12,17.068,16.115,15.279,14.538,13.825,13.046,12.139,11.078,9.895,8.656,7.458,6.373,5.417,4.577,3.857,3.256,2.769,2.406,2.162,2.002,1.877,1.75,1.608,1.454,1.301,1.169,1.072,1.012,0.981,0.967,0.955,0.935,0.904,0.865,0.828,0.809,0.832
ARG,ARGENTINA,14.521,14.395,14.27,14.146,14.023,13.9,13.778,13.656,13.533,13.406,13.273,13.133,12.987,12.837,12.683,12.528,12.372,12.215,12.056,11.896,11.734,11.57,11.406,11.241,11.076,10.912,10.749,10.587,10.426,10.268,10.114,9.963,9.816,9.671,9.525,9.377,9.224,9.069,8.914,8.765,8.624,8.493,8.369,8.251,8.135,8.018,7.9,7.78,7.659,7.538,7.418,7.297,7.177,7.056,6.933,6.809,6.683,6.555,6.426,6.296,6.168
ARM,ARMENIA,99.446,99.602,99.916,100.332,100.769,101.172,101.532,101.88,102.248,102.683,103.225,103.819,104.462,105.29,106.491,108.16,110.401,113.076,115.755,117.849,118.949,118.883,117.8,116.009,113.977,112.052,110.322,108.698,107.144,105.567,103.903,102.167,100.401,98.597,96.739,94.82,92.835,90.791,88.707,86.607,84.51,82.429,80.357,78.276,76.157,73.982,71.749,69.477,67.187,64.907,62.664,60.476,58.352,56.303,54.337,52.467,50.711,49.095,47.648,46.409,45.42
ASM,AMERICAN SAMOA,279.578,282.638,286.698,291.05,294.734,297.07,297.799,297.07,295.121,292.342,289.055,285.266,280.899,276.09,270.985,265.698,260.337,254.899,249.231,243.111,236.402,229.101,221.352,213.307,205.201,197.221,189.382,181.734,174.573,168.281,163.095,159.146,156.307,154.221,152.387,150.412,148.196,145.799,143.166,140.281,137.146,133.744,130.08,126.211,122.211,118.181,114.075,109.965,106.121,102.905,100.563,99.141,98.523,98.477,98.729,99.025,99.141,98.91,98.206,96.96,95.161
