Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,18.675,,,,,20.808,,,,,21.627,,,,,22.029,,,,,22.853,,,,,24.108,,,,,29.33,,,,,35.341,,,,,44.156,,,,,53.757,,,,,67.957,,,,,95.148
AFG,AFGHANISTAN,109.549,,,,,129.141,,,,,145.315,,,,,172.599,,,,,211.517,,,,,247.831,,,,,273.062,,,,,296.782,,,,,323.762,,,,,353.541,,,,,385.307,,,,,419.027
AGO,ANGOLA,170.523,,,,,192.978,,,,,232.32,,,,,253.363,,,,,257.74,,,,,264.107,,,,,271.026,,,,,290.833,,,,,307.674,,,,,329.262,,,,,351.885,,,,,375.371
ALB,ALBANIA,17.627,,,,,24.5,,,,,30.83,,,,,37.083,,,,,45.642,,,,,52.499,,,,,57.678,,,,,72.792,,,,,98.968,,,,,129.619,,,,,166.036,,,,,193.993
ARE,UNITED ARAB EMIRATES,8.051,,,,,10.722,,,,,14.381,,,,,19.272,,,,,25.704,,,,,36.098,,,,,52.439,,,,,76.494,,,,,110.96,,,,,161.458,,,,,212.376,,,,,269.383
ARG,ARGENTINA,15.698,,,,,17.553,,,,,24.521,,,,,28.184,,,,,31.941,,,,,37.426,,,,,46.241,,,,,57.588,,,,,69.2,,,,,72.899,,,,,75.571,,,,,83.538
ARM,ARMENIA,23.729,,,,,30.243,,,,,40.278,,,,,52.711,,,,,56.294,,,,,57.842,,,,,63.012,,,,,67.646,,,,,73.933,,,,,81.179,,,,,88.633,,,,,96.628
ATG,ANTIGUA AND BARBUDA,12.501,,,,,15.2,,,,,18.51,,,,,22.564,,,,,27.547,,,,,33.669,,,,,41.196,,,,,50.468,,,,,61.887,,,,,75.967,,,,,93.472,,,,,115.183
AUS,AUSTRALIA,5.272,,,,,5.979,,,,,6.727,,,,,8.362,,,,,10.577,,,,,11.992,,,,,15.405,,,,,20.311,,,,,21.625,,,,,23.706,,,,,26.353,,,,,29.864
AUT,AUSTRIA,4.574,,,,,5.399,,,,,5.981,,,,,8.61,,,,,11.198,,,,,14.787,,,,,19.795,,,,,27.853,,,,,30.632,,,,,37.829,,,,,49.586,,,,,63.687
