Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
AFG,AFGHANISTAN,,,,,,,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,26.1,,,,,,47.3,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,23.4,,,,23.8,,,,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,19.9,,,,,17.4,,,,17.0,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,17.7,,,,,,,24.9,,,,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,53.1,,,,,,,,,,,60.8,,,,,,,,,,,,,49.1,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,,,41.6,,,,,37.4,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,32.8,32.0,,,39.4,,,40.9,,,,43.9,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,37.8,,42.1,,,,42.6,46.6,47.2,49.6,49.5,52.1,54.5,55.5,60.7,60.7,59.5,66.0,68.5,69.7,71.7,74.6,77.3,,,,,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,8.9,,,,,,10.7,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,20.0,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,,26.2,,,,31.4,,,,,,31.9,,,,32.9,,,,,37.8,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,,,,,,,,5.8,,,,,,,,,,,11.5,,,,,,,17.8,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,,,33.7,,31.8,,,,,,,,,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,28.7,,,,,,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,37.9,,,,,42.5,,,,,,42.8,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
