Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,99.8,,,,,,,,,,,,,,,
ARM,ARMENIA,,,99.7,,,,,99.0,,,,,98.6,,,,,,,
AZE,AZERBAIJAN,,,,,,,96.8,,,,,,,,,,,,,
BDI,BURUNDI,,,91.1,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,87.0,,,,,84.0,,,,,79.9,,,
BFA,BURKINA FASO,,,95.6,,,,,,,91.2,,,,,91.7,,,,,
BGD,BANGLADESH,,53.7,,,,40.0,,,33.8,,,,,34.0,,,35.9,,,34.8
BOL,BOLIVIA,,,,,89.7,,,,,80.3,,,,,78.2,,,,66.0,
BRA,BRAZIL,,,,,,,,,,,,,,,,,92.9,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,77.8,
CIV,COTE D'IVOIRE,,84.5,,,,,,,,,,,,,79.6,,,,76.3,
CMR,CAMEROON,,88.0,,,,,,,85.0,,,,,,84.9,,,,,
COD,"CONGO, THE DRC",,,,,,91.7,,,,,,,,,,,,,,
COG,CONGO,,98.5,,,,,,97.6,,,,,,,,,,,,
COL,COLOMBIA,,,98.3,,,,,97.6,,,,,94.4,,,,,93.5,,
COM,COMOROS,,,,,,,,,,,,,,,,,79.0,,,
DOM,DOMINICAN REPUBLIC,,,,,,98.5,,,,,99.1,,,97.9,,,98.2,,,
EGY,EGYPT,,,,,90.9,,,89.7,,,,,83.0,,,,,69.0,,
ETH,ETHIOPIA,,55.9,,,,,,47.7,,,,,35.6,,,,,,,
GAB,GABON,94.1,,,,,,,,,,,,93.3,,,,,,,
GHA,GHANA,,,,,85.1,,,,,79.7,,,,,76.0,,,,,80.8
GIN,GUINEA,,,,,,,,81.8,,,,,,77.1,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,67.1,,,64.4,,
GUY,GUYANA,,,,99.7,,,,,,,,,,,,,,,,
HND,HONDURAS,,95.0,,,,,,90.7,,,,,,,,,,,,
HTI,HAITI,61.7,,,,,,,48.6,,,,,54.2,,,,,,64.5,
IDN,INDONESIA,93.3,,,,,88.6,,,,,81.3,,,,,80.0,,,78.2,
IND,INDIA,,,,,,,,75.3,,,,,,,73.1,,,,,
JOR,JORDAN,99.5,,,,,99.2,,,,,99.9,,,,,97.8,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,99.1,,,,100.0,,
KEN,KENYA,,,,,75.3,,,,,72.2,,,,,70.8,,,,,77.4
KGZ,KYRGYZSTAN,,,,,,,,,,,,,,,,99.3,,,,
KHM,CAMBODIA,,,95.4,,,,,73.7,,,,,57.0,,,,,,,
LBR,LIBERIA,,,,,,82.0,,,,,,,,,,,,,,
LSO,LESOTHO,,,,90.2,,,,,88.7,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,86.6,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,99.6,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,81.8,,,,,75.8,,,,,,68.3,,,,
MDV,MALDIVES,,,,99.8,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,68.5,,,,,84.5,,,,,,79.9,,
MOZ,MOZAMBIQUE,,80.6,,,,,,,,82.2,,,,,,81.4,,,,
MWI,MALAWI,,,85.4,,,,,,84.5,,,,81.1,,,,,,,
NAM,NAMIBIA,,,,,,,94.0,,,,,,94.0,,,,,,,
NER,NIGER,85.3,,,,,,71.8,,,,,,,,68.6,,,,,
NGA,NIGERIA,,,,,66.3,,,,,60.0,,,,57.9,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,97.0,,,,86.7,,,,
NPL,NEPAL,,78.5,,,,,53.2,,,,,53.7,,,,,46.5,,,
PAK,PAKISTAN,73.4,,,,,,63.4,,,,,,,,,,,,,
PER,PERU,,,,95.4,,,94.6,,,,,,86.8,,,,82.5,,,
PHL,PHILIPPINES,,,,,79.9,,,,,80.2,,,,,79.4,,,,,71.8
RWA,RWANDA,,,85.9,,,,,63.4,,,,,67.6,,,,,,,
SEN,SENEGAL,,,89.4,,,,,86.2,,,,,,,,81.6,,,,
SLE,SIERRA LEONE,,,,,66.8,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,89.2,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,89.0,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,59.3,,,,,,,,49.2,,,
TGO,TOGO,,,,,,,,,,,,,,,86.3,,,,,
TJK,TAJIKISTAN,94.5,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,60.4,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,90.8,,,,,88.6,,,,,88.8
TZA,"TANZANIA, UNITED REPUBLIC OF",,,82.1,,,,,,82.4,,,,,82.7,,,79.6,,,
UGA,UGANDA,,89.6,,,,,81.4,,,,,,81.3,,,,,79.0,,
UKR,UKRAINE,,,,,,99.4,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,100.0,,,
VNM,VIET NAM,,,,,,,,,,,99.0,,,,,98.5,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,94.5,,,,,
ZMB,ZAMBIA,,,,,,82.6,,,,,,78.1,,,,,75.4,,,
ZWE,ZIMBABWE,,,84.4,,,,,94.4,,,,,,90.1,,,,,91.1,
