Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
TJK,TAJIKISTAN,,,,28.9,,,21.5,22.9,23.1,23.8,24.1,23.7,23.2,24.2,25.0,23.7,23.6,23.3,22.8,23.5,21.7,21.2,
TKM,TURKMENISTAN,,,,,,,,,,,42.1,,,,,,,39.9,,,,,
TLS,EAST TIMOR,,,,,,,,,,,,35.0,,,,,,,,,,,
TON,TONGA,,,,,,,,,,,,,,,,,35.6,,,,,,
TTO,TRINIDAD AND TOBAGO,,,46.3,45.6,,,,43.9,43.5,41.9,41.4,39.9,40.0,39.9,39.4,38.8,39.7,39.2,38.8,38.5,38.3,36.3,35.6
TUN,TUNISIA,27.7,26.5,,,,,,,,25.0,24.9,24.6,24.3,24.1,,,,,22.7,,,,
TUR,TURKEY,25.0,23.6,23.0,23.0,23.0,22.4,21.5,20.9,20.4,21.0,21.3,19.5,19.5,19.0,18.7,18.2,17.6,17.9,17.7,16.7,17.2,16.0,
TUV,TUVALU,,,,,,,,,33.9,39.1,34.3,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,31.1,,,,,30.5,,,,,,,,,,,,,,,,
UGA,UGANDA,,,34.9,,,,,,,30.9,,,,,,,,,,,,,
UKR,UKRAINE,49.6,49.8,50.3,50.6,49.1,49.3,49.5,49.6,51.0,50.9,50.6,50.5,50.0,51.1,51.4,51.0,50.3,51.1,51.0,44.9,45.2,47.0,46.6
URY,URUGUAY,48.2,,49.3,47.9,,45.5,45.1,48.8,,48.1,45.8,46.5,46.4,,,,,,43.5,,,,42.3
USA,UNITED STATES,47.8,47.8,48.3,48.3,47.7,47.4,47.3,47.3,47.5,47.7,47.5,47.4,47.4,47.6,47.4,47.3,47.3,47.2,47.2,47.3,47.2,47.0,46.6
UZB,UZBEKISTAN,,,,,,39.4,40.3,40.3,40.6,37.0,37.1,41.6,37.1,37.2,37.2,37.1,36.9,36.0,36.5,36.5,37.1,37.0,
VEN,VENEZUELA,44.0,43.4,43.1,42.7,41.6,41.4,41.0,41.6,42.1,42.2,41.8,41.4,39.8,39.2,38.7,37.8,37.4,36.7,35.7,34.7,35.7,35.7,35.2
VIR,VIRGIN ISLANDS (U.S.),,,,,,,,,,,,,,,,,,,48.3,,,,
VNM,VIET NAM,,,,,,,,,40.4,40.1,40.8,40.7,40.7,41.9,42.2,41.0,41.0,,,,,,
VUT,VANUATU,,,,,38.9,37.8,38.3,37.9,37.5,,,,,,,,,,,,,,
WSM,SAMOA,,,,,,,,,,,,36.7,,,,,,,,,,,
YEM,YEMEN,,,11.7,10.0,,6.2,6.3,,6.0,6.1,,6.5,7.0,6.4,,,,,6.4,,,,
ZAF,SOUTH AFRICA,47.3,46.9,44.5,45.0,44.0,42.0,41.3,41.4,40.8,41.6,40.7,42.0,41.1,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,,,,,,22.0,,,,,,,,,,16.6
ZWE,ZIMBABWE,,33.9,,,,,,,,,21.9,21.5,20.4,18.9,18.6,18.0,17.7,17.2,16.8,16.2,15.2,15.6,15.4
