Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
BWA,BOTSWANA,0.0,38.0,15.0,31.0,42.0,46.0,21.0,2.0,1.0,1.0,10.0,3.0,12.0,14.0,122.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CAF,CENTRAL AFRICAN REPUBLIC,0.0,1429.0,354.0,314.0,477.0,657.0,503.0,429.0,307.0,171.0,157.0,442.0,116.0,108.0,42.0,93.0,46.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,CHILE,,73.0,229.0,140.0,509.0,62.0,193.0,63.0,28.0,38.0,0.0,1.0,44.0,5.0,17.0,0.0,0.0,15.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CHN,CHINA,,395.0,339.0,353.0,601.0,407.0,1989.0,230.0,211.0,217.0,140.0,249.0,195.0,28.0,44.0,121.0,243.0,15.0,54.0,3.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
CIV,COTE D'IVOIRE,0.0,394.0,562.0,1887.0,836.0,664.0,660.0,639.0,926.0,834.0,743.0,1107.0,522.0,99.0,153.0,31.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,CAMEROON,0.0,104.0,75.0,59.0,92.0,40.0,138.0,17.0,14.0,7.0,4.0,3.0,15.0,47.0,39.0,30.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
COD,"CONGO, THE DRC",0.0,2770.0,3232.0,2008.0,2477.0,3734.0,3317.0,1821.0,2050.0,1309.0,1231.0,1696.0,1688.0,867.0,677.0,666.0,452.0,1318.0,723.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
COG,CONGO,0.0,60.0,316.0,59.0,141.0,131.0,53.0,77.0,88.0,124.0,79.0,236.0,186.0,103.0,130.0,212.0,86.0,99.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COK,COOK ISLANDS,,7.0,5.0,4.0,38.0,6.0,0.0,2.0,0.0,41.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,COLOMBIA,0.0,694.0,835.0,1153.0,1234.0,1491.0,949.0,616.0,827.0,1020.0,516.0,402.0,485.0,330.0,108.0,151.0,1.0,1.0,7.0,8.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
COM,COMOROS,,6.0,53.0,6.0,18.0,11.0,45.0,26.0,15.0,35.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CRI,COSTA RICA,,45.0,89.0,74.0,51.0,145.0,107.0,41.0,5.0,50.0,7.0,11.0,28.0,8.0,0.0,24.0,24.0,1.0,20.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUB,CUBA,,43.0,115.0,11.0,34.0,39.0,417.0,34.0,23.0,124.0,105.0,10.0,82.0,54.0,3.0,19.0,30.0,4.0,24.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
DJI,DJIBOUTI,0.0,77.0,52.0,151.0,91.0,93.0,115.0,70.0,160.0,44.0,44.0,25.0,37.0,66.0,143.0,18.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,DOMINICA,,2.0,2.0,3.0,1.0,0.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,DOMINICAN REPUBLIC,0.0,81.0,100.0,173.0,162.0,76.0,98.0,325.0,8.0,16.0,173.0,40.0,5.0,5.0,3.0,11.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,ALGERIA,0.0,23.0,50.0,177.0,24.0,123.0,71.0,25.0,73.0,22.0,66.0,161.0,14.0,69.0,22.0,20.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
ECU,ECUADOR,,334.0,490.0,236.0,203.0,89.0,310.0,28.0,280.0,4.0,3.0,12.0,68.0,52.0,48.0,179.0,15.0,11.0,7.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EGY,EGYPT,0.0,275.0,166.0,500.0,45.0,33.0,58.0,33.0,15.0,10.0,14.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI,ERITREA,0.0,53.0,86.0,123.0,150.0,165.0,148.0,145.0,324.0,335.0,321.0,448.0,392.0,478.0,790.0,307.0,59.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
