Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
HND,HONDURAS,,,1.8,,,,,,1.6,,,,,1.3,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,HAITI,,,5.6,,,,,,10.2,,,,,,6.2,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,
IDN,INDONESIA,,14.2,,,12.5,,,15.7,,,15.3,,,6.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,,,,20.7,,,,,,,20.5,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,
IRQ,IRAQ,,,,7.9,,,,,6.2,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,JAMAICA,,,3.0,,4.9,,2.1,2.3,3.3,,4.3,,2.7,3.0,2.8,3.0,3.3,3.1,2.6,3.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,
JOR,JORDAN,,,2.4,,,1.6,,,,,,,2.9,,,,,2.3,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,
JPN,JAPAN,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,KAZAKHSTAN,,,,4.4,,,,,5.3,,,,,,,4.0,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,,,,,,8.2,,,,,,7.5,,,8.2,,9.0,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,
KGZ,KYRGYZSTAN,,,2.9,,,1.4,,,3.5,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,CAMBODIA,,,,11.2,,,9.7,,8.3,,,,,,18.0,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",,,,1.3,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,KUWAIT,2.8,3.0,2.4,2.0,2.6,1.5,2.6,3.5,2.4,3.5,3.7,2.6,2.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,LAOS ,,,6.9,,,,,,7.8,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,LEBANON,,,,,,,,,,,7.8,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERIA,,5.9,,,,,,7.9,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,LIBYA,,,,,,,,6.8,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,SRI LANKA,,,22.3,,,12.1,,16.1,,,,,,,16.5,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,
LSO,LESOTHO,,,,,4.2,,,,,5.8,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,,,,2.8,,,,,,,11.1,,,,,,,5.0,,,,,2.9,,,,,4.0,,,,,,,,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,2.1,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,,,,,,18.0,,,,,,,12.1,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,
MDV,MALDIVES,,,,,,13.5,,,,,,,,14.3,,,30.7,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,,,1.8,,,,,,2.5,,,,,,,3.0,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,,,,2.2,,,,,,2.4,1.5,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,,,16.2,,,,,13.5,,,,,29.2,,,,,,,,,16.6,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,8.7,,,,,,,11.5,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,3.1,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,,,,1.5,,,,,2.6,0.6,,,,7.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,6.7,,,4.9,,,,,5.8,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,13.1,14.9,,,9.4,14.2,,,,,,17.2,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,4.4,2.0,,,4.8,7.0,,,,,6.7,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,,9.0,,,,,,7.3,,,,,,,10.9,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,,19.7,,,,,,13.8,,,,,,17.9,,25.5,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,
NGA,NIGERIA,8.7,18.8,,11.0,,,14.8,13.8,,,,12.0,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,1.5,,0.4,,,,2.7,,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
NLD,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,
NPL,NEPAL,,,,12.3,,,,,13.0,,,,,12.4,,,8.8,,15.9,,,,,,,,,,,,,,,,,,,,,18.2,,,,,
OMN,OMAN,,,,,,8.1,,,,,,,,,,8.3,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,11.1,,15.5,,,,,,,,,,15.1,,,,,,,17.4,,,14.5,,,,,,,,,,,,,,,,,,,,,
PAN,PANAMA,,,,,,,1.1,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,PERU,,,0.8,0.5,0.9,0.7,0.9,,,1.1,,,,,1.2,,,,1.8,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,,7.5,,,7.4,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,PAPUA NEW GUINEA,,,,14.9,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,4.1,,,5.0,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,
PSE,STATE OF PALESTINE,,,,,3.5,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,,,,,,,,,3.6,4.1,4.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,,,3.5,,,,,,5.0,,,,,9.2,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
SAU,SAUDI ARABIA,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,,,,,,,,,21.9,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,6.0,9.9,9.9,9.7,,,,,,8.8,,,,,11.2,,,,,,,10.3,,,,,,,7.3,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,
SLB,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,9.2
SLE,SIERRA LEONE,,10.7,,,8.3,,10.4,,,11.7,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,EL SALVADOR,,,,,,,2.4,,,,,1.4,,,,,1.8,,,,,1.6,,,,,2.5,,,,,,,,,,,,,,,,,,
SOM,SOMALIA,,,,,,16.4,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,,,,,2.7,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,25.7,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,11.3,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,5.8,,,,5.2,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,0.5,,,3.5,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,12.5,,,11.4,,,,,10.5,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,,,16.7,,,,,,17.1,,,,13.7,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,,,5.9,,6.1,,17.0,,,,,,,,13.4,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,
THA,THAILAND,,,7.4,,,,,,4.6,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,
TJK,TAJIKISTAN,,,9.9,,,4.8,,6.8,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,,20.4,,29.2,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,
TUN,TUNISIA,,,3.6,,,,,,3.6,,,,,,,,,,,4.2,,,,,,,4.9,,,,,,,,,,,,,2.5,,,,,
TUR,TURKEY,1.4,,,,,,,,,,1.5,,,,,,3.4,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,6.3,5.8,2.7,,,,4.0,,,,,,6.1,,,9.6,,,,8.9,,,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,,,,4.8,,,,,7.7,,,,,6.2,,,,,,7.9,,,,,,3.4,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,1.1,,,,2.9,,,3.0,3.1,2.6,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,UNITED STATES,,,0.4,,0.5,,,,0.8,,0.8,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,5.3,,,,8.7,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,VIET NAM,,,,4.6,,,10.2,10.8,10.5,11.3,11.9,11.5,9.5,,11.7,12.0,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,14.8,,,,,,,,16.8,,,,,,17.6,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,8.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,6.0,,,,,6.6,,,6.2,,6.4,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,3.7,,,3.7,,4.3,,,7.6,,,,,,,8.9,,,,,6.7,,,,,,1.7,,,,,,,,,,,,,,,,,,
