Country code,Country name,2014,2013,2012
SLE,SIERRA LEONE,183.0,,177.0
SLV,EL SALVADOR,115.0,,107.0
SRB,SERBIA,77.0,,64.0
STP,SAO TOME AND PRINCIPE,142.0,,144.0
SUR,SURINAME,100.0,,105.0
SVK,SLOVAKIA (SLOVAK REPUBLIC),37.0,,35.0
SVN,SLOVENIA,25.0,,21.0
SWE,SWEDEN,12.0,,8.0
SWZ,SWAZILAND,148.0,,141.0
SYC,SEYCHELLES,71.0,,46.0
SYR,SYRIAN ARAB REPUBLIC,118.0,,116.0
TCD,CHAD,184.0,,184.0
TGO,TOGO,166.0,,159.0
THA,THAILAND,89.0,,103.0
TJK,TAJIKISTAN,133.0,,125.0
TKM,TURKMENISTAN,103.0,,102.0
TLS,EAST TIMOR,128.0,,134.0
TON,TONGA,100.0,,95.0
TTO,TRINIDAD AND TOBAGO,64.0,,67.0
TUN,TUNISIA,90.0,,94.0
TUR,TURKEY,69.0,,90.0
TZA,"TANZANIA, UNITED REPUBLIC OF",159.0,,152.0
UGA,UGANDA,164.0,,161.0
UKR,UKRAINE,83.0,,78.0
URY,URUGUAY,50.0,,51.0
USA,UNITED STATES,5.0,,3.0
UZB,UZBEKISTAN,116.0,,114.0
VCT,SAINT VINCENT AND THE GRENADINES,91.0,,83.0
VEN,VENEZUELA,67.0,,71.0
VNM,VIET NAM,121.0,,127.0
VUT,VANUATU,131.0,,124.0
WSM,SAMOA,106.0,,96.0
YEM,YEMEN,154.0,,160.0
ZAF,SOUTH AFRICA,118.0,,121.0
ZMB,ZAMBIA,141.0,,163.0
ZWE,ZIMBABWE,156.0,,172.0
