Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
AFG,AFGHANISTAN,45481.0,3957.0,12.0,3733.0,2369.0,662.0,4384.0,,,33.0,,41.0,3.0,4499.0,4330.0,24639.0,10000.0,4170.0,,19903.0,38735.0,37046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,,,,,887.0,,,,,,,,,,
AGO,ANGOLA,213.0,6655.0,1215.0,1810.0,1484.0,2019.0,10511.0,18422.0,67257.0,0.0,,,,,,,,,1306.0,3295.0,3443.0,,3608.0,8590.0,9527.0,17601.0,15500.0,16222.0,,,,,,,,,,726.0,,88.0,934.0,263.0,268.0,1.0,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,,,,,,,,,,,,,,,,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,,,,,,,,12.0,637.0,474.0,188.0,889.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,2.0,3.0,5.0,6.0,3.0,,,3.0,3.0,2.0,2.0,,5.0,2.0,1.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,3.0,,,,1.0,1.0,,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,
AUT,AUSTRIA,,,,,,,,,,1.0,,,1.0,0.0,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,582.0,1557.0,214.0,1072.0,333.0,355.0,234.0,365.0,886.0,1309.0,819.0,432.0,577.0,1003.0,1021.0,3440.0,1067.0,1959.0,418.0,2297.0,562.0,78.0,479.0,3.0,82.0,,,,,259.0,180.0,512.0,415.0,582.0,2039.0,915.0,8297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,BELGIUM,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,BENIN,832.0,528.0,625.0,755.0,983.0,74.0,985.0,,91.0,749.0,642.0,434.0,270.0,3943.0,468.0,855.0,206.0,796.0,6190.0,203.0,187.0,10.0,413.0,7474.0,,,,,243.0,,1.0,1.0,3.0,2.0,3.0,,27.0,2.0,146.0,45.0,73.0,3.0,250.0,2133.0,175.0,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,143.0,20.0,,,0.0,,0.0,1050.0,,1.0,,477.0,617.0,93.0,1036.0,,425.0,1451.0,,,,537.0,,,,,,1149.0,2191.0,,,,,,1.0,,,3.0,632.0,1118.0,1.0,1761.0,1.0,,,,,,,,,,,,,,,,,,,,
