Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,82.1,,,,,,,,,,,,,,,
ARM,ARMENIA,,,95.6,,,,,81.6,,,,,81.7,,,,,,,
AZE,AZERBAIJAN,,,,,,,59.9,,,,,,,,,,,,,
BDI,BURUNDI,,,39.2,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,71.3,,,,,71.4,,,,,,,,
BFA,BURKINA FASO,,,45.0,,,,,,,33.4,,,,,34.7,,,,,
BGD,BANGLADESH,,43.2,,,,38.3,,,33.7,,,,,30.7,,,32.6,,,
BOL,BOLIVIA,,,,,81.3,,,,,67.6,,,,,65.7,,,,,
BRA,BRAZIL,,,,,,,,,,,,,,,,,86.0,,,
CIV,COTE D'IVOIRE,,61.1,,,,,,,,,,,,,53.2,,,,,
CMR,CAMEROON,,76.6,,,,,,,74.4,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,53.0,,,,,,,,,,,,,,
COG,CONGO,,84.9,,,,,,82.2,,,,,,,,,,,,
COL,COLOMBIA,,,91.2,,,,,86.9,,,,,85.3,,,,,83.4,,
DOM,DOMINICAN REPUBLIC,,,,,,94.7,,,,,94.2,,,92.7,,,91.6,,,
EGY,EGYPT,,,,,80.5,,,76.4,,,,,54.8,,,,,50.9,,
ETH,ETHIOPIA,,45.5,,,,,,54.5,,,,,43.7,,,,,,,
GAB,GABON,80.8,,,,,,,,,,,,69.4,,,,,,,
GHA,GHANA,,,,,88.1,,,,,84.3,,,,,78.5,,,,,
GIN,GUINEA,,,,,,,,65.7,,,,,,69.3,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,78.8,,,75.0,,
GUY,GUYANA,,,,82.1,,,,,,,,,,,,,,,,
HND,HONDURAS,,91.6,,,,,,86.9,,,,,,,,,,,,
HTI,HAITI,75.9,,,,,,,66.9,,,,,60.6,,,,,,57.2,
IDN,INDONESIA,92.7,,,,,89.9,,,,,87.5,,,,,88.1,,,86.2,
IND,INDIA,,,,,,,,62.4,,,,,,,,,,,,
JOR,JORDAN,94.7,,,,,94.8,,,,,92.1,,,,,88.0,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,70.1,,,,,,
KEN,KENYA,,,,,59.9,,,,,66.7,,,,,,,,,,73.3
KHM,CAMBODIA,,,80.3,,,,,43.2,,,,,23.0,,,,,,,
LBR,LIBERIA,,,,,,76.1,,,,,,,,,,,,,,
LSO,LESOTHO,,,,82.5,,,,,83.5,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,44.0,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,88.0,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,70.5,,,,,53.2,,,,,,,,,,
MDV,MALDIVES,,,,79.6,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,54.8,,,,,57.3,,,,,,,,
MOZ,MOZAMBIQUE,,59.5,,,,,,,,70.7,,,,,,,,,,
MWI,MALAWI,,,48.6,,,,,,65.2,,,,68.3,,,,,,,
NAM,NAMIBIA,,,,,,,73.0,,,,,,75.4,,,,,,,
NER,NIGER,46.3,,,,,,35.3,,,,,,,,,,,,,
NGA,NIGERIA,,,,,68.8,,,,,71.1,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,82.1,,,,74.0,,,,
NPL,NEPAL,,71.8,,,,,51.9,,,,,48.4,,,,,,,,
PAK,PAKISTAN,61.6,,,,,,48.3,,,,,,,,,,,,,
PER,PERU,,,,94.8,,,93.5,,,,,,81.1,,,,68.1,,,
PHL,PHILIPPINES,,,,,83.0,,,,,78.2,,,,,76.3,,,,,64.5
RWA,RWANDA,,,40.4,,,,,17.6,,,,,19.1,,,,,,,
SEN,SENEGAL,,,62.1,,,,,50.6,,,,,,,,25.0,,,,
SLE,SIERRA LEONE,,,,,65.9,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,75.9,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,84.1,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,43.7,,,,,,,,35.9,,,
TJK,TAJIKISTAN,64.0,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,62.8,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,63.7,,,,,54.5,,,,,50.4
TZA,"TANZANIA, UNITED REPUBLIC OF",,,54.9,,,,,,71.4,,,,,85.6,,,76.3,,,
UGA,UGANDA,,57.0,,,,,59.6,,,,,,66.2,,,,,68.0,,
UKR,UKRAINE,,,,,,74.8,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,76.4,,,,,
ZMB,ZAMBIA,,,,,,58.6,,,,,,79.6,,,,,79.0,,,
ZWE,ZIMBABWE,,,66.0,,,,,75.8,,,,,,59.2,,,,,,
