Country code,Country name,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,38.46,,,,,36.201,,,,,34.364,,,,,32.514,,,,,31.222,,,,,27.974,,,,,26.025,,,,,23.864,,,,,20.82,,,,,19.132,,,,,18.114,,,,,18.102,,,,,18.476
AFG,AFGHANISTAN,15.638,,,,,15.327,,,,,15.258,,,,,15.861,,,,,15.626,,,,,15.929,,,,,16.559,,,,,16.912,,,,,17.357,,,,,17.747,,,,,18.025,,,,,18.321,,,,,18.544
AGO,ANGOLA,16.04,,,,,16.05,,,,,16.122,,,,,16.148,,,,,16.242,,,,,16.496,,,,,16.681,,,,,16.82,,,,,16.959,,,,,17.459,,,,,18.253,,,,,18.88,,,,,19.401
ALB,ALBANIA,31.937,,,,,29.207,,,,,26.159,,,,,24.462,,,,,23.061,,,,,21.751,,,,,20.455,,,,,19.359,,,,,18.77,,,,,18.908,,,,,19.487,,,,,20.127,,,,,20.869
ARE,UNITED ARAB EMIRATES,28.018,,,,,28.866,,,,,28.204,,,,,27.802,,,,,26.648,,,,,26.291,,,,,26.047,,,,,25.233,,,,,22.975,,,,,20.431,,,,,18.497,,,,,18.836,,,,,18.885
ARG,ARGENTINA,30.345,,,,,28.932,,,,,27.861,,,,,27.347,,,,,27.202,,,,,27.233,,,,,27.243,,,,,27.364,,,,,27.378,,,,,27.178,,,,,26.85,,,,,26.286,,,,,25.657
ARM,ARMENIA,31.593,,,,,30.932,,,,,30.332,,,,,29.216,,,,,27.005,,,,,25.227,,,,,23.458,,,,,21.872,,,,,20.409,,,,,20.759,,,,,22.459,,,,,22.737,,,,,22.423
ATG,ANTIGUA AND BARBUDA,29.796,,,,,29.355,,,,,29.155,,,,,27.488,,,,,25.289,,,,,24.308,,,,,22.491,,,,,20.391,,,,,19.217,,,,,18.661,,,,,18.336,,,,,20.186,,,,,20.593
AUS,AUSTRALIA,36.847,,,,,36.513,,,,,35.354,,,,,33.661,,,,,32.133,,,,,30.781,,,,,29.388,,,,,28.158,,,,,27.474,,,,,28.37,,,,,29.581,,,,,30.174,,,,,30.406
AUT,AUSTRIA,41.827,,,,,39.938,,,,,38.177,,,,,36.267,,,,,35.683,,,,,35.185,,,,,34.911,,,,,33.706,,,,,33.921,,,,,35.028,,,,,35.589,,,,,34.955,,,,,35.676
