Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
COG,CONGO,,,17000.0,17000.0,17000.0,17000.0,17000.0,17289.0,,,,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12745.0,12745.0,12745.0,12745.0,12800.0
COL,COLOMBIA,214433.0,203627.0,129485.0,164183.0,136751.0,136846.0,136825.0,136752.0,129590.0,129501.0,129496.0,129492.0,,,,,,,,,,
COM,COMOROS,,,,,,,,,,,,880.0,880.0,880.0,,900.0,,,,,,
CPV,CAPE VERDE,,,,,,,,,,,,1350.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
CRI,COSTA RICA,42430.0,39937.0,39039.0,38049.0,36654.0,35983.0,,35330.0,33886.30078125,35302.58984375,35881.0,35892.0,35876.0,37273.0,35597.0,35597.0,35600.0,35583.0,35541.0,35560.0,35536.0,35556.0
CUB,CUBA,,,,,,,,,,,,60856.0,,,,,,,,,,
CYM,CAYMAN ISLANDS,484.92,,,,,,,,,,,,,,,,,,,,,
CYP,CYPRUS,13006.0,12483.0,12380.0,12321.0,12246.0,12280.0,12146.0,12059.0,11760.0,11593.0,11408.0,11141.0,11009.0,10820.0,10654.0,10415.0,10150.0,9704.0,9539.0,9362.0,9226.0,9043.0
CZE,CZECH REPUBLIC,130661.0,130671.0,130637.5,130573.0,130514.0,130504.0,128436.818,128426.77,128373.62,127721.82,127727.0,127710.0,127693.0,127693.0,,,,,,,,
DEU,GERMANY,643702.0,643782.0,643969.0,643999.0,644181.0,644359.0,644480.0,644467.0,644420.0,644581.0,643848.0,643774.0,,,656074.0,656076.0,641860.0,611604.0,640200.0,639805.0,636282.0,606461.0
DJI,DJIBOUTI,,,,,,,,,,,,3065.0,2890.0,2890.0,2890.0,2890.0,2890.0,2890.0,2890.0,2890.0,2879.0,2879.0
DMA,DOMINICA,,905.0,1646.0,905.0,,,853.0,,,,,780.0,780.0,780.0,780.0,780.0,,,,,,
DNK,DENMARK,73929.0,74054.0,73330.0,73197.0,72412.0,72362.0,72257.0,72075.0,71847.0,71847.0,71622.0,71591.0,71454.0,71437.0,71336.0,71321.0,71255.0,71255.0,71111.0,71040.0,71042.0,70922.0
DOM,DOMINICAN REPUBLIC,,,,,,,,,,,,12600.0,12600.0,,,12600.0,12300.0,12000.0,11800.0,11600.0,11400.0,11100.0
DZA,ALGERIA,,113655.0,112039.0,111261.0,,,,108302.0,,,,104000.0,104000.0,104000.0,104000.0,104000.0,102424.0,99974.0,98800.0,95576.0,90000.0,88359.0
ECU,ECUADOR,,,,,43670.0,43670.0,,43197.0,43197.0,43197.0,43197.0,43197.0,43197.0,43197.0,43197.0,43249.0,43106.0,43200.0,43118.0,43079.0,41800.0,43079.0
EGY,EGYPT,,137430.0,124091.0,104918.0,,99672.0,98875.0,92370.0,,,,64000.0,,,,,,,,,,
ERI,ERITREA,,,,,,,,,,,,4010.0,4010.0,4010.0,4010.0,4010.0,3930.0,3850.0,3770.0,3700.0,3630.0,3560.0
ESP,SPAIN,666837.0,666840.0,666519.0,666061.0,667064.0,667392.0,666699.0,666205.0,665637.0,665192.0,664852.0,664610.0,663795.0,664822.0,,,,,,,,
EST,ESTONIA,58487.0,58412.0,58383.0,58399.0,57565.0,57025.0,57016.0,56839.0,56849.0,55944.0,52038.0,51411.0,50436.0,49480.0,,,,,,,,
ETH,ETHIOPIA,,,,,44359.0,40244.0,42370.0,36469.0,33856.0,33297.0,32871.0,29571.0,28652.0,26063.0,23832.0,23832.0,23442.0,28300.0,28200.0,28100.0,27972.0,27901.0
FIN,FINLAND,78138.0,78161.0,78925.0,78860.0,78889.0,78941.0,78821.0,78158.0,78197.0,78138.0,78541.0,78412.0,77900.0,77895.0,77796.0,77782.0,77722.0,77644.0,77499.0,76755.0,76631.0,76407.0
FJI,FIJI,,,,,,,,,,,,3440.0,3440.0,3440.0,3440.0,3440.0,3370.0,3300.0,3240.0,3180.0,3110.0,3050.0
FRA,FRANCE,1052380.0,1049446.0,1040260.0,1027150.0,1026115.0,1012165.0,1005750.0,1001470.0,998350.0,994220.0,998110.0,990830.0,893500.0,893300.0,892900.0,892500.0,892700.0,892500.0,891600.0,891200.0,890750.0,885600.0
FSM,"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,240.0,240.0,240.0,240.0,240.0,,,,,,
GAB,GABON,,,,,9170.0,,,9170.0,,,,8464.0,8336.0,8525.0,8079.0,7708.0,7640.0,7610.0,7518.0,7518.0,7518.0,7570.0
GBR,UNITED KINGDOM,419671.0,419628.0,419665.0,419634.0,420009.0,419526.0,388008.0,387674.0,392342.0,389649.0,390969.0,390238.0,389514.0,388641.0,387893.0,386983.0,386401.0,385557.0,384839.0,362310.0,359966.0,358034.0
GEO,GEORGIA,18854.0,19040.0,18608.0,18371.0,20329.0,20329.0,20329.0,20247.0,20247.0,20229.0,20229.0,20362.0,20215.0,20215.0,20120.0,20298.0,20970.0,21094.0,21633.0,21651.0,21599.0,21600.0
GHA,GHANA,,,109515.0,120818.0,,,57614.0,54311.0,47787.0,,46179.0,39409.0,39409.0,,,37800.0,37600.0,37400.0,37200.0,37000.0,36670.0,38145.0
GIN,GUINEA,43348.0,43348.0,43348.0,43348.0,,,,,44348.0,34585.0,34585.0,30500.0,30500.0,30500.0,30500.0,30500.0,30300.0,30200.0,30000.0,29900.0,29740.0,29620.0
GMB,GAMBIA,,,,,,,,3742.0,3742.0,,,2700.0,2700.0,2700.0,2700.0,2700.0,2640.0,2600.0,2540.0,2500.0,2450.0,2386.0
GNB,GUINEA-BISSAU,,,,,,,,,,3455.0,,,,4400.0,4400.0,4400.0,4350.0,4300.0,4250.0,4200.0,4150.0,4100.0
GNQ,EQUATORIAL GUINEA,,,,,,,,,,,,2880.0,2880.0,2880.0,2880.0,2880.0,2820.0,2760.0,2710.0,2660.0,2610.0,2550.0
GRC,GREECE,116960.0,116960.0,116929.0,116711.0,116631.0,116631.0,117533.0,114931.0,114931.0,,,116470.0,116470.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,116150.0,116000.0,116070.0
GRD,GRENADA,,,,,,,,,,,,1127.0,1127.0,1040.0,1040.0,1040.0,1020.0,1000.0,,,,
GTM,GUATEMALA,16141.207,16122.0,15700.0,15567.0,15330.0,15188.0,17464.17,,,,,14095.0,14095.0,13856.0,13505.0,13238.0,12475.0,12600.0,12300.0,12033.0,11900.0,11600.0
GUY,GUYANA,,,,,,,,,,,,7970.0,7970.0,7970.0,7970.0,7970.0,7820.0,7670.0,7520.0,7370.0,7230.0,7090.0
HKG,HONG KONG,2086.0,2076.0,2050.0,2040.0,2009.0,1983.0,1955.0,1943.0,1934.0,,,,1831.0,,,1760.0,1717.0,1661.0,1625.0,1559.0,1529.0,1484.0
HND,HONDURAS,,,,,,,,,,,,13600.0,13600.0,13603.0,13603.0,13603.0,13603.0,14800.0,14500.0,14203.0,11700.0,11371.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),29410.0,29333.0,29343.0,29248.0,29038.0,28788.0,28788.0,28344.0,28344.0,28344.0,28275.0,28123.0,28009.0,27840.0,27840.0,27247.0,,,,,,
HTI,HAITI,,,,,,,,,,,,4160.0,4160.0,4160.0,4160.0,4160.0,4080.0,4000.0,3922.0,3845.0,3769.0,3695.0
HUN,HUNGARY,200961.0,199567.0,197519.0,197534.0,195722.0,192979.0,189567.4,187340.4,180894.2,159568.0,,158785.0,158747.0,158753.0,,158633.0,158633.0,158633.0,158565.0,158711.0,105930.0,105774.0
IDN,INDONESIA,496607.0,487314.0,476337.0,437759.0,421535.0,406569.0,391008.0,372928.0,357959.0,357026.0,352762.0,348083.0,342700.0,355363.0,341467.0,336377.0,327227.0,356878.0,344892.0,319758.0,313897.0,288727.0
IND,INDIA,4690342.0,4582439.0,4471510.0,4109592.0,4016401.0,3880651.0,3809156.0,3621507.0,3528654.0,3426600.0,3373520.0,3325765.0,3296650.0,2457695.0,2465877.0,2367062.0,2173241.0,2142791.0,2114498.0,2021441.0,2350365.0,2000000.0
IRL,IRELAND,,96002.0,96033.0,96022.0,96017.0,96518.0,96506.0,96513.0,95811.0,95610.0,95613.0,95606.0,95694.0,95709.0,92500.0,92500.0,92500.0,92500.0,92345.0,92327.0,92327.0,92303.0
IRN,IRAN (ISLAMIC REPUBLIC OF),229057.0,198866.0,192685.0,180958.0,177028.0,174301.0,172028.0,169274.0,167362.0,165422.0,161553.0,157034.0,,167157.0,165724.0,164060.0,156507.0,151920.0,148000.0,139800.0,133000.0,131013.0
IRQ,IRAQ,,41716.2,41261.5,40987.5,40987.5,40755.5,40463.5,40301.5,40156.5,40008.5,39968.0,39952.0,45550.0,45550.0,,47400.0,46500.0,45600.0,44700.0,43800.0,43000.0,42100.0
ISL,ICELAND,12890.0,12862.0,12889.0,12870.0,13048.0,13038.0,13029.0,12972.0,12988.0,12978.0,12998.0,12962.0,12681.0,12689.0,12691.0,12341.0,12378.0,11500.0,11279.0,11373.0,11291.0,11378.0
ISR,ISRAEL,18566.0,18482.0,18319.0,18105.0,17872.0,17719.0,17589.0,17446.0,17253.0,16972.0,16676.0,16449.0,16121.0,15977.0,15583.0,15149.0,14751.0,14392.0,13929.0,13623.0,13409.0,13199.0
ITA,ITALY,,,,,,,487700.0,,484688.0,,,479688.0,479688.0,479545.0,478272.0,,,,,,,
JAM,JAMAICA,22121.0,22121.0,22121.0,22121.0,22121.0,22056.0,20996.0,20996.0,20975.0,20963.0,20963.0,20963.0,18700.0,18700.0,,19000.0,18600.0,18200.0,17900.0,17500.0,17200.0,16900.0
JOR,JORDAN,7204.0,7100.0,7878.0,7816.0,7768.0,7694.0,7601.0,7500.0,7364.0,7301.0,7259.0,7245.0,7200.0,7133.0,7022.0,6872.0,6750.0,6855.0,6976.0,7100.0,7230.0,7360.0
JPN,JAPAN,339038.0,336578.0,333574.0,331071.0,327752.0,324662.0,321346.1,317346.0,312792.4,308485.5,303172.0,298228.0,294150.3,289692.1,284611.7,279885.5,274884.6,269594.6,264308.3,258744.5,254442.2,249588.7
KAZ,KAZAKHSTAN,97155.0,96018.0,96846.0,93612.0,93123.0,91563.0,90845.0,90018.0,88992.0,88388.0,88045.0,,,,,,,,,,,
KEN,KENYA,160886.0,61947.0,61945.0,63575.0,63575.0,63564.0,63573.0,63265.0,63357.0,63264.0,63291.0,63942.0,63941.5,63941.5,63942.0,63941.5,63663.0,63324.0,63400.0,63100.0,62573.0,61285.0
KGZ,KYRGYZSTAN,,,,,34000.0,,,,,,,18500.0,,,,,,,,,,
KHM,CAMBODIA,,,39618.0,,,,,38257.0,,,,,,,35769.0,35769.0,35769.0,35769.0,35769.0,35769.0,35769.0,35800.0
KIR,KIRIBATI,,,,,,,,,,,,670.0,670.0,670.0,670.0,670.0,,,,,,
KNA,SAINT KITTS AND NEVIS,,,,,,,,,,,,,320.0,320.0,320.0,320.0,,,,,,
KOR,"KOREA, REPUBLIC OF",105931.0,105565.0,104983.0,104236.0,103019.0,102062.0,102293.0,100278.0,97253.0,96037.0,91396.0,88775.0,86990.0,86990.0,84968.0,82342.0,74237.0,78833.0,61296.0,58905.0,58088.0,56715.0
KWT,KUWAIT,6996.0,6609.0,6525.0,6343.0,6101.0,5959.0,5794.0,5749.0,5536.0,5474.0,5283.0,5230.0,4450.0,4450.0,4450.0,4450.0,4360.0,4270.0,4190.0,4110.0,4030.0,3950.0
LAO,LAOS ,41029.0,47491.0,39568.0,34994.0,36831.0,35260.0,33861.0,,31210.0,32620.0,,21716.0,,,,,,,,,,
LBN,LEBANON,,,,,,,6970.0,,,,,,7300.0,,,6350.0,6359.0,6370.0,6370.0,6370.0,6370.0,6370.0
LBR,LIBERIA,,,,,,,,,,,,10600.0,10600.0,10600.0,10600.0,10600.0,10300.0,10100.0,9890.0,9700.0,9510.0,9320.0
LBY,LIBYA,,,,,,,,,,,,83200.0,83200.0,,,,81600.0,80000.0,78500.0,76900.0,75400.0,74000.0
