Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
AFG,AFGHANISTAN,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,8.1,,,,,,6.9,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,7.3,,,,7.4,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,3.3,,,,,5.1,,,,2.5,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,2.0,,,,,,,5.7,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,5.6,,,,,,,,,,,7.2,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,,,7.8,,,,,7.8,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,14.4,10.7,,,22.6,,,20.6,,,,14.2,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,18.0,,15.3,,,,16.5,11.3,11.1,12.0,11.7,11.9,11.6,13.4,12.1,13.8,19.2,14.5,14.2,15.7,13.2,14.8,13.9,,,,,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,2.4,,,,,,4.3,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,3.4,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,,0.8,,,,1.5,,,,,,1.5,,,,3.0,,,,,2.4,,,,,,,,,,,,,,,,,,,
