Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
ABW,ARUBA,571.727777777778,568.8,566.288888888889,564.427777777778,563.433333333333,563.022222222222,562.327777777778,560.166666666667,555.727777777778,548.566666666667,538.972222222222,527.75,516.077777777778,504.766666666667,494.466666666667,484.866666666667,474.705555555556,462.194444444444,446.255555555556,426.111111111111,402.766666666667,379.083333333333,359.016666666667,345.266666666667,339.066666666667,339.316666666667,343.527777777778,348.022222222222,350.155555555556,349.061111111111,345.577777777778,340.8,336.483333333333,333.866666666667,333.211111111111,333.922222222222,335.366666666667,336.605555555556,336.972222222222,336.25,334.661111111111,332.494444444444,330.211111111111,328.138888888889,326.244444444444,324.361111111111,322.494444444444,320.622222222222,318.666666666667,316.827777777778,314.983333333333,312.366666666667,307.972222222222,
AFG,AFGHANISTAN,46.796670036455,45.6828967925742,44.5815029255889,43.497552308305,42.4412385503783,41.4058098214012,40.3597141806819,39.2599975492449,38.0799175933585,36.7899427135986,35.407502374169,34.0085255644395,32.6988665257482,31.5463652237846,30.6146356033453,29.8637318873878,29.1352296051221,28.2071301657323,26.9369742364366,25.2504641117544,23.2443785804001,21.1559538032656,19.3181432466379,17.9689259565604,17.1787565481114,16.869382409705,16.9456039579695,17.2509251600649,17.6591872683271,18.1573461385289,18.7512299727353,19.3525319364029,19.8569187881016,20.1887556290782,20.3062341083846,20.2181126121986,19.965168642588,19.6164721379775,19.2258524032718,18.7997258217688,18.3291241613822,17.8359479827222,17.3443709217903,16.8728686088901,16.4341374873633,16.0306497564562,15.6571117850688,15.3020938639218,14.9572879330944,14.6235502251631,14.3055279845602,14.0026697913795,13.7143399810066,
AGO,ANGOLA,17.2227624929815,16.7005093446699,16.1871260126735,15.6806962380685,15.1813988930777,14.6903352851528,14.2077677067458,13.7341854495869,13.2705350124328,12.8152041389268,12.3695155209754,11.9407828667683,11.5386885377396,11.1694312986284,10.8371027512633,10.537853533328,10.2601973209272,9.98792411967595,9.70959493061683,9.41961337932141,9.12180636881367,8.82550573514077,8.5447397128419,8.28895804925002,8.06219058313949,7.85919226758643,7.66906392877196,7.47627977861555,7.27010989010989,7.04640490895965,6.80986925483276,6.56941766262934,6.33822892436031,6.12588513676105,5.93503168364482,5.76276890992219,5.60644100425122,5.46140450790086,5.32415817758883,5.19397850324858,5.07183524504692,4.95777893639208,4.8521809577284,4.75502286035133,4.66614502286035,4.58440041710115,4.50761450228604,4.43302558755113,4.35857944974733,4.28322210636079,4.20711879361514,4.13096655169648,4.05605839416058,
ALB,ALBANIA,105.743284671533,105.857262773723,106.013868613139,106.314635036496,106.843759124088,107.566204379562,108.394781021898,109.21704379562,109.908284671533,110.472226277372,110.934890510949,111.350729927007,111.685145985401,112.738211678832,113.459051094891,114.179927007299,114.900766423358,115.621642335766,116.342481751825,117.063357664234,117.784197080292,118.505072992701,119.225912408759,119.946788321168,117.808138686131,114.683795620438,112.540328467153,110.315145985401,108.20299270073,106.001058394161,103.794160583942,101.61598540146,99.491094890511,97.5181386861314,95.5413138686131,93.6593430656934,91.7352554744526,89.7272262773723,87.7675547445255,85.7709489051095,83.8230656934307,81.8659124087591,79.8486496350365,77.9371897810219,75.9742700729927,73.8055474452555,71.7371532846715,69.8749270072993,68.0580656934307,66.2093065693431,64.3292335766423,62.456897810219,60.5766423357664,
AND,ANDORRA,168.548936170213,166.723404255319,165.670212765957,165.759574468085,167.359574468085,170.146808510638,172.96170212766,174.206382978723,172.814893617021,168.212765957447,160.942553191489,152.423404255319,144.68085106383,139.146808510638,136.348936170213,135.742553191489,136.36170212766,136.753191489362,135.859574468085,133.41914893617,129.793617021277,125.327659574468,120.582978723404,115.98085106383,111.593617021277,107.3,103.102127659574,98.968085106383,94.8872340425532,90.8595744680851,86.9404255319149,83.2170212765957,79.7914893617021,76.7297872340425,74.0829787234043,71.8,69.7212765957447,67.6191489361702,65.331914893617,62.7957446808511,60.0659574468085,57.2170212765957,54.3829787234043,51.6574468085106,49.0659574468085,46.5702127659575,44.1595744680851,41.8,39.4702127659574,37.1702127659574,34.9148936170213,32.7148936170213,30.5872340425532,
ARE,UNITED ARAB EMIRATES,111.795801435407,110.115442583732,106.7595215311,100.975322966507,92.3243899521531,81.3233851674641,69.3462559808612,58.3210406698565,49.6277870813397,43.7638516746411,40.3020813397129,38.5642224880383,37.4653588516746,36.2003827751196,34.613014354067,32.9365789473684,31.2080502392344,29.5551435406699,28.0658492822967,26.700466507177,25.372523923445,24.0786722488038,22.822990430622,21.6088277511962,20.4196770334928,19.2484449760766,18.1195933014354,17.0683612440191,16.11504784689,15.2787081339713,14.538038277512,13.8249401913876,13.0461722488038,12.1390550239234,11.0778947368421,9.89462918660287,8.65570574162679,7.45753588516746,6.37251196172249,5.41684210526316,4.57654306220096,3.85692583732057,3.25611244019139,2.76948564593301,2.40618421052632,2.16222488038278,2.00191387559809,1.87667464114833,1.75049043062201,1.60778708133971,1.45423444976077,1.30112440191388,1.16898325358852,
ARG,ARGENTINA,15.1446623475805,15.0133654158856,14.8824813917543,14.7529402307167,14.6248354764332,14.4978360720432,14.3718714943965,14.2467444248344,14.1221161329928,13.9982164585686,13.8745751254252,13.7492902009362,13.6198696235233,13.4845623727934,13.3425992713826,13.1945313499154,13.0415860035298,12.8856647994475,12.7282110871162,12.5696892961936,12.4098626442893,12.2486664547318,12.0858387321911,11.9212895870559,11.7552251077031,11.5881400523991,11.4205752204305,11.2531857828252,11.0865384826195,10.9206976310799,10.755841545809,10.5927485392938,10.4323555097581,10.2752357775269,10.1222323317584,9.97303055881375,9.82565215643716,9.67732370125955,9.52626822913812,9.37136942803167,9.21380499800854,9.05686431418977,8.90515915211442,8.76187365028556,8.62818770120109,8.50271751641582,8.3829286473806,8.26505267311972,8.14627049464865,8.02573619956955,7.9040205503729,7.78140381263497,7.65860985350917,
ARM,ARMENIA,104.550965929048,104.288057604496,104.113804004215,104.091886195996,104.255497014401,104.58335089568,105.018686336495,105.476325957148,105.898033017211,106.275096592905,106.639690902705,107.025008781173,107.480154548648,108.046996838778,108.669476642079,109.341693010186,110.209062170706,111.465577801194,113.212961011591,115.558236740429,118.358728486126,121.162521952933,123.354829645241,124.506322444679,124.436951176677,123.303090972954,121.427959255357,119.301404987706,117.286512118019,115.475518089217,113.776325957148,112.148823322796,110.498243765367,108.756515630488,106.939374780471,105.091464699684,103.202704601335,101.258552862662,99.2500878117316,97.1722866174921,95.0328064629435,92.8508605549701,90.6531085353003,88.4583069898138,86.2792413066386,84.1108184053389,81.9327010888655,79.7146118721461,77.4376536705304,75.1012644889357,72.7231120477696,70.3256059009484,67.939550403934,
ASM,AMERICAN SAMOA,275.825,275.64,276.37,278.18,281.225,285.265,289.595,293.26,295.585,296.31,295.585,293.645,290.88,287.61,283.84,279.495,274.71,269.63,264.37,259.035,253.625,247.985,241.895,235.22,227.955,220.245,212.24,204.175,196.235,188.435,180.825,173.7,167.44,162.28,158.35,155.525,153.45,151.625,149.66,147.455,145.07,142.45,139.58,136.46,133.075,129.43,125.58,121.6,117.59,113.505,109.415,105.59,102.39,
ATG,ANTIGUA AND BARBUDA,204.511363636364,202.429545454545,200.345454545455,198.256818181818,196.136363636364,193.975,191.811363636364,189.697727272727,187.647727272727,185.722727272727,183.872727272727,181.886363636364,179.481818181818,176.472727272727,172.820454545455,168.65,164.163636363636,159.647727272727,155.338636363636,151.25,147.427272727273,144.168181818182,141.845454545455,140.695454545455,140.834090909091,142.131818181818,144.281818181818,146.829545454545,149.418181818182,151.961363636364,154.45,156.704545454545,158.522727272727,159.775,160.347727272727,160.245454545455,159.597727272727,158.595454545455,157.393181818182,156.034090909091,154.481818181818,152.738636363636,150.768181818182,148.565909090909,146.152272727273,143.581818181818,140.913636363636,138.222727272727,135.575,132.954545454545,130.381818181818,127.979545454545,125.915909090909,
